index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,GSM
GSE39462_group10,SO_2068,SO_4505,SO_2593,SO_1175,SO_0762,SO_0761,SO_0277,SO_0275,SO_0274,SO_0273,SO_4509,SO_0547,SO_3863,SO_0267,SO_0760,SO_0265,SO_3855,SO_3967,SO_0261,SO_0260,GSM969638
GSE39462_group11,SO_3733,SO_2071,SO_2070,SO_0547,SO_2069,SO_2068,SO_2067,SO_2062,SO_0554,SO_2046,SO_0556,SO_2045,SO_4190,SO_2018,SO_4598,SO_4597,SO_2016,SO_2009,SO_2072,SO_2007,GSM969638
GSE39462_group12,SO_2071,SO_3422,SO_0970,SO_4450,SO_4449,SO_0279,SO_0278,SO_1777,SO_1779,SO_0274,SO_0992,SO_0267,SO_0261,SO_0260,SO_0259,SO_4120,SO_3426,SO_0273,SO_0257,SO_1783,GSM969638
GSE39462_group13,SO_0848,SO_1197,SO_3115,SO_2578,SO_0612,SO_4034,SO_3099,SO_4558,SO_0624,SO_1164,SO_3076,SO_4043,SO_3070,SO_0636,SO_0643,SO_0644,SO_1200,SO_1201,SO_0595,SO_4133,GSM969638
GSE39462_group14,SO_1315,SO_1826,SO_3471,SO_3468,SO_1827,SO_0514,SO_0516,SO_1825,SO_1828,SO_3440,SO_1829,SO_0526,SO_3420,SO_3417,SO_3415,SO_3441,SO_1103,SO_3503,SO_3505,SO_3546,GSM969638
GSE39462_group15,SO_3020,SO_2745,SO_2743,SO_0728,SO_2731,SO_2683,SO_2648,SO_0740,SO_2640,SO_2637,SO_2635,SO_2629,SO_2746,SO_2627,SO_2625,SO_0752,SO_2619,SO_0755,SO_2617,SO_2616,GSM969638
GSE39462_group16,SO_4758,SO_2772,SO_2769,SO_2762,SO_2761,SO_0752,SO_2760,SO_2747,SO_0760,SO_0761,SO_0762,SO_2746,SO_2774,SO_2743,SO_2731,SO_2728,SO_2723,SO_0770,SO_2705,SO_2683,GSM969638
GSE39462_group17,SO_4313,SO_0269,SO_0268,SO_0267,SO_0266,SO_0265,SO_1490,SO_0263,SO_0262,SO_1489,SO_0261,SO_0259,SO_1493,SO_1494,SO_0257,SO_3047,SO_1063,SO_1519,SO_1520,SO_0260,GSM969638
GSE39462_group18,SO_1161,SO_2263,SO_1242,SO_0752,SO_0753,SO_3651,SO_3652,SO_3656,SO_1221,SO_2181,SO_3740,SO_3743,SO_0767,SO_0770,SO_3765,SO_3772,SO_0781,SO_1101,SO_3599,SO_0324,GSM969638
GSE39462_group19,SO_3514,SO_0259,SO_0263,SO_2069,SO_0779,SO_2070,SO_3972,SO_2071,SO_2072,SO_0279,SO_2073,SO_2361,SO_0770,SO_2918,SO_0767,SO_2929,SO_2916,SO_0755,SO_0753,SO_0748,GSM969638
