index,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,CONCEPTS
GSE31053_group1,SO_1484,SO_4513,SO_2375,SO_0404,SO_3371,SO_1962,SO_1822,SO_0916,SO_0895,SO_1343,SO_2934,SO_0351,SO_2049,SO_1425,SO_0314,SO_0848,SO_0350,SO_3896,SO_3114,SO_1568,"['GO_0009267', 'GO_0030029', 'GO_0006974', 'GO_0043066', 'GO_0034655', 'GO_0010014', 'GO_0051301', 'GO_1904739', 'GO_0006973', 'GO_0022904']"
GSE39462_group1,SO_3059,SO_3687,SO_1807,SO_3837,SO_3988,SO_0704,SO_2597,SO_2596,SO_4666,SO_1361,SO_2595,SO_2858,SO_4129,SO_1880,SO_2583,SO_3433,SO_1377,SO_3030,SO_4163,SO_2725,"['GO_0010092', 'GO_0040007', 'GO_0034435', 'GO_0006810', 'GO_0040011', 'GO_0005975', 'GO_0042391', 'GO_0006808', 'GO_0090330', 'GO_0016813']"
GSE39462_group2,SO_0447,SO_4203,SO_3507,SO_3506,SO_3054,SO_2167,SO_2099,SO_2098,SO_0360,SO_1065,SO_3059,SO_2097,SO_4229,SO_1197,SO_4235,SO_4236,SO_2093,SO_4246,SO_3503,SO_0780,"['GO_0017144', 'GO_0071236', 'GO_0016226', 'GO_0009266', 'GO_0070887', 'GO_0030001', 'GO_0046677', 'GO_0006970', 'GO_0007267', 'GO_0042331']"
GSE39462_group3,SO_1219,SO_2918,SO_0439,SO_3743,SO_0426,SO_0424,SO_0423,SO_4346,SO_1065,SO_1066,SO_0409,SO_0397,SO_0396,SO_3720,SO_2136,SO_2886,SO_4407,SO_4408,SO_2881,SO_4423,"['GO_0009266', 'GO_0042594', 'GO_0042221', 'GO_0044763', 'GO_0019932', 'GO_0009636', 'GO_0050794', 'GO_0042593', 'GO_0050890', 'GO_0055085']"
GSE39462_group4,SO_4236,SO_0398,SO_0397,SO_2857,SO_3560,SO_3565,SO_2848,SO_2834,SO_2833,SO_1909,SO_1020,SO_3597,SO_2821,SO_2070,SO_1821,SO_2071,SO_2800,SO_3599,SO_1042,SO_1044,"['GO_0005634', 'GO_0005623', 'GO_0008152', 'GO_0005576', 'GO_0043226', 'GO_0050896', 'GO_0005925', 'GO_0044464', 'GO_0043233', 'GO_0005618']"
GSE39462_group5,SO_1932,SO_2355,SO_3414,SO_0994,SO_3413,SO_2347,SO_2345,SO_4537,SO_3407,SO_2341,SO_4537,SO_2340,SO_2339,SO_2338,SO_1042,SO_1043,SO_1044,SO_1060,SO_4520,SO_2328,"['GO_0000010', 'GO_0000291', 'GO_0009060', 'GO_0022402', 'GO_0044424', 'GO_0040005', 'GO_0000132', 'GO_0006457', 'GO_0008219', 'GO_0019538']"
GSE39462_group6,SO_3505,SO_3509,SO_0548,SO_0547,SO_3510,SO_0543,SO_3514,SO_1287,SO_0536,SO_1075,SO_3538,SO_3542,SO_0520,SO_0519,SO_0518,SO_3546,SO_0512,SO_3548,SO_2074,SO_3597,"['GO_0043285', 'GO_0043154', 'GO_0004017', 'GO_0043232', 'GO_0000148', 'GO_0046914', 'GO_1901612', 'GO_1901265', 'GO_0046906', 'GO_0060070']"
GSE39462_group7,SO_3844,SO_0809,SO_4034,SO_0805,SO_0798,SO_2992,SO_0785,SO_0770,SO_0761,SO_0760,SO_4627,SO_0753,SO_0748,SO_0818,SO_4628,SO_3022,SO_3030,SO_3031,SO_3032,SO_3033,"['GO_0042755', 'GO_0043631', 'GO_0019221', 'GO_0046700', 'GO_0048573', 'GO_0030091', 'GO_0010506', 'GO_0043161', 'GO_0007623', 'GO_0048233']"
GSE39462_group8,SO_1444,SO_1989,SO_4163,SO_4162,SO_1986,SO_3542,SO_1625,SO_4160,SO_1985,SO_4150,SO_1181,SO_3545,SO_2436,SO_2882,SO_1977,SO_2883,SO_3546,SO_3547,SO_4134,SO_0672,"['GO_0008150', 'GO_0016043', 'GO_0043937', 'GO_0044237', 'GO_0006396', 'GO_0006820', 'GO_0051346', 'GO_0070887', 'GO_0050896', 'GO_0043473']"
GSE39462_group9,SO_1638,SO_0925,SO_2915,SO_3928,SO_3929,SO_3930,SO_2913,SO_0930,SO_3937,SO_3939,SO_3940,SO_2912,SO_3962,SO_3915,SO_2884,SO_2882,SO_2881,SO_3980,SO_0951,SO_2857,"['GO_0007005', 'GO_0006412', 'GO_0019941', 'GO_0043531', 'GO_0006400', 'GO_0009058', 'GO_0006974', 'GO_0042026', 'GO_0043546', 'GO_0042288']"
GSE39462_group10,SO_2068,SO_4505,SO_2593,SO_1175,SO_0762,SO_0761,SO_0277,SO_0275,SO_0274,SO_0273,SO_4509,SO_0547,SO_3863,SO_0267,SO_0760,SO_0265,SO_3855,SO_3967,SO_0261,SO_0260,"['GO_0032501', 'GO_0040007', 'GO_0043330', 'GO_0050896', 'GO_0043207', 'GO_0010035', 'GO_0006950', 'GO_0042221', 'GO_0050891', 'GO_0009628']"
GSE39462_group11,SO_3733,SO_2071,SO_2070,SO_0547,SO_2069,SO_2068,SO_2067,SO_2062,SO_0554,SO_2046,SO_0556,SO_2045,SO_4190,SO_2018,SO_4598,SO_4597,SO_2016,SO_2009,SO_2072,SO_2007,"['GO_0040007', 'GO_0040010', 'GO_0045944', 'GO_0042752', 'GO_0000381', 'GO_0009922', 'GO_0009117', 'GO_0009161', 'GO_0061983', 'GO_0009834']"
GSE39462_group12,SO_2071,SO_3422,SO_0970,SO_4450,SO_4449,SO_0279,SO_0278,SO_1777,SO_1779,SO_0274,SO_0992,SO_0267,SO_0261,SO_0260,SO_0259,SO_4120,SO_3426,SO_0273,SO_0257,SO_1783,"['GO_0007005', 'GO_0006412', 'GO_0006355', 'GO_0006519', 'GO_0043043', 'GO_0006520', 'GO_0044249', 'GO_0006633', 'GO_0006790', 'GO_0051090']"
GSE39462_group13,SO_0848,SO_1197,SO_3115,SO_2578,SO_0612,SO_4034,SO_3099,SO_4558,SO_0624,SO_1164,SO_3076,SO_4043,SO_3070,SO_0636,SO_0643,SO_0644,SO_1200,SO_1201,SO_0595,SO_4133,"['GO_0040007', 'GO_0006113', 'GO_0019058', 'GO_0030388', 'GO_0022607', 'GO_0044211', 'GO_0022414', 'GO_0051179', 'GO_0022402', '0']"
GSE39462_group14,SO_1315,SO_1826,SO_3471,SO_3468,SO_1827,SO_0514,SO_0516,SO_1825,SO_1828,SO_3440,SO_1829,SO_0526,SO_3420,SO_3417,SO_3415,SO_3441,SO_1103,SO_3503,SO_3505,SO_3546,"['GO_0008152', 'GO_0040007', 'GO_0046933', 'GO_0006091', 'GO_0044281', 'GO_0016052', 'GO_0006629', 'GO_0015979', 'GO_0016043', 'GO_0030322']"
GSE39462_group15,SO_3020,SO_2745,SO_2743,SO_0728,SO_2731,SO_2683,SO_2648,SO_0740,SO_2640,SO_2637,SO_2635,SO_2629,SO_2746,SO_2627,SO_2625,SO_0752,SO_2619,SO_0755,SO_2617,SO_2616,"['GO_0040007', 'GO_0022900', 'GO_0044270', 'GO_0015979', 'GO_0044260', 'GO_0006526', 'GO_0006414', 'GO_0044237', 'GO_0006082', 'GO_0044283']"
GSE39462_group16,SO_4758,SO_2772,SO_2769,SO_2762,SO_2761,SO_0752,SO_2760,SO_2747,SO_0760,SO_0761,SO_0762,SO_2746,SO_2774,SO_2743,SO_2731,SO_2728,SO_2723,SO_0770,SO_2705,SO_2683,"['GO_0040007', 'GO_0046777', 'GO_0030435', 'GO_0030193', 'GO_0044237', 'GO_0006811', 'GO_0006810', 'GO_0006520', 'GO_0006260', 'GO_0044281']"
