GENE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SO4754_x_at,8396.071967841448,-2.77816956614,0.3541796046981317,-7.8439569339624775,4.365668775417836e-15,4.155680107320238e-11
IG_SO3759_SO3758_at,2117.937557152825,9.04728327031184,1.3334689316446475,6.784772449968729,1.1626962177912921e-11,5.533852648577655e-08
IG_SO3422_SO3423_x_at,405822.0834604281,-6.486807103724516,0.9912364480080285,-6.544157165286134,5.983185003942763e-11,1.8984646017510386e-07
IG_SO3973_SO3974_at,1647.5447737748607,7.5668760631117395,1.2825094890086983,5.9000546412802555,3.633812089371341e-09,7.368129833439831e-06
IG_SO1512_SO1511_s_at,11880.835564639723,5.567155931686002,0.9452444728909041,5.889646637826507,3.870222624981527e-09,7.368129833439831e-06
SO3896_at,48125.85489920039,-5.270941905117942,0.9173830384692867,-5.745628253507774,9.158031054859065e-09,1.4529216268533907e-05
UP_SO1307_x_at,1620.7276743029051,6.8302320437887385,1.2227658203991794,5.585887280983179,2.3251001411472553e-08,3.161804034797246e-05
IG_SO0119_SO0118_at,1897.5134970127283,6.6417413260001865,1.199231128923541,5.538332991707758,3.053642462154711e-08,3.633452824656337e-05
SO2301_at,61037.327182162495,-4.9728566554592435,0.9049614414904898,-5.495103357408076,3.90481648310307e-08,4.129994233628681e-05
IG_SO3657_SO3656_at,2066.4786509060586,-6.252068648009389,1.1603711245983717,-5.3879905449847865,7.124979962583801e-08,6.782268426383521e-05
UP_SO0220_at,16501.45187503862,-4.781860857904115,0.9079868773446446,-5.26644269561295,1.3909263717373182e-07,0.00012036571029606847
UP_SO0680_at,1908.4394942420638,6.167154476599522,1.1799212484294481,5.226750924952326,1.7251464484670645e-07,0.00013684724202464991
SO3422_at,122220.06870161553,-5.467191125288128,1.0493048367223243,-5.210298222169446,1.8853732879453865e-07,0.0001380528332919395
UP_SO2151_at,1197.7122691243767,8.023361359299244,1.5466085481086322,5.187713057134668,2.128922958131085e-07,0.00014475155456035568
UP_SO1097_at,3051.3861633130655,5.533019225639974,1.069876711248142,5.1716418980510666,2.320459606119468e-07,0.00014725636660434144
IG_SO2254_SO2253_at,1681.6841677624047,6.212190652766125,1.2167045893777975,5.105750982613566,3.2948334829637813e-07,0.00019602199952707645
IG_SO4080_SO4081_at,2652.1964449805664,5.526761067974302,1.0930121626196558,5.056449742268324,4.271333659816711e-07,0.00023916955945761922
SO4134_at,134115.50617415202,-4.72981632877102,0.938984803267821,-5.037159613564015,4.724907660322378e-07,0.0002498688667700484
SO2300_at,119973.01345142833,-4.631450269446964,0.9248274255328859,-5.00790757451675,5.502494458988544e-07,0.00027567497239532605
UP_SO0343_at,1439.0427319928433,6.379944899085609,1.2880832429687035,4.953053254835815,7.305796968351031e-07,0.0003477194067086673
SO1295_x_at,98390.39724617646,-4.609154464534278,0.9336354348313839,-4.936781845010733,7.942222731780776e-07,0.0003600096103991486
SO2727_x_at,53856.21795846474,-5.013188231864798,1.0175736909717423,-4.926609518645675,8.366872447069898e-07,0.0003620193582893562
IG_SO3402_SO3401_at,2158.6366937133316,5.627230464047641,1.1522031534912966,4.883887400408983,1.0401448762494052e-06,0.0004304843076964386
SO0753_at,40563.71041941129,-4.7968689746776905,0.9848147539386239,-4.870833784215059,1.111282973510568e-06,0.00044076260936862905
SO3681_at,28771.784424109603,-4.640158169391666,0.9576003016001801,-4.845610597279278,1.2622287284154614e-06,0.0004806062106314711
SO0970_at,44741.36621228181,-4.480124907098579,0.9308076713501721,-4.81315855573041,1.4856332590902288e-06,0.0005166627886438087
IG_SO3927_SO3926_at,777.7875474755326,-8.028307871640264,1.6682242989282139,-4.812487071911266,1.4906351826139152e-06,0.0005166627886438087
UP_SO2301_x_at,13553.962331709277,-4.416075797422791,0.9183665124392882,-4.808620237788484,1.5197560754308902e-06,0.0005166627886438087
IG_SO0694_SO0695_at,627.7567875492398,-8.9401356500436,1.8639016966069284,-4.796463067938799,1.614917154099659e-06,0.0005300826341336089
UP_SO4202_at,1122.2350681735013,-8.709382845788227,1.8220113065238175,-4.780092645201363,1.7521443393476582e-06,0.000555955398875012
IG_SO0695_SO0694_at,943.898627771455,6.943473292923086,1.4571836592844045,4.764995303565849,1.8885804836337313e-06,0.0005799160523777254
IG_SO4522_SO4523_at,2469.0550935051883,7.37329940776909,1.55503651558175,4.741560300280593,2.1207851388059745e-06,0.0006308673042591897
SO3682_at,55944.283706421105,-4.342274157379059,0.9264376914217886,-4.687065517288101,2.771502625949149e-06,0.0007994525301942408
UP_SO4471_at,1794.5948344666667,6.196315893314238,1.3302606472603922,4.657971282601836,3.193407450938312e-06,0.0008940601625141703
SO1520_x_at,48534.56415197807,-4.776955817929973,1.0298520836138283,-4.638487306999735,3.5096848562760156e-06,0.000954534004196897
IG_SO0145_SO0146_at,2744.4098492156227,5.452208718836908,1.1780834391064823,4.628032733379341,3.691556785604856e-06,0.0009761091400603506
IG_SO4238in_SO4236_at,654.4572876177772,7.898638625761298,1.713090219845804,4.6107546084013356,4.01209916187333e-06,0.0010321938357262764
IG_SO1341_SO1340_at,2600.074028256805,5.237783554397285,1.1399635698981947,4.594693806631952,4.333851690480561e-06,0.0010856298484653805
UP_SO1154_at,3408.1600593599424,5.795418260412742,1.2714290566387358,4.558192397878676,5.159576190077449e-06,0.0012593334808550574
UP_SO0458_at,117638.4488933682,-4.2106490598327255,0.9272490714401325,-4.541011891543948,5.598487345094779e-06,0.0013178962834139503
SO2302_x_at,29153.51341591083,-4.385393589937078,0.9673542869417987,-4.53338931675291,5.80446880683173e-06,0.0013178962834139503
UP_SO4636_at,1346.197099224904,5.80839646348733,1.2813548341892156,4.533011706443224,5.814859113707944e-06,0.0013178962834139503
IG_SO3107_SO3106_at,1343.1754887796558,5.890098212032369,1.3106423046504272,4.494054702135812,6.987966502669045e-06,0.001542529281976963
IG_SO0042_SO0041_at,4074.8645696287076,4.568518323525901,1.0175400022207766,4.489767786578542,7.130085976151525e-06,0.001542529281976963
UP_SO2300_at,41929.28361540501,-4.563549429669661,1.0209844812014148,-4.469753961685718,7.83096266006206e-06,0.0016565096346917944
SO2277_x_at,54476.23650577212,-4.090340554893547,0.9195993092717354,-4.447959577234609,8.668983824703988e-06,0.0017939142832034186
UP_SO0222_at,26844.380729149387,-4.115996134924605,0.9314440776025406,-4.418940689943336,9.918586003472126e-06,0.0019892011462025756
SO2918_at,17302.303479702867,-4.229404685660963,0.9576346231341448,-4.416511875707852,1.0030639249682069e-05,0.0019892011462025756
UP_SO1629_at,23648.998643907602,-3.9896491787584534,0.9092453513118862,-4.387868657235441,1.1446686344084358e-05,0.0022236940267212043
UP_SO2598_x_at,1412.0981604919357,5.526639806248235,1.2771100725795639,4.32745769132122,1.508403079124293e-05,0.002871697782036829
UP_SO0229_at,6047.974172617558,-4.262275644609875,0.9868938092892137,-4.318879705689588,1.568232268590305e-05,0.002927059404845316
SO0222_at,22414.00062037034,-3.8635714531121716,0.8975875375960961,-4.304395160676499,1.6744256109785564e-05,0.003065164882866323
SO2402_at,27306.818332945782,-3.8396912616103442,0.8974288434622351,-4.278546750065454,1.8811748285653875e-05,0.003310008075116606
UP_SO0253_at,11346.883353345827,-4.0014928210407295,0.9354574600079446,-4.277578609514479,1.8893724712623988e-05,0.003310008075116606
IG_SO1821_SO1822_at,1853.9769046839033,-5.123006125755258,1.1984006753091867,-4.274869191335799,1.912495473594005e-05,0.003310008075116606
IG_SO0897_SO0898_at,1090.070686238003,5.784055366628526,1.3584699145005694,4.25777214856833,2.0647423040183264e-05,0.0035096932128482945
IG_SO0819_SO0820_at,3864.9627442766687,4.374699076380159,1.0289852895000118,4.251469016146813,2.123728944869621e-05,0.003513933365331721
SO1430_x_at,14226.786584916334,-3.881031180035721,0.9132594373799631,-4.249648042148851,2.1410666581493833e-05,0.003513933365331721
SO1519_at,38763.61966734717,-4.929082654204416,1.162336956690643,-4.240665863570486,2.2285768277219984e-05,0.003595563190353509
IG_SO0221_SO0222_at,62462.546617885804,-3.7613131661307335,0.8921534845466715,-4.215993359082113,2.4868107802851857e-05,0.003945325302922447
SO0554_at,46944.911260455454,-4.132400692576961,0.9840218927563257,-4.199500766189021,2.675041251789278e-05,0.004101676515465814
UP_SO1450_at,899.0919089864288,6.188197691249789,1.475608016472709,4.193659577725829,2.744898191877933e-05,0.004101676515465814
SO1855_at,324644.6584822822,-4.677314432371746,1.1158385214547728,-4.191748485501025,2.7681278077539455e-05,0.004101676515465814
SO0221_x_at,31678.33360115515,-3.7218599252308144,0.8882872476270035,-4.189928353889465,2.790425470896531e-05,0.004101676515465814
IG_SO2820in_SO2821_at,1342.2229017880595,5.368657184354662,1.2815821449493185,4.189085503034198,2.8008086301636512e-05,0.004101676515465814
IG_SO1846_SO1845_at,1431.2841900183355,5.243313972654849,1.2561938425684214,4.1739688533533466,2.993386975628254e-05,0.0043172803971220225
SO2781_x_at,40885.91651375378,-3.682570682560361,0.883316157265122,-4.169029007645628,3.0590005907698325e-05,0.00434606367515493
UP_SO2401_at,34120.85029940746,-4.48627111018895,1.0770868642829499,-4.165189697281844,3.1109378659129066e-05,0.004354855521415435
IG_SO0399_SO0400_at,3439.2608758502615,-4.407387050448027,1.0706061912211704,-4.116721056339875,3.8430072482658055e-05,0.005274486746416439
UP_SO1616_x_at,173189.34927243498,-4.607002030068176,1.1196750243305627,-4.114588545745794,3.87870650540131e-05,0.005274486746416439
IG_SO3317_SO3318_at,2481.427839512023,4.509773927916379,1.0993176436863834,4.102339259100384,4.089939818022704e-05,0.0054833995954588904
UP_SO3081_at,431.5515136020201,8.485620509353145,2.07318249449114,4.0930407872443135,4.2575279387587695e-05,0.00562880672903399
UP_SO3426_at,9836.303476895271,-4.187086160515837,1.0244773839794619,-4.087045967038914,4.3690058034180235e-05,0.005697063868867968
