GENE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SO2442_at,11940.32044872723,5.918530499218741,0.32289219744988684,18.329741461582703,4.791771118196959e-75,4.561286927411685e-71
SO1915_at,5179.294259859501,4.221143713329661,0.247502004787244,17.0549879664943,3.2093898499678748e-65,1.52750909909221e-61
SO0818_at,14043.08706815146,5.286196058919081,0.31089107988047776,17.00336999360471,7.753180432244244e-65,2.4600841511510987e-61
SO4349_at,16837.427370708217,5.191473166581554,0.30696889192814797,16.912049732377177,3.6672751094746823e-64,8.727197941772375e-61
SO2445_at,16018.10450825819,5.947503696183502,0.35300336039522695,16.848292009244908,1.0798866712890528e-63,2.0558882448000988e-60
SO2444_at,9432.892007550256,5.375501586129878,0.33023417276667794,16.277847749959722,1.4176792810382599e-59,2.2491481793671993e-56
SO0867_at,6052.77383063298,3.9322679054388296,0.2452760263396573,16.03201080888941,7.637099034925011e-58,1.0385363673350168e-54
SO2441_x_at,18979.06589272464,5.434094533342812,0.3526231409290735,15.41048757896415,1.391579153743584e-53,1.655805245560647e-50
SO2443_at,9212.989154889161,5.210110029356907,0.34353131527075437,15.1663321442779,5.908777297323425e-52,6.249516788135743e-49
SO0866_at,17153.49507806808,5.651883778809534,0.3805187654964815,14.853101321915739,6.642328849130983e-50,6.322832831487783e-47
SO1361_x_at,5594.935964198109,4.090097709015311,0.2810079954854303,14.555093715215563,5.421159430627463e-48,4.6912742381948016e-45
SO1362_x_at,5334.4091651955205,3.605937199226982,0.251468207000356,14.339535173215266,1.238823927799571e-46,9.826970807270097e-44
SO0564_at,10517.184743097136,4.153998668896494,0.29071084243116224,14.289108153508668,2.5586514166070245e-46,1.873523294975559e-43
SO1518_x_at,3866.9658316798223,3.380383701453827,0.23782603891592108,14.213682054591585,7.535680505127149e-46,5.1237244805932374e-43
UP_SO2713_at,4414.057990465431,3.4513977534448315,0.24475078707366424,14.101681938232304,3.708249711522786e-45,2.3532552669323604e-42
SO1324_at,7967.322414634602,3.9490683613691435,0.2807813763452503,14.064566577639921,6.270585588683192e-45,3.7306065136672064e-42
SO4651_at,10761.923506506837,4.41380794536087,0.31633721371748114,13.952857121966103,3.0225029501030487e-44,1.6924238577665248e-41
SO0273_x_at,6034.055011723745,3.8189513901416694,0.27797934020902315,13.738256185765662,5.9901225964811665e-43,3.167776499772457e-40
SO1325_at,8860.91271791921,4.416129584177076,0.3243697317860361,13.614493435811964,3.284149483470871e-42,1.6453588912189066e-39
SO1532_x_at,6673.693362261777,-4.665124720483398,0.35324928410145356,-13.206324628087765,8.066806367239762e-40,3.839396490487765e-37
UP_SO2445_x_at,19967.22324392188,5.817910905021981,0.44196520955606666,13.163730491062408,1.4190275260066903e-39,6.432249057170326e-37
SO4652_x_at,5697.250663324997,4.164736783151406,0.31949120704532347,13.035528650904595,7.683262689889827e-39,3.324408070230057e-36
SO3415_at,4714.43353269798,3.510516809656022,0.2746549702136029,12.781552093981205,2.0787921888841094e-37,8.525782533290614e-35
SO3819_at,4730.58377852043,3.189071204855374,0.24955663722098032,12.778947658408613,2.1495827376717586e-37,8.525782533290614e-35
SO4655_at,6794.978025412393,3.704065351438938,0.29065607378270636,12.743808526802322,3.3750772870738642e-37,1.2850944278262445e-34
SO2069_at,4153.891155767308,2.8383643135086833,0.22364030153483022,12.69164946581254,6.578554922797821e-37,2.4085101657735563e-34
SO4236_at,4378.396756931919,2.9676914780854635,0.23447098704607663,12.656966712484019,1.0237919375443041e-36,3.609435353142308e-34
UP_SO2161_s_at,5257.418709361993,-3.9349119204930125,0.3148042993958112,-12.499549491684515,7.507552427040893e-36,2.5522996983215094e-33
SO2073_at,3757.0256623365462,3.199328717203404,0.256384510385266,12.47863497055969,9.764630219843202e-36,3.205155691816809e-33
SO3687_at,8698.016026510611,3.8213920358949967,0.30866824219441125,12.380256578155311,3.3427244651004686e-35,1.0606464727763787e-32
SO3741_x_at,12410.680789503922,4.479027548248495,0.36634829289078735,12.226145542825677,2.25381897190389e-34,6.92067832050101e-32
IG_SO4270_SO4271_at,3469.4638810204756,-3.489201089825257,0.28549452290448324,-12.221604303745698,2.3833434875794513e-34,7.089702080708998e-32
SO1822_at,5659.689151991169,3.3911552940260323,0.2787709698282828,12.164664405748255,4.7941153114372056e-34,1.3828843530172957e-31
SO0185_at,6275.57196667646,3.2692499062471714,0.26907910838077,12.149772332458092,5.752556079888717e-34,1.6105465095429615e-31
SO4319_at,6850.349695400621,3.116970899829045,0.25807654926304474,12.07769907312295,1.3854249075407152e-33,3.7629520428437124e-31
UP_SO2029_s_at,5305.4859924864395,-5.9126954931093545,0.48972194298734134,-12.073576807772712,1.45662586557593e-33,3.7629520428437124e-31
SO1519_at,13535.024100771318,4.686360014400831,0.3881610053821731,12.073237521081658,1.4626455046246177e-33,3.7629520428437124e-31
SO4235_at,6099.787192478821,3.115613682154205,0.2604766359331402,11.961202090132677,5.673460769491296e-33,1.4212019227575698e-30
SO0445_x_at,3439.0882151064898,2.6303894164182373,0.22004745270932377,11.953737178193581,6.206993256897247e-33,1.5149838157026897e-30
SO1751_at,7253.905156638594,3.5022894088363667,0.2956677802904153,11.84535361071908,2.2745691056551117e-32,5.4129058291827524e-30
UP_SO3102_at,2078.5602749426025,-4.2828292413517675,0.3661950669707357,-11.695485897121676,1.3441564730857352e-31,3.0532695732485664e-29
SO2071_at,3548.979839702666,3.072830642716181,0.2627407408200455,11.695295648194895,1.3471722037655195e-31,3.0532695732485664e-29
SO2074_at,8212.322464026467,3.387226296613273,0.290866655564431,11.645289110366779,2.4249790068666644e-31,5.368226782875297e-29
SO2072_x_at,3730.8728922861083,3.096564812559235,0.2668684408047633,11.603338346120262,3.9631099439395045e-31,8.395964869339987e-29
SO0274_at,10500.747182485256,3.9870118011385753,0.3436128522985585,11.60320917703724,3.969097795149694e-31,8.395964869339987e-29
SO4056_x_at,8699.028725125758,3.8608373219113017,0.33314759050488213,11.588969669749789,4.687370439529165e-31,9.699799829103938e-29
SO0277_x_at,11638.136600886515,4.148619460886229,0.3587968288720791,11.562586753979717,6.375872015757279e-31,1.2913175684679475e-28
SO1042_x_at,3824.0607067645024,3.3094134093100256,0.28749947778950086,11.511024071261396,1.1609156636417242e-30,2.3022408754594945e-28
SO0865_at,20844.347199890428,4.981685271747524,0.43358450917119934,11.489537025365735,1.4890781941338776e-30,2.8927623122368125e-28
SO2767_at,5447.781902382072,3.99986186161316,0.34871029833593525,11.47044374858076,1.857045432402769e-30,3.5354430942083917e-28
UP_SO3299_at,1569.5473436349876,-5.669925375374804,0.5032547960235656,-11.266510364482055,1.92030717580273e-29,3.584196864012978e-27
