,index,ACCESSION_STRING,GSM4233495,GSM4233496,GSM4233497,GSM4233498,GSM4233499,GSM4233500,GSM4233501,GSM4233502
5015,509,SO_1831,8.411378948,8.46824255,8.390572415,8.280336216,12.85521525,12.71504368,13.02837556,13.35337517
5016,9456,SO_1832,7.37204959,6.842351448,7.148795214,7.015764467,7.70282262,7.569144244,7.203042916,7.320237238
5017,1002,SO_1832,6.175551304,5.89254495,6.098691946,5.400882436,5.490853695,5.421015813,5.797663804,5.29577216
5018,9751,SO_1832,11.00549304,10.7777434,10.74680303,10.75593081,10.85074852,10.26102986,11.12940383,10.30848134
5019,15172,SO_1834,,,,,,,,
5020,5605,SO_1834,5.996475474,6.070122831,6.295196569,5.979427204,6.098691946,5.572702889,5.358654289,5.520621441
5021,10943,SO_1834,11.93093368,11.8787814,11.96381053,11.5340445,12.44692984,12.01618806,12.61794809,12.12006574
5022,11496,SO_1835,7.055622327,6.901999245,7.258272404,6.763628518,8.138112226,8.133142664,7.82873209,8.157978894
5023,2336,SO_1835,1.025652879,3.243187677,2.888771897,3.233633461,3.199686525,3.233633461,1.979029931,3.848631736
5024,7741,SO_1836,10.15564848,10.10136031,9.863073258,9.846616854,11.41182546,11.77371878,11.3125817,11.03688197
5025,5109,SO_1836,7.459176156,7.326149351,7.439052411,7.247038253,7.440610396,7.497852538,7.972082813,7.249410618
5026,468,SO_1836,10.46183122,10.47842214,10.67846267,10.46884683,10.71470173,10.43875946,10.95025977,10.89933338
5027,7733,SO_1837,8.176485285,8.143383662,8.102796358,8.267957495,8.244215575,8.29361574,8.632995516,7.898035007
5028,4529,SO_1837,7.716391392,7.605248652,7.515946871,7.558182192,7.110157936,7.479023057,7.156400033,7.469133735
5029,693,SO_1837,5.819383035,6.39714131,6.789127192,6.235417617,8.267518653,6.466587771,8.116669313,6.737248531
5030,8681,SO_1838,8.995414101,9.442230964,9.209225094,9.307129841,8.873444383,8.958462346,9.062636693,9.094325385
5031,578,SO_1838,7.154818998,7.114068562,7.201205868,7.139871962,6.889885239,6.696534136,7.227616789,7.14688773
5032,6281,SO_1839,6.478265453,6.306632963,6.26503059,6.558900325,6.641601485,6.878435227,6.647909338,7.026178569
5033,4459,SO_1839,11.27348607,10.82932641,12.5330179,10.73669267,14.14148603,12.1404404,13.92069305,11.55394426
5034,9075,SO_1839,7.679700624,7.836248201,7.784021899,7.711452491,9.304565429,9.508785336,9.437947271,10.06369011
5035,14940,SO_1840,,,,,,,,
5036,8600,SO_1840,9.57972858,9.128236266,9.25841902,9.435735546,8.936546186,8.533695082,9.211964534,8.867085918
5037,8123,SO_1840,9.057738181,9.490788391,9.346860155,9.175159884,10.42800033,10.89398884,10.98935021,11.05182501
