,GENE,GSM769226,GSM769227,GSM769228,GSM769229,GSM769230,GSM769231,GSM769232,GSM769233
8189,SO3717,0.331584476,0.509638018,-0.767762057,0.004254295,-0.300883193,-0.105256656,-0.181878536,-0.233412117
8190,SO3717F,-0.547228025,-1.46097671,-1.864679539,,-2.241344664,-0.072115711,-2.2074825,-1.824125845
8191,SO3717F,-0.216658691,-1.360418341,-2.268267506,-0.642960995,-2.018322563,-2.168970808,-1.078114887,-1.006011782
8192,SO3718,-2.62644785,-3.018831445,-3.574372234,-3.434139886,-3.232881217,-2.210936201,-3.187528241,-2.254397192
8193,SO3718,-2.749468385,-2.83151177,-3.320330896,-0.677155365,,-2.374816423,-3.041873286,-3.29785879
8194,SO3719,-1.18334785,-1.672122275,,,-2.240238631,-2.725529695,-4.728350743,
8195,SO3719,-0.826637565,-1.446750813,-5.54757609,-1.778911585,-2.285635173,-2.664412109,-1.346137475,
8196,SO3720,-1.612210081,-1.639391049,-3.62396777,-3.01183977,-3.435042429,-2.035548143,-2.861469268,-2.457672073
8197,SO3720,-1.283425934,-2.67010046,-2.761497872,-1.844982152,-3.813303334,-0.743078937,-2.293270423,-3.11445062
8198,SO3721,0.127070906,-1.141758332,-2.522020448,-0.863953403,-0.751992935,0.155614633,-1.923233759,-1.987343623
8199,SO3721,0.782223155,0.168871491,-0.664246169,-0.500155357,-1.581624562,-0.640930487,0.374342597,-3.643752021
8200,SO3722,-1.434961153,-0.987308044,,-7.535057257,-4.068899969,-1.737062001,-1.032647488,-2.973927511
8201,SO3722,-1.483351289,-2.069605716,-4.038789747,,-3.893928694,-2.064473267,-3.071169418,
8202,SO3723,-2.487829229,-0.887453737,-1.987597818,-3.973848456,-3.527881167,-1.272587185,-3.172616245,-2.192546843
8203,SO3723,-0.292120092,-0.918214897,-2.472945572,-1.588715104,-0.252695399,-0.970941377,-0.848017436,-1.808879438
8204,SO3724,0.202499621,0.309930999,-0.39892528,-1.683034493,0.580591298,-0.421945996,0.350888642,-2.679299012
8205,SO3724,0.933325123,-0.132478824,-1.326581379,0.099571471,-0.576771613,-0.744923086,1.255691056,0.057247949
8206,SO3724F,,2.495512536,0.689868432,2.278483541,,-1.284851084,0.281952034,
8207,SO3724F,4.412301767,-0.971591366,-4.931767972,,,2.692875518,-1.392717169,-0.198924935
8208,SO3725,-0.003679588,0.183521742,-1.145697488,-0.809763038,-0.580105608,-0.244701289,-0.255711077,0.090969016
8209,SO3725,0.387711687,-0.688532452,-0.149575315,0.276217519,-0.800081975,-0.292317237,-0.516714256,-1.799249468
8210,SO3726,-0.658387812,-0.64549058,-1.430643518,-1.024580042,-2.206374945,0.192667378,-0.130029119,-2.048442452
8211,SO3726,-1.534922127,-1.051726646,-6.083422603,,-3.382364588,-1.138033864,-2.476315215,-4.190307034
8212,SO3727,0.25568859,-0.648428848,-1.140158515,0.25074433,-1.525403363,0.103607964,-0.040757124,-2.178917431
8213,SO3727,0.363657082,0.091336717,-0.812707482,1.276511444,-1.40846926,0.537967983,-0.989690052,-0.974778542
8214,SO3728,2.093041516,2.0072672,0.50981132,2.244290972,-0.133339453,0.566249678,0.818828238,1.136227793
8215,SO3728,1.916924065,1.806325187,1.286379676,-0.237619512,-0.955268676,0.330087406,-0.011922233,0.747133302
8216,SO3729,1.231227045,0.665851738,-0.344957206,0.192935944,-0.782202208,0.243887896,-0.257930607,-0.221473528
8217,SO3729,0.615324423,-0.435197612,0.35436237,-2.776305869,-1.799725391,-0.525097672,-1.954803415,-1.93028245
8218,SO3730,-1.140631047,-0.474238123,-0.959517059,0.657892559,,-1.009149912,-0.395987822,-0.836564312
8219,SO3730,-0.568140382,-0.607735308,-1.124196847,-1.718863549,-2.78835628,0.065291034,-1.212816995,-0.227084422
8220,SO3731,,-1.828339117,-2.78798963,-4.264948502,-3.108660458,-4.449458965,-3.070661715,-4.873877494
8221,SO3731,,-2.082771052,0.563833774,-4.265118121,-0.805353159,-0.402128669,,-1.215822706
8222,SO3732,-1.805894368,-2.066420212,-2.048909961,-2.916764501,-1.679805328,-2.354836483,-3.345660347,-1.291176659
8223,SO3732,-1.95901655,-2.396159564,-1.961134774,-2.83577651,-3.915658815,-2.515924741,-0.665759401,-1.720649699
8224,SO3732F,1.89602613,0.0733532,,3.901181485,1.842762084,,-0.967626073,0.765841406
8225,SO3732F,-0.232700393,-0.974221475,,-4.37728681,1.537726806,1.598834471,2.828125608,-3.66149683
8226,SO3733,-4.03200842,-4.981063562,-5.726050391,-4.929796946,-6.07009855,-3.189081393,-4.172506143,-3.021365718
8227,SO3733,-4.845468052,-4.623837672,-6.284260864,-3.414371516,,-3.786405095,-2.326047011,-3.444438374
8228,SO3734,0.185315551,-0.505604682,-2.625388967,-0.377633581,-0.794739056,-1.871315135,-1.359344218,-1.12807418
8229,SO3734,-1.556860506,-0.553849804,-2.320548152,,-1.428316206,-2.85614199,-1.278327223,-1.528924329
8230,SO3735,-1.367300851,-0.589228887,-0.518995308,-1.287033924,-0.784817647,-0.459931406,-1.502710006,-0.322886946
8231,SO3735,-2.532171624,0.226900353,-1.140037679,-0.340616818,0.190041536,-0.628947383,-0.628277047,-1.063650152
8232,SO3736,-0.774991628,-1.509857098,-1.554966353,-0.770589446,-3.443676644,-3.060342976,-1.428575451,-2.043518318
8233,SO3736,-2.00840573,,-4.758494101,,,-2.612351336,-0.562919121,-3.245007373
8234,SO3737,-4.041871465,-0.906168028,,-2.6086568,,,-1.638640856,-2.137895993
8235,SO3737,-2.465648678,-1.996417157,-2.046210553,-2.245852033,-3.854579235,-0.940502579,-1.26821178,-1.445757767
8236,SO3738,0.097663988,0.153528435,-2.084539049,0.34124377,-2.134485228,-1.306668608,-0.057624931,-0.461630858
8237,SO3738,-0.690578735,-0.44526332,-2.892279684,-4.392804709,-2.296345658,-1.363269532,-2.175323167,-0.835486863
8238,SO3739,-0.319833701,-0.94955616,-1.502709126,-1.551002836,-1.702764926,-0.846393353,-1.243598034,-1.268675092
8239,SO3739,-1.090253327,-1.43282446,-1.505216681,,,-1.040733257,-1.790234156,-2.279969988
8240,SO3740,-2.055400861,-3.131382824,-3.842476084,-3.337755094,-3.591160211,-2.331964349,-2.40673816,-2.030209612
8241,SO3740,-3.258372036,-2.932785177,-2.934909126,-3.054132341,-4.489259712,-2.4973243,-2.58291923,-2.195456421
8242,SO3741,-1.790021197,-1.929239532,-3.751798295,-1.616002033,-3.01734843,-2.230114375,-1.723211651,-1.770878698
8243,SO3741,-2.189275375,-2.410024718,-3.763007377,-3.722155891,-3.569450899,-2.404131302,-3.23995339,-1.569024656
8244,SO3742,-1.401352501,-0.847711277,-1.775432753,-1.025684978,-2.421364475,0.514918254,-2.526738315,-4.491874171
8245,SO3742,-1.4300232,-1.930653713,-1.582478361,3.450109437,-1.176418956,-2.196960319,-3.242971582,-0.424069064
8246,SO3743,-1.967365884,-2.546132614,-2.911356446,-2.507892595,-4.012658608,-2.778530832,-2.563764786,-3.605281155
8247,SO3743,-1.790192334,-2.375454949,-3.006121221,-2.756583384,-4.008047003,-2.606366653,-3.402173503,-3.17880555
8248,SO3744,-0.485610373,-0.982946908,,,-6.173888421,0.082644158,0.223962451,-4.06488642
8249,SO3744,-2.36650536,-2.104988206,-3.898985403,,-1.444060353,,-4.601090188,-4.760065666
8250,SO3745,-1.873041026,-2.481518453,-4.17098028,-5.092212403,,-1.550841237,-1.828015426,-3.50078527
