,GENE,GSM509290,GSM509291,GSM509292,GSM509293
0,IG_SO0002_SO0003_at,9.832257114377935,8.580070090781133,8.96837880137054,8.401306206006016
1,IG_SO0003_SO0002_at,8.155830171556525,6.633721812641012,7.85049941375812,7.401732849522621
2,IG_SO0007_SO0008_at,7.036723106005525,8.393175914348806,8.291400959483692,9.389093521904474
3,IG_SO0008_SO0007_at,7.7481928495894605,7.354910511586791,8.768184324776927,6.869131119644294
4,IG_SO0011_SO0012_at,7.590212761408359,5.82273014794452,7.364572432295856,6.816343705284859
5,IG_SO0012_SO0011_at,8.10800164646591,6.79051141189419,7.666756591884804,6.712870867689905
6,IG_SO0013_SO0014_at,7.092757140919852,7.525912260743351,6.528258742758412,7.138527801422274
7,IG_SO0014_SO0013_at,8.565673329621346,6.531381460516312,7.846117173336728,7.110613805500896
8,IG_SO0016_SO0017_at,8.73267622307331,8.800899899920305,8.646378699543435,8.026246772648195
9,IG_SO0017_SO0016_at,10.288750746211733,8.802839440935111,9.701479748252856,4.112700132749362
10,IG_SO0019_SO0020_at,10.391243589427443,9.866506212226202,10.225448468610738,6.4379600883344725
11,IG_SO0020_SO0019_at,9.5980525001616,9.632813486072639,8.475328122622424,7.986410935252045
12,IG_SO0025_SO0026_at,8.44045394382303,7.636624620543649,7.888743248898259,9.223760400672852
13,IG_SO0026_SO0025_at,7.6941837433331495,7.241268177329375,8.501837184902296,3.990954860396993
14,IG_SO0027_SO0028_at,7.278914019499939,7.157852169141737,7.872828759534886,5.25171909260596
15,IG_SO0028_SO0027_x_at,3.596935142387232,1.8875252707415875,5.1001366712854495,1.070389327891398
16,IG_SO0041_SO0042_at,8.437960088334473,8.83035674741922,9.008148459910094,9.301267540565574
17,IG_SO0042_SO0041_at,9.346513733165635,4.465974464504069,9.137247340664668,8.855179946816332
18,IG_SO0042_Sp16SC_x_at,11.624018621807762,12.726154284170804,12.471344982312432,12.088589506704624
19,IG_SO0044_tAsp1_at,9.30149619498255,7.970968660521811,7.026800059343715,5.581953750848818
20,IG_SO0050_SO0052_at,6.593951283948411,9.598610854696425,8.214319120800766,9.542451531298877
21,IG_SO0052_SO0050_at,7.005624549193878,5.9886846867721655,5.529820946528695,3.4594316186372973
22,IG_SO0053_SO0054_at,6.490249210627085,7.696272083925863,7.552284839943512,2.232660756790275
23,IG_SO0054_SO0053_x_at,6.529820946528695,4.802193216941825,7.056366761024529,3.4854268271702415
24,IG_SO0054_SO0055_at,6.839203788096944,6.316507819103109,6.4110872267986005,3.5109619192773796
25,IG_SO0055_SO0054_at,7.4561490346479955,6.387155717662981,4.7865963618908065,8.060695931687555
26,IG_SO0056_SO0057_at,7.900866807980749,6.844234987758751,3.4854268271702415,4.314696525656286
27,IG_SO0057_SO0056_at,9.43233310162664,10.517374127013113,8.88782986169403,10.789941128390916
28,IG_SO0061_SO0062_at,8.309248960816616,8.014578464922891,8.501439145158873,8.504223119912846
29,IG_SO0062_SO0061_at,8.978138415069962,8.168421410851925,8.508190930557152,8.184379486212944
30,IG_SO0065_SO0066_x_at,10.19142940528104,9.583082767502933,9.949243096252411,9.491051376364119
31,IG_SO0066_SO0065_x_at,6.4110872267986005,6.312882955284356,6.247927513443585,5.116863757690899
32,IG_SO0083_SO0084_at,10.224966365000274,10.567195561406875,10.113090983442381,9.674721924288532
33,IG_SO0084_SO0083_x_at,10.56424477713222,8.603997170085494,10.080684308619277,7.424586226251101
34,IG_SO0085_SO0087_at,9.082947360127847,7.459431618637297,7.878357510336936,8.683696454306515
35,IG_SO0087_SO0085_at,8.585338153643702,8.374604819190937,8.112178833722592,8.060155495254604
36,IG_SO0087_SO0088_at,8.592083233653891,8.879889521780559,7.498250867527825,8.600284622898085
37,IG_SO0088_SO0087_x_at,7.789207575347344,8.381110294099054,9.233140296445974,9.383704292474052
38,IG_SO0090_SO0091_at,10.165535141377925,6.845490050944375,8.627898615871748,6.400879436282184
39,IG_SO0091_SO0090_at,10.713128714351262,9.306517445249819,9.384136172447608,7.884475819086485
40,IG_SO0093_SO0095_at,8.718704105674892,7.489446598622579,8.335390354693924,5.439623137557117
41,IG_SO0095_SO0093_at,7.026800059343715,7.520422248526446,6.2761244052742375,5.399171093819823
42,IG_SO0098_SO0101_at,8.986979709176577,8.76254814256653,8.405992359675837,7.996049727519757
43,IG_SO0101_SO0098_at,9.041385369486115,8.296916206879288,8.242221395098369,7.067165427017112
44,IG_SO0109_SO0110_at,6.6865005271832185,6.857980995127572,6.300123724569014,6.883865154509794
45,IG_SO0110_SO0109_at,6.45450493755737,7.910492832288714,8.366322214245816,8.57742882803575
46,IG_SO0116_SO0118_x_at,8.783980413683794,8.333602628268281,8.662846365159478,7.9271853578263665
47,IG_SO0118_SO0116_x_at,9.297374860528324,8.630085070002124,8.69522829149575,8.654636028527968
48,IG_SO0118_SO0119_at,9.063664718714,5.422905742612183,8.11790278909403,9.368942914404952
49,IG_SO0119_SO0118_at,8.386724740799167,1.4329594072761063,7.704595347632403,7.940754047474802
50,IG_SO0129_SO0130_at,6.864186144654281,1.9634741239748859,7.578938713093386,4.817623257511431
51,IG_SO0130_SO0129_at,8.590587049915035,7.9818526532897405,8.691045553487179,7.816343705284859
52,IG_SO0130_SO0131_x_at,9.324180546618742,9.215532999745657,9.400452540276438,4.614709844115208
53,IG_SO0131_SO0130_at,10.988542682240245,9.06339508128851,9.77313920671969,1.3219280948873624
54,IG_SO0134_SO0135_at,10.26795708440284,8.672425341971495,9.44852933004466,8.21334728173344
55,IG_SO0135_SO0134_at,4.087462841250339,5.9886846867721655,4.940166750482817,5.314696525656286
56,IG_SO0139_SO0141in_x_at,14.04114576747633,13.933035909341738,14.5923343936329,13.927268707509873
57,IG_SO0141in_SO0139_x_at,11.578089597196135,10.856347711260378,11.682950705428029,10.312769531404358
58,IG_SO0141in_SO0142_at,10.219773550892874,9.775281048662972,9.330692839750801,9.531186488552924
59,IG_SO0142_SO0141in_at,10.086136225027309,8.952158810747052,9.727750315399032,9.00842862207058
60,IG_SO0142_SO0144_at,7.131342539123261,6.321928094887363,6.542258049766918,6.640967910449898
61,IG_SO0144_SO0142_at,8.648537345892633,9.083213368248982,10.290249290993629,9.488643539853785
62,IG_SO0145_SO0146_at,8.275193333902207,2.5109619192773796,7.933100474931368,9.043847540438906
63,IG_SO0146_SO0145_at,6.507794640198696,7.876516946564999,7.103287808412022,7.19377174339668
64,IG_SO0148_SO0150_x_at,8.800576389426542,9.798795783820449,9.260919533662905,10.779473140441741
65,IG_SO0150_SO0148_x_at,7.756222712847288,7.825912798784975,7.839203788096944,7.4212232992251375
66,IG_SO0154_SO0157_x_at,10.327215788795229,8.902977995832403,9.87973639382405,9.1357092861044
67,IG_SO0157_SO0154_x_at,8.860466258517167,6.656782364218995,6.936637939002571,7.83541884047548
68,IG_SO0157_SO0159_at,11.2103669456326,10.054468656195478,10.421223299225138,10.882872272947456
69,IG_SO0159_SO0157_at,9.31628153174622,8.60917873814198,9.028734893484895,7.608809242675524
70,IG_SO0159_SO0160_at,8.738430087754779,9.549592167441752,7.791814071161826,8.03121873061072
71,IG_SO0160_SO0159_at,6.60733031374961,1.765534746362977,6.96116025813664,3.5109619192773796
72,IG_SO0160_SO0162_at,4.930737337562887,1.5360529002402097,5.266786540694901,-0.3219280948873623
73,IG_SO0162_SO0160_at,-0.7369655941662062,6.825276830054866,5.307428525192248,1.2016338611696504
74,IG_SO0176_SO0177_at,5.705977901682522,0.2630344058337938,4.300123724569014,-2.321928094887362
75,IG_SO0177_SO0176_at,8.58608916617544,9.115303806152117,7.954777925005068,8.869748051465065
76,IG_SO0194_SO0195_at,7.399171093819823,6.8875252707415875,5.491853096329675,8.498250867527826
77,IG_SO0195_SO0194_at,10.742140985498146,9.379378367071261,10.238285305984153,9.918863237274595
78,IG_SO0201_SO0202_at,8.277984747299765,7.551516017628014,7.456970381121014,3.232660756790275
79,IG_SO0202_SO0201_at,7.443772392763739,7.207502459258789,7.189824558880018,4.632268215499513
80,IG_SO0204_SO0205_at,7.22881869049588,2.963474123974886,7.285402218862249,1.722466024471091
81,IG_SO0205_SO0204_at,7.955359305242994,7.674545393845865,7.198690585668918,4.0
82,IG_SO0208_Sp16SB_x_at,11.412358137208985,11.91614071296218,13.292868004723315,11.915767364002773
83,IG_SO0210_Sp5SB_x_at,9.76171743197705,8.537606691495291,9.224001674198105,7.698357405957285
84,IG_SO0217_SO0218_at,10.452756029032495,9.97513145692134,10.236373026634155,9.57156305219755
85,IG_SO0218_SO0217_at,9.635173946674923,7.912889336229962,8.698010061537433,7.623515741490549
86,IG_SO0221_SO0222_at,9.943100847570797,13.392397928068304,12.485602926656684,12.722615443598817
87,IG_SO0222_SO0221_at,9.622417939250472,7.2162608371650565,8.81410175449819,6.902073579310743
88,IG_SO0223_SO0224_at,0.13750352374993502,3.277984747299765,1.070389327891398,1.632268215499513
89,IG_SO0224_SO0223_at,9.13134253912326,9.140318539356988,8.772479538193846,8.707359132080883
90,IG_SO0229_SO0230_at,9.488844346457336,9.916625922211235,9.568526197944477,8.73944309777245
91,IG_SO0230_SO0229_at,10.126833509562644,7.903279342056139,9.026246772648195,7.902073579310743
92,IG_SO0258.1_SO0258_at,9.44024628710574,8.21723071622067,9.07815080773465,6.815063017192867
93,IG_SO0258_SO0258.1_at,11.527379259182695,10.395319910940284,11.146950458932064,10.20896588630656
94,IG_SO0264_SO0265_at,6.147713722352154,6.896029602976752,6.013462259806563,4.817623257511431
95,IG_SO0265_SO0264_at,3.584962500721156,1.2630344058337937,0.5849625007211562,1.2630344058337937
96,IG_SO0269_Sp16SA_x_at,11.390276455551293,10.861862340059151,11.690696443977696,10.609640474436812
97,IG_SO0272_SO0273_at,6.750874439656846,7.109569509370688,7.195741293246449,7.512542955096859
98,IG_SO0272_Sp5SA_at,9.191799501065075,8.500642736062806,8.992938336165814,7.671010241278451
99,IG_SO0273_SO0272_at,7.9536144611993596,6.076815597050831,6.4741115139424075,0.48542682717024166
100,IG_SO0274_SO0275_at,7.740792672277682,6.125155131322289,7.131342539123261,6.774787059601174
101,IG_SO0275_SO0274_at,7.588714635582264,6.224966365000275,8.238404739325079,6.682292371430833
102,IG_SO0279_SO0280_at,10.304921669581672,9.348949409509617,9.553629293916364,8.90388184573618
103,IG_SO0280_SO0279_at,10.501439145158873,9.048759311919856,9.653919873119422,7.609548138999429
104,IG_SO0294_SO0295_at,6.947198584262056,8.246027980528105,6.986410935252045,8.062316027355715
105,IG_SO0295_SO0294_at,9.562814808692334,8.114262900594055,9.632995197142957,6.223036337901875
106,IG_SO0302_SO0304_x_at,9.493855449240822,8.496654082593496,8.85673675611911,3.9164766444377164
107,IG_SO0302_SprnpB1_at,5.504620392403552,7.597680143715891,5.9092930858238235,6.405992359675837
108,IG_SO0304_SO0302_x_at,10.089053172156433,8.38586240064146,9.733184841108153,8.81698362325538
109,IG_SO0304_SO0306_x_at,7.951867504326902,7.539934245171789,7.207502459258789,8.5453506448223
110,IG_SO0306_SO0304_x_at,7.7989577479004275,7.921245888585589,7.73674015545321,7.025693273680773
111,IG_SO0311_SO0312_at,7.38543103719352,3.8972404255747994,7.032321287057878,2.292781749227846
112,IG_SO0312_SO0311_at,8.725195817226663,7.133399125417198,8.198690585668917,6.093813673402728
113,IG_SO0314_SO0314a_at,7.833522636424775,6.604367899893749,7.71218305120923,7.6941837433331495
114,IG_SO0314a_SO0314_at,2.944858445807539,7.098032082960526,7.5804470195986635,5.165911938935689
115,IG_SO0314a_SO0316_at,9.380677507222886,7.408542042296858,9.290479698251307,7.400025517914023
116,IG_SO0316_SO0314a_at,9.552669097514272,9.658390023070183,9.448735798029396,0.37851162325372983
117,IG_SO0321_SO0322_at,5.004501392234941,6.147713722352154,6.305605789585429,4.817623257511431
118,IG_SO0322_SO0321_at,8.414896604211503,9.183139098344524,8.421223299225138,7.816343705284859
119,IG_SO0326_SO0329_at,5.575917361118149,8.89026427702111,7.349612971824522,10.055824700134858
120,IG_SO0329_SO0326_at,6.157852169141737,6.520422248526446,5.92362461136832,0.48542682717024166
121,IG_SO0333_SO0334_x_at,8.577051109735152,7.06177619758669,7.754219433135143,6.249824548616183
122,IG_SO0334_SO0333_at,7.338067797542616,3.0531113364595623,7.132371198732537,3.070389327891398
123,IG_SO0337_SO0338_at,8.781687561507184,7.811856314292545,7.988116584760143,7.356672044212097
124,IG_SO0338_SO0337_at,9.296457407371244,8.262564702088513,8.340295210430478,6.944858445807539
125,IG_SO0340_SO0341_at,6.96116025813664,2.350497247084133,6.159871336778389,2.4594316186372973
126,IG_SO0341_SO0340_at,10.236253424972665,9.100925101056902,9.14542271960022,8.078417701647332
127,IG_SO0341_SO0342_at,11.353312262691187,10.680095752594085,10.897921066971746,9.758889432720965
128,IG_SO0342_SO0341_at,8.605479518061669,7.284477117810423,7.527477006060396,6.816343705284859
129,IG_SO0346_SO0347_at,10.26877590027484,10.390921283500447,9.627169060841846,9.307656205306488
130,IG_SO0347_SO0346_x_at,7.0916998341368105,7.347842793638155,6.881419908092401,4.867896463992655
131,IG_SO0355_SO0356_at,10.154818109052105,9.202613620148487,10.127607487607435,9.57156305219755
132,IG_SO0356_SO0355_at,9.851280557878612,9.110874761464506,8.968666793195208,9.138783757253849
