,index,ACCESSION_STRING,GSM6797843,GSM6797844,GSM6797845,GSM6797846,GSM6797847,GSM6797848,GSM6797849,GSM6797850
0,6705,SO_0001,66.25105958,32.40204759,47.46960455,22.51868569,147.4199237,116.8213034,79.89560739,45.20275078
1,5008,SO_0001,3513.25106,710.4020476,1653.969605,1140.018686,5381.419924,5864.821303,4344.895607,2361.202751
2,2465,SO_0001,23.75105958,19.40204759,16.96960455,17.51868569,21.91992367,22.82130337,14.39561102,17.20275078
3,11284,SO_0002,608.7510596,173.4020476,289.9696046,198.5186857,373.9199237,401.8213034,246.8956074,137.2027508
4,7072,SO_0002,15.75105958,10.90210621,14.46960456,14.01868569,24.41992367,15.32130337,11.89580869,15.20275106
5,9709,SO_0002,16.25105958,4.202699287,1.707388152,4.568889782,6.133054132,4.944848677,9.89849168,2.699786692
6,9887,SO_0003,71.25105958,29.40204759,16.96960455,22.01868569,78.91992367,70.82130337,33.89560739,20.70275078
7,3260,SO_0003,1469.25106,311.4020476,695.9696046,495.5186857,936.4199237,1179.821303,793.3956074,484.2027508
8,7033,SO_0003,1341.25106,314.9020476,364.4696046,367.0186857,926.9199237,991.8213034,654.8956074,289.2027508
9,8284,SO_0004,49.25105958,13.40204799,18.46960455,10.01868678,25.41992367,36.82130337,53.89560739,24.20275078
10,9671,SO_0004,213.7510596,49.40204759,76.96960455,52.01868569,261.4199237,221.8213034,155.3956074,62.20275078
11,5215,SO_0004,300.2510596,78.40204759,140.4696046,131.5186857,460.4199237,491.3213034,344.8956074,175.2027508
12,8290,SO_0005,404.2510596,99.40204759,166.4696046,111.0186857,375.4199237,335.8213034,231.3956074,125.7027508
13,13564,SO_0005,26.25105958,2.576391731,6.981938083,7.519076492,8.941117173,9.321734179,12.89565167,7.23935659
14,2837,SO_0005,185.7510596,19.40204759,86.96960455,60.01868569,99.41992367,106.8213034,80.89560739,40.20275078
15,2891,SO_0006,33.25105958,6.436617208,13.46960464,18.51868569,37.41992367,35.32130337,16.89560742,8.710359054
16,12256,SO_0006,9362.25106,2527.402048,4351.969605,3203.018686,4632.919924,6116.821303,3750.895607,2046.202751
17,3667,SO_0006,357.7510596,77.90204759,124.9696046,131.0186857,371.4199237,365.8213034,241.3956074,164.7027508
18,3633,SO_0007,47.25105958,19.90204759,19.46960455,20.01868569,54.41992367,51.82130337,33.89560739,21.70275078
19,3008,SO_0007,1.510969807,4.611671893,4.632848531,9.018699692,4.917058234,3.351965951,3.123852836,11.20304001
20,10732,SO_0008,748.7510596,272.4020476,681.9696046,612.5186857,3882.919924,3958.321303,2209.895607,1059.702751
21,1448,SO_0008,417.2510596,65.90204759,232.9696046,152.0186857,182.9199237,218.8213034,140.3956074,70.20275078
22,15240,SO_0008,,,,,,,,
23,1758,SO_0009,846.2510596,207.9020476,402.4696046,253.0186857,478.9199237,509.8213034,357.3956074,188.2027508
24,3440,SO_0009,118.2510596,36.40204759,33.96960455,44.51868569,83.41992367,97.32130337,73.39560739,38.70275078
25,1442,SO_0009,31.25105958,23.40204759,13.96960458,26.01868569,26.91992367,26.82130337,21.89560739,20.70275078
26,8151,SO_0010,32.75105958,17.90204759,25.46960455,17.01868569,49.41992367,39.32130337,27.89560739,19.70275078
27,4066,SO_0010,1127.25106,270.4020476,477.4696046,351.0186857,922.4199237,908.8213034,614.8956074,176.2027508
28,13571,SO_0010,222.2510596,62.90204759,98.46960455,56.01868569,185.9199237,201.3213034,141.8956074,60.20275078
29,9258,SO_0011,31.25105958,9.402757057,26.46960455,15.01868569,45.91992367,61.82130337,42.39560739,22.20275078
30,2634,SO_0011,220.7510596,77.40204759,152.4696046,149.0186857,5042.419924,5241.821303,3395.395607,1660.702751
31,12601,SO_0011,170.2510596,37.40204759,77.96960455,65.01868569,223.4199237,236.8213034,122.8956074,55.20275078
32,15044,SO_0012,,,,,,,,
33,4844,SO_0012,1326.25106,383.4020476,641.4696046,554.0186857,1001.419924,1485.821303,1009.895607,562.2027508
