,index,ORF,GSM87832,GSM88468,GSM88469,GSM88470,GSM88471,GSM88472,GSM88473,GSM88474,GSM88475,GSM88476,GSM88477,GSM88478,GSM88479,GSM88482,GSM88537,GSM88538,GSM88539,GSM88540,GSM88541,GSM88542
4272,7971,SO1940,-0.54793177,-0.682695932,-0.510457064,0.163498732,,-0.537424112,-0.698997744,-0.744197163,-0.272297327,-0.260151897,-0.614845103,-0.53951953,-0.234465254,-0.436353731,-0.318325858,-0.418889825,-0.36215794,-0.948975997,0.078609835,-0.438307279
4273,2211,SO1940,-0.54793177,-0.682695932,-0.510457064,0.163498732,,-0.537424112,-0.698997744,-0.744197163,-0.272297327,-0.260151897,-0.614845103,-0.53951953,,-0.436353731,-0.318325858,-0.418889825,-0.36215794,-0.948975997,0.078609835,-0.438307279
4274,10851,SO1941,-0.038006323,0.059355278,0.177598929,0.168642036,-0.011587974,0.164786278,0.018634174,0.045442971,-0.058893689,-0.061902439,0.402722177,0.40053793,0.35952117,0.154453593,-0.364013496,0.150559677,-0.440263476,0.209141398,-0.18606493,0.22897257
4275,5091,SO1941,-0.038006323,0.059355278,0.177598929,0.168642036,-0.011587974,0.164786278,0.018634174,0.045442971,-0.058893689,-0.061902439,0.402722177,0.40053793,-0.239566125,0.154453593,-0.364013496,0.150559677,-0.440263476,0.209141398,-0.18606493,0.22897257
4276,2191,SO1942,0.23511432,0.3021728,0.321928095,0.314986485,-0.033569533,0.153156788,-0.231074664,0.032806145,0.022900402,-0.110915901,0.231432408,0.194087052,,0.12035194,-0.556393349,0.255802837,-0.520769439,0.146655222,-0.430508908,0.123003954
4277,7951,SO1942,0.23511432,0.3021728,0.321928095,0.314986485,-0.033569533,0.153156788,-0.231074664,0.032806145,0.022900402,-0.110915901,0.231432408,0.194087052,0.084064265,0.12035194,-0.556393349,0.255802837,-0.520769439,0.146655222,-0.430508908,0.123003954
4278,2131,SO1943,0.668119125,-0.18606493,-0.375197235,-0.202571918,0.408168371,0.177598929,0.864730922,1.431355522,-1.070966521,-0.556393349,0.082702589,0.381837084,,0.340277405,-0.081613766,0.057970069,-0.545824107,1.604545816,-0.263611599,1.070389328
4279,7891,SO1943,0.668119125,-0.18606493,-0.375197235,-0.202571918,0.408168371,0.177598929,0.864730922,1.431355522,-1.070966521,-0.556393349,0.082702589,0.381837084,-0.15682011,0.340277405,-0.081613766,0.057970069,-0.545824107,1.604545816,-0.263611599,1.070389328
4280,5071,SO1944,0.173767068,-0.057391664,0.270229907,0.253384236,0.283329168,0.155749233,-0.112474729,-0.298672743,0.014355293,-0.055891201,0.015782997,0.004321606,0.292781749,-0.182786076,-0.251538767,-0.261880711,-0.701341684,-0.756330919,-0.352915787,-0.179514657
4281,10831,SO1944,0.173767068,-0.057391664,0.270229907,0.253384236,0.283329168,0.155749233,-0.112474729,-0.298672743,0.014355293,-0.055891201,0.015782997,0.004321606,-0.084670324,-0.182786076,-0.251538767,-0.261880711,-0.701341684,-0.756330919,-0.352915787,-0.179514657
