,index,ORF,GSM613947,GSM613948,GSM613949,GSM613950,GSM613951,GSM613952
59,10416,SO_0020,10.87380685,11.09594616,10.7539166,10.00814155,10.97273459,10.35772412
60,1185,SO_0020,7.418785901,7.607492656,7.744173395,6.973058685,7.487711805,7.104602002
61,4621,SO_0020,9.542047072,10.90831146,10.48775928,9.985033121,11.34517088,10.51950631
62,2598,SO_0021,8.62261786,8.093989323,9.149614754,9.137030193,9.773453388,9.092930243
63,13220,SO_0021,,,,,,
64,7569,SO_0021,8.500072096,8.676085819,9.064465829,8.498372343,8.91762115,8.929496162
65,5948,SO_0022,8.69936753,9.043064041,8.927081724,8.391245153,9.828185148,8.894605615
66,408,SO_0022,9.902636701,9.072457049,9.726359535,10.10470905,9.880950699,10.70361084
67,10417,SO_0022,10.00029445,10.30584704,10.1078509,9.6354778,9.898125856,10.24367685
68,12135,SO_0023,10.92472247,10.81289592,9.935587747,10.52446976,9.828185148,10.2100759
69,7279,SO_0023,11.91331865,10.96559434,10.9850226,11.17808234,11.72073202,11.23123432
70,2857,SO_0023,8.842444067,9.237753767,8.422504237,8.539318384,8.668142198,8.666965889
71,5120,SO_0024,14.26738029,14.16051161,13.46671791,13.44189973,12.26194922,13.85377459
72,13221,SO_0024,,,,,,
73,7541,SO_0024,9.205812692,8.47587412,9.531333592,8.711595465,9.531607604,9.143725084
74,11647,SO_0025,7.768413545,7.537442756,8.974261896,7.181259057,8.121975614,7.600230971
75,7899,SO_0025,8.010097281,8.47587412,8.694892381,8.368952775,8.547766817,9.287156914
76,5121,SO_0025,9.885708442,9.778778936,9.397162908,9.533561224,10.33729332,9.758520595
77,1595,SO_0026,7.702949688,7.741010033,8.055404336,7.848699192,8.505539637,7.624967976
78,9817,SO_0026,9.902636701,10.50627457,10.44541797,9.45780534,10.45850648,10.09388427
79,4449,SO_0026,11.88784414,11.86304714,10.93645989,12.05136697,11.55059907,12.31522932
80,6484,SO_0027,7.952542546,7.607492656,7.883909091,7.724173271,7.560860641,7.649420231
81,8755,SO_0027,9.542047072,8.98251969,8.997317797,9.854695374,8.815560135,9.123611212
82,12059,SO_0027,11.57323366,11.54096341,11.923409,11.6166534,10.21883868,11.29007579
83,12909,SO_0028,,,,,,
