,index,ACCESSION_STRING,GSM4233503,GSM4233504,GSM4233505,GSM4233506,GSM4233507,GSM4233508,GSM4233509,GSM4233510
0,6705,SO_0001,6.140581921,6.245916374,6.23278792,6.226780717,6.236978129,6.72647879,6.740460506,6.289218988
1,5008,SO_0001,13.27121047,13.32322462,13.08918465,13.27866094,13.28786842,13.17444108,12.93954829,13.02765017
2,2465,SO_0001,5.202873288,5.303337961,5.07496043,4.883578231,5.23315482,4.830692846,5.449780194,5.16441939
3,11284,SO_0002,9.686534018,9.931135101,9.684891706,10.28260386,9.594418625,9.914787429,9.790481484,9.993142378
4,7072,SO_0002,5.607896291,5.72332998,5.704432911,6.298413239,5.168185853,5.814271718,5.302195786,5.99761146
5,9709,SO_0002,4.035107628,3.631596099,3.853661167,3.667514342,5.23315482,4.925720754,4.608462046,4.798653429
6,9887,SO_0003,8.276358841,8.356123463,7.748740491,8.172835649,8.096815961,8.304866372,8.351299826,7.977031602
7,3260,SO_0003,11.65432292,11.62208918,11.60111225,11.78244302,11.76142932,11.73254655,11.79505812,11.7942967
8,7033,SO_0003,8.859982368,9.057112788,9.437661844,9.03519535,9.722359934,9.024153786,10.6309386,10.31276287
9,8284,SO_0004,5.098837604,4.949260778,5.822261799,5.223533708,5.267503163,6.23278792,6.337963089,5.747028256
10,9671,SO_0004,8.357911,8.098790765,8.220773128,7.99834575,7.877784909,8.120984975,7.972730723,8.110256891
11,5215,SO_0004,9.51302508,9.03639791,9.537134183,9.123200922,9.373858347,9.202629851,9.108329415,8.930054641
12,8290,SO_0005,9.82935667,10.01378553,10.42352999,9.716745102,9.631893911,9.755023798,9.190643571,9.776104611
13,13564,SO_0005,4.07845016,4.323307283,3.893642467,3.953068076,2.289956489,3.72319329,4.350081966,4.641351151
14,2837,SO_0005,7.544629338,7.817905429,7.849720215,7.910007827,7.870097295,7.872023042,7.732509212,8.287223528
15,2891,SO_0006,5.849101764,5.628091992,6.213476159,5.855345139,5.704432911,6.285755981,6.069189345,5.926008403
16,12256,SO_0006,13.44439461,13.54149223,13.56866354,13.60890672,13.23507282,13.24458038,13.23507282,13.31324006
17,3667,SO_0006,9.130458923,8.997057026,8.777318213,8.946231189,9.480828825,9.835093706,9.61612448,9.419737182
18,3633,SO_0007,6.951507702,6.793852048,7.135905517,7.069319562,7.037070593,6.868287083,6.941638989,6.88669193
19,3008,SO_0007,3.799646649,3.564594119,3.333779082,3.32480817,3.279216555,3.342694556,3.602198459,3.796405457
20,10732,SO_0008,16.03682867,15.95238764,15.98641886,16.22528195,11.31827115,11.6900609,11.0816626,11.08830403
21,1448,SO_0008,9.006905645,8.982424307,8.908262393,9.29092688,9.502186133,9.12044948,9.281974358,9.533792797
22,15240,SO_0008,,,,,,,,
23,1758,SO_0009,10.24995088,10.10944758,10.44965203,10.40755365,9.893899312,10.30615471,9.922612838,10.35681687
24,3440,SO_0009,8.569216234,8.333799962,8.197003486,8.262478395,8.101091293,8.375394102,7.890000516,8.227106295
25,1442,SO_0009,4.718724852,4.524761318,4.910810773,4.615835805,4.963780601,5.686160926,4.883578231,5.426906398
26,8151,SO_0010,6.3958619,6.732426984,6.587126852,6.705896764,6.922068522,6.976783238,7.02292679,6.775450661
27,4066,SO_0010,10.46870715,10.21502527,10.75422497,10.47296405,10.40755365,10.23397956,9.762621436,10.35261634
28,13571,SO_0010,9.106776558,9.34627909,8.599751566,9.022940972,9.743288803,9.826082283,10.40854908,9.972558585
29,9258,SO_0011,6.586188701,6.764296105,6.625531744,6.830757663,7.124319125,7.527626574,7.981676464,7.450080244
30,2634,SO_0011,8.859982368,9.918658859,9.694064667,10.18474412,9.55168496,9.830198871,9.570484996,9.518198992
31,12601,SO_0011,8.394812623,8.429748297,8.018654361,8.413576645,9.006555064,9.653215239,9.075613862,8.921990787
32,15044,SO_0012,,,,,,,,
33,4844,SO_0012,11.45982561,11.29631781,11.52818871,11.51530887,11.51339779,11.38101246,11.2523626,11.42597987
34,13413,SO_0012,7.323508591,7.685320877,7.261099453,7.432701641,6.755977509,7.701005786,6.855106781,7.283265529
35,5675,SO_0013,7.879317528,7.691440843,8.251572963,7.847568722,8.14634785,7.788435335,7.611857546,8.172835649
36,1802,SO_0013,12.9578197,13.20244246,13.14399403,12.87995778,12.58258755,11.79467746,12.1055056,13.16505719
37,1034,SO_0013,9.068997563,8.660509852,9.069668951,8.83670251,8.940369773,8.960419409,8.991576063,8.592061283
