,index,ORF,GSM197317,GSM197321,GSM197323,GSM197324,GSM197325,GSM197327,GSM197328,GSM197329
0,8601,SO0001,-0.036122772,0.458628745,0.494992343,0.356783392,-0.312087809,-0.338683483,-0.324518696,0.236548208
1,2841,SO0001,-0.064709891,0.179483521,0.369996423,0.203975116,-0.288374557,-0.523818775,-0.242458378,-0.76017188
2,5172,SO0001F,0.060905115,-0.080531789,-0.331547789,-0.855039058,-0.732566668,-0.591726151,0.013562097,-0.406402036
3,10932,SO0001F,-0.178369471,-0.213603367,-0.65377077,-0.220800157,-0.13540944,0.047647464,-0.404616351,-0.12949441
4,2296,SO0002,-1.330015997,-0.978745503,-0.958954701,-0.972389327,-1.363900081,-1.236638268,-1.411721044,-1.979169582
5,8056,SO0002,-1.57674008,-1.115522335,-0.863215321,-1.170122738,-1.202400893,-1.095435623,-0.918110802,-1.283388524
6,5176,SO0003,0.354777541,-0.045594508,-0.187853451,0.18319501,-0.134123884,-0.32949793,-0.458345571,-0.466328567
7,10936,SO0003,-0.429871857,0.149756741,0.243808536,0.073361178,0.120810837,0.147046489,0.210126231,-0.433337451
8,8036,SO0004,-0.731527425,-0.549360127,-0.482516848,-0.719404891,-0.463847996,-0.42963369,-0.481649318,-0.874622915
9,2276,SO0004,-0.97661104,-0.667013136,-0.456030839,-1.140404994,-1.077736667,-0.612918953,-0.844088272,-1.254995166
10,5156,SO0005,-0.693038748,-0.661400895,-0.378391637,-0.306547608,-0.455555256,-0.550819833,-0.439207662,-1.164005037
11,10916,SO0005,-0.647858015,-0.429502459,0.046002533,-0.668396963,-0.738815243,-0.467577676,-0.210248332,-0.729529971
12,4595,SO0006,-0.947966021,-0.935003169,-0.216340084,-0.841379172,-0.647314702,-0.540884592,-0.46843805,-0.693944055
13,10355,SO0006,-0.642990853,-0.401268039,-0.072102502,-0.520413949,-0.720629963,-0.419248563,-0.444277121,-0.686805285
14,5744,SO0007,-0.553727672,-0.401143447,-0.069708881,-0.33567826,-0.475266082,-0.587706646,-0.303526962,-0.957795399
15,11504,SO0007,-0.447235183,-0.387325898,-0.059900203,-0.271149621,-0.446037597,-0.139213919,-0.150345863,0.026160497
16,5375,SO0008,-0.331353855,-0.238344775,0.030943548,-0.132221388,-0.431454125,-0.612817514,-0.19890107,-0.653350002
17,11135,SO0008,0.056615071,0.081339475,-0.012130774,0.223035835,-0.646467384,0.104846649,-0.007107601,-0.218556498
18,6779,SO0009,-0.049575165,0.599919381,0.464963819,0.297524169,-0.263142058,-0.420839422,-0.573216822,-0.572039371
19,1019,SO0009,-0.386318821,0.485278976,0.292003883,0.195809221,-0.543259103,-0.570916007,-0.89994977,-1.23073808
20,8016,SO0009F,-0.43374427,-0.276595935,0.270902532,-0.883823069,-0.198519555,-0.214935545,0.158584461,-0.798854727
21,2256,SO0009F,-0.388781106,-0.279394804,-0.642295832,-0.311279063,-0.354679526,-0.237575386,-0.591652978,-0.285889108
22,8216,SO0010,0.025489406,0.484503486,0.563934877,0.46511949,-0.154258501,0.02710494,-0.239005411,-0.455181384
23,2456,SO0010,-0.241857569,0.397593267,0.163879684,0.351561028,-0.072710651,-0.29263693,-0.421340694,-1.189762649
24,5136,SO0010F,-0.396819977,0.077265851,-0.331624249,-0.263631671,-0.342410205,-0.117773169,-0.492907846,-0.553843627
25,10896,SO0010F,-0.044858592,-0.223115939,-0.385055823,-0.34925422,-1.224435838,-0.670561472,-0.317464329,-0.468969567
26,8020,SO0011,-0.31387835,-0.081061971,-0.1634991,0.018830034,-0.146146842,-0.305718996,-0.22921845,-0.3689202
27,2260,SO0011,-0.400713817,0.080388768,-0.281678594,-0.199978312,-0.377962448,-0.44650553,-0.674607035,-1.036360523
28,5140,SO0012,-0.17565631,0.516503535,0.111950634,-0.201596799,-0.893711065,-0.955080473,-1.069278186,-1.152088643
29,10900,SO0012,0.224792752,0.576612478,-0.019159045,0.070143509,-0.760196303,-0.743526237,-0.559284582,-1.399251656
30,10020,SO0013,0.692553878,1.086651053,0.718444368,0.743692424,0.014076588,0.312889923,0.210305596,0.448782888
31,4260,SO0013,0.33137302,0.460029132,0.400141124,0.751135785,-0.044257764,0.068758849,0.01223314,-0.116105578
32,8000,SO0014,0.209823529,0.781585655,0.524047678,0.79193885,0.284362816,0.058187525,-0.014067579,-0.133618625
33,2240,SO0014,0.241711175,0.664528216,0.23023668,0.505417479,-0.371653799,-0.066378281,-0.290878307,-1.170265995
34,5120,SO0015,0.505754841,0.72184205,0.698178687,0.713421211,0.097184302,0.058916126,0.03272213,-0.464732866
35,10880,SO0015,0.50510642,1.015094794,0.777196153,1.035506276,0.232359583,0.263490254,0.04055256,-0.058723171
36,7332,SO0016,-0.223999423,0.265798781,-0.084298099,0.063264194,-0.92601668,-0.453536739,-0.482446089,-0.336445769
37,1572,SO0016,-0.080789985,0.224786898,-0.190862167,0.260680919,-0.916361618,-0.469028901,-0.383257701,-0.224298524
38,4634,SO0017,0.865757875,1.354310529,1.317231269,1.468912258,0.990632015,0.958820157,1.138297916,0.214213518
39,10394,SO0017,1.613710111,2.044294266,1.141248086,2.025179317,1.065157604,0.865272996,1.328920336,0.850423193
40,4452,SO0017F,1.525087788,2.100376612,1.776764048,1.717977301,1.144533069,1.518302857,1.381413902,1.609946561
41,10212,SO0017F,1.693569096,2.771635143,2.064119479,2.178890658,1.789250579,1.629132369,1.634012554,1.884690862
42,7336,SO0018,-0.627118181,-0.505161983,-0.517477251,-0.625080679,-0.664255234,-0.773094489,-1.03254999,-1.480990276
43,1576,SO0018,-0.682867745,-0.445368164,-0.699664542,-0.493370599,-1.104767794,-0.791079382,-0.78863763,-1.100123524
44,4456,SO0019,-0.39849788,-0.252403672,-0.543252638,-0.38551843,-0.800162803,-0.629166469,-0.651215546,-1.206161494
45,10216,SO0019,-0.263784618,-0.151102728,-0.395262757,-0.006281565,-0.503150906,-0.588871599,-0.776068353,-0.80834686
46,7316,SO0020,0.773972816,1.093225474,1.28555237,0.936323334,-2.159596241,-2.125472446,-2.032118658,-3.044675746
47,1556,SO0020,0.712950319,0.952377245,0.827849898,1.033488316,-2.292253428,-2.3272864,-2.264075394,-2.279760865
48,4436,SO0021,0.384105728,0.682614813,0.931614391,0.487567481,-1.881730618,-1.867948276,-1.648100707,-2.158032674
49,10196,SO0021,0.789047364,1.07875898,1.061994883,0.949690468,-1.546748675,-1.696166234,-1.891427163,-1.953120327
50,1536,SO0022,0.117808441,0.540604363,0.061209376,0.633460659,-0.74017745,-0.465029178,-0.515801075,-0.700416513
51,7296,SO0022,0.362235864,0.744500471,0.261125632,0.532086147,-0.435957005,-0.274242669,-0.349214014,-0.42733848
52,7455,SO0023,0.493894864,0.283751676,0.308461846,0.189149588,-0.453587273,-0.316797561,-0.723445393,-0.235185092
53,1695,SO0023,-0.118220756,0.08475911,-0.122767743,0.179262614,-0.840569665,-0.460221582,-0.345144606,-1.049016027
54,1773,SO0024,0.343505186,0.3586029,0.239923835,0.376418287,0.240773934,0.103060602,-0.005679332,-0.217912469
55,7533,SO0024,0.212008735,0.374667263,0.742317082,0.238779345,0.522155522,0.364201316,0.351208461,-0.284220366
56,10176,SO0024F,-0.092161128,-0.465298705,-0.661058557,-1.215810541,-0.079301098,-0.165150611,0.126916934,-0.545483494
57,4416,SO0024F,-0.558589663,-0.335969664,-0.950939134,-0.439438626,-0.095060708,-0.253392504,-0.728263642,-0.760880765
58,1540,SO0025,0.081884686,0.136152688,-0.288671358,0.119319792,-0.736191096,-0.669600135,-0.849199398,-1.158588905
59,7300,SO0025,-0.077969949,0.251599456,0.036217495,0.216072141,-0.557551963,-0.601476183,-0.576546712,-1.071819108
60,4420,SO0026,-0.556270671,-0.265659021,-0.157591666,-0.305776578,-0.607322399,-0.443664689,-0.206969117,-1.130877484
61,10180,SO0026,0.004130151,0.104321125,-0.194621297,-0.13073754,-0.237354168,0.19507344,-0.682909982,-0.756563234
62,7280,SO0027,-0.316878168,0.001630586,-0.326404363,0.007246913,-0.880891851,-0.758312036,-0.857307443,-1.150004125
63,1520,SO0027,-0.503296908,-0.137785054,-0.501968833,-0.20545587,-1.100022827,-1.113739622,-0.901155961,-0.885709593
64,10160,SO0028,0.575107386,0.878614636,0.215811968,0.654751944,-0.546129757,-0.579940724,-0.734058881,-1.167456552
65,4400,SO0028,0.344668689,0.62409244,0.084365987,0.492956373,-0.719145353,-0.779621545,-0.598045825,-0.8782534
66,8053,SO0029,0.568009446,1.095580964,0.692166406,0.893927984,-0.062059112,0.100899561,-0.239754785,-0.222676602
67,2293,SO0029,0.515181659,0.854263315,0.839618733,0.845321912,-0.314471471,-0.173523069,-0.35085188,-0.977329378
68,6054,SO0030,0.468428687,0.457078396,0.460819141,0.790741758,-0.165946305,-0.191766698,-0.033675078,-0.250480522
69,294,SO0030,0.257749413,0.540817833,0.351250429,0.687350225,-0.501927469,-0.454656008,-0.171457984,-0.41879293
70,10933,SO0030F,-0.048595923,-0.405182632,-0.290901199,-0.145114829,-0.487229461,-0.283235102,0.415134505,-0.246656681
71,5173,SO0030F,-0.106529573,0.11944423,-0.6071044,-0.273404376,-0.322863538,0.250421445,-0.112611429,0.024778965
72,2297,SO0031,0.429985738,0.710564886,0.33659387,0.810335494,-0.169425936,-0.213917424,-0.20786455,-0.592043489
73,8057,SO0031,0.319478787,0.857167575,0.617688612,0.458278341,0.126459634,-0.00426209,0.008214918,-0.258726353
74,10937,SO0032,0.029578459,0.31841554,0.743784561,0.339650208,0.010079724,0.010917481,0.060887893,-0.282387147
75,5177,SO0032,-0.28439849,0.196758166,0.430937126,0.41283809,-0.056556248,-0.183055529,-0.174435993,-0.560627378
76,2277,SO0033,-0.111989005,0.318576238,-0.032663859,0.170689521,-0.706756359,-0.68794405,-0.416445368,-1.406705103
77,8037,SO0033,-0.451990379,0.308816445,0.344581719,0.213468968,-0.664941046,-0.444987481,-0.544159696,-0.227772469
78,7198,SO0034,0.109662631,0.529129477,0.606242328,0.582769756,-0.374299966,-0.140370228,-0.396502993,-0.267396574
79,1438,SO0034,0.427971964,0.231339825,0.44193095,0.247449202,-0.415858389,-0.674681909,-0.381594142,-0.694084761
80,10917,SO0034F,-0.031880906,0.434725234,0.15028589,-0.360614973,-0.25076798,-0.181145012,0.263006547,0.246022261
81,5157,SO0034F,-0.680514872,-0.120356266,-0.205034109,-0.442767537,-0.29311856,0.239033865,0.090325808,-0.532768448
82,8621,SO0035,0.781161895,1.019072917,1.186538533,1.108502109,0.510338963,0.691906509,0.342385814,1.079293391
83,2861,SO0035,0.691259897,0.861961432,0.681217884,0.867939178,0.459599797,0.23197865,0.289954244,0.257186984
84,1428,SO0036,0.880748139,-0.004095389,-0.032456564,1.913692808,-0.077243839,1.789933124,0.094103093,-0.698597069
85,7188,SO0036,-0.241472202,0.561245879,0.509507326,-0.141930253,-0.166258444,-0.390742275,0.504675777,0.287062259
86,8017,SO0036F,-0.199091985,-0.409326835,0.216514073,-0.36764426,-0.919452297,-0.43686437,-0.173504739,-0.472668665
87,2839,SO0036F,0.256595532,0.499614087,0.347421831,0.204948587,-0.411633106,-0.507682272,-0.162198439,-0.373094158
88,8599,SO0036F,0.384552772,0.884566994,0.508309526,0.41400704,-0.212553619,-0.200198648,-0.184847357,-0.109798299
89,2257,SO0036F,-0.368983278,-0.640012604,-0.684413743,-0.388298018,-0.635752251,-1.11467916,-0.135203557,-0.526046162
90,10897,SO0037,0.010408864,0.188513422,0.239406222,0.155433186,-0.260305096,-0.138154976,-0.209760255,-0.481389596
91,5137,SO0037,-0.002638172,0.061618454,0.22763004,0.106634246,-0.042653624,-0.266663151,-0.362786312,-0.973992048
92,8021,SO0038,-0.113809517,0.427763299,0.089035548,0.602238985,-0.002506955,-0.110382207,-0.075287307,-0.52451335
93,2261,SO0038,0.121942225,0.357230388,0.056690697,0.313849687,-0.141483128,-0.470637467,-0.326480647,-0.809679192
