,index,ORF,GSM525509,GSM525510,GSM525511,GSM525512,GSM525513,GSM525514
0,12954,ISSod1 transposase,3552.0,2662.67,3684.0,3917.33,2782.67,2010.67
1,8579,ISSod1 transposase,26720.0,30746.0,31181.33,40046.67,30370.67,37842.67
2,6368,ISSod1 transposase,18172.0,11216.67,13921.33,11563.33,20156.0,13974.67
3,6590,SO_0001,202.67,145.33,118.0,182.0,179.33,185.33
4,2489,SO_0001,9137.33,13460.0,12058.67,13903.33,10379.33,7981.33
5,12540,SO_0001,31549.33,36613.33,36757.33,37214.67,34432.67,31016.0
6,6877,SO_0002,1289.33,798.0,945.33,1985.33,1308.67,822.67
7,9816,SO_0002,984.0,1120.0,823.33,1084.0,628.67,1000.0
8,847,SO_0002,1894.67,1120.0,2884.0,1641.33,1805.33,1553.33
9,12475,SO_0003,4101.33,5592.0,3461.33,3326.67,2980.0,2361.33
10,7663,SO_0003,2662.67,4170.67,3448.0,7602.67,5890.67,6286.67
11,3770,SO_0003,9309.33,7708.0,14564.0,15810.67,14071.33,9460.0
12,8387,SO_0004,3249.33,4501.33,3218.67,3978.67,3366.67,4851.33
13,3771,SO_0004,477.33,281.33,257.33,776.0,669.33,666.67
14,221,SO_0004,2578.0,2512.0,2316.0,2662.67,1830.67,3242.67
15,12637,SO_0005,12390.0,13718.0,11613.33,7806.0,6597.33,6815.33
16,2014,SO_0005,697.33,1012.67,620.0,886.67,988.67,1026.67
17,6177,SO_0005,18208.0,12562.67,16600.0,16560.67,22461.33,13441.33
18,10560,SO_0006,31414.67,37813.33,28045.33,42508.0,21078.67,57657.33
19,5513,SO_0006,136.33,54.0,570.67,334.67,179.33,280.0
20,2297,SO_0006,2064.0,2525.33,2737.33,2730.0,4348.67,4536.67
21,1902,SO_0007,2993.33,2427.33,2786.67,4792.0,3253.33,3225.33
22,9452,SO_0007,9992.0,6568.0,8342.67,11449.33,14278.67,11573.33
23,599,SO_0008,60642.0,54938.67,63738.67,59676.67,62256.0,56017.33
24,5733,SO_0008,4498.67,8748.0,4930.67,38589.33,22058.67,19630.67
25,9369,SO_0008,2678.67,3198.67,3068.0,3721.33,2782.67,3160.67
26,11825,SO_0009,9785.33,8584.67,9918.67,4580.0,6513.33,5948.0
27,7633,SO_0009,178.67,54.0,280.0,525.33,274.67,244.0
28,8890,SO_0009,26233.33,25090.67,22284.0,6909.33,10667.33,6766.67
29,12283,SO_0010,761.33,1346.67,816.0,2093.33,1074.67,952.0
30,8560,SO_0010,50764.0,55736.0,41901.33,61294.0,48450.67,55712.0
31,4620,SO_0010,4272.67,5249.33,4689.33,5353.33,2954.67,6564.67
32,3988,SO_0011,164.0,54.0,198.67,334.67,396.0,236.0
33,6630,SO_0011,1837.33,1379.33,1784.0,969.33,969.33,1208.0
34,12412,SO_0011,4252.0,3042.67,5630.67,3165.33,2645.33,2474.67
35,1475,SO_0012,6250.67,6188.67,4122.67,2782.67,4637.33,4352.0
36,4878,SO_0012,17799.33,21210.67,16467.33,12274.67,13718.0,16824.0
37,11826,SO_0012,150.67,489.33,8.0,279.33,8.0,10.0
38,11577,SO_0013,14221.33,10524.67,10580.0,6729.33,8264.0,4830.67
39,3082,SO_0013,882.67,649.33,941.33,561.33,870.67,536.0
40,5865,SO_0013,9424.0,11578.67,8725.33,29516.0,25668.0,18429.33
41,10246,SO_0014,2400.0,2390.0,3326.67,7449.33,5072.0,4778.0
42,6217,SO_0014,13820.0,11541.33,11104.0,10960.67,22899.33,16586.67
43,2359,SO_0014,4819.33,4546.67,3664.67,2229.33,3838.0,2737.33
44,9017,SO_0015,1406.67,866.67,1537.33,3606.67,4844.0,5081.33
45,12199,SO_0015,1541.33,2085.33,3164.0,4914.67,5390.67,5328.67
46,5219,SO_0015,3536.0,4091.33,7402.67,5794.67,6542.67,8888.67
47,10561,SO_0016,9640.0,10600.67,13789.33,25065.33,28612.0,23704.67
48,5452,SO_0016,5012.0,3637.33,3573.33,5540.0,5401.33,2722.67
49,540,SO_0016,48546.67,54660.0,57886.67,52029.33,46402.67,50467.33
50,6726,SO_0017,4997.33,4720.0,6697.33,10741.33,11294.0,10065.33
51,3083,SO_0017,3214.67,2786.67,2969.33,3276.0,2612.0,1494.67
52,11744,SO_0017,10098.67,11756.0,15573.33,6432.67,5103.33,5480.0
53,1401,SO_0018,2524.67,2125.33,2617.33,1016.0,2048.0,1412.0
54,11043,SO_0018,192.0,248.0,321.33,182.0,144.0,185.33
55,6273,SO_0018,2174.67,3121.33,1838.67,2370.0,1697.33,1877.33
56,3346,SO_0019,2112.0,2700.67,3129.33,1314.67,1839.33,2003.33
57,344,SO_0019,338.67,54.0,22.0,36.67,74.0,15.67
