,index,ORF,GSM635111,GSM635112,GSM635113,GSM635114,GSM635115,GSM635116,GSM635117,GSM635118
1730,1485,SO_0620,9985.166667,10087.83333,9478.0,13352.33333,12290.33333,16052.5,8727.0,10229.66667
1731,6847,SO_0620,4212.833333,1404.666667,7443.333333,5752.166667,7984.666667,4642.0,14790.66667,16304.66667
1732,1345,SO_0621,3360.0,4858.0,8081.166667,9992.166667,7536.333333,11262.66667,9212.5,3810.5
1733,9499,SO_0621,8427.833333,10956.0,20194.0,15177.0,12543.66667,11592.33333,2381.0,4176.0
1734,6543,SO_0621,3323.666667,1261.833333,3268.666667,2793.333333,2228.833333,2544.333333,4802.333333,6882.833333
1735,7749,SO_0622,1109.0,1719.333333,946.8333333,699.6666667,983.3333333,706.3333333,1218.333333,1914.833333
1736,11590,SO_0622,84.5,180.3333333,264.6666667,58.0,144.6666667,85.33333333,79.66666667,86.66666667
1737,1346,SO_0622,4965.5,2457.333333,9087.666667,8118.833333,5807.166667,5109.0,3273.0,2482.5
1738,483,SO_0623,660.6666667,1126.666667,3103.0,3830.5,5187.666667,3403.666667,655.6666667,219.3333333
1739,10270,SO_0623,358.0,2587.333333,440.3333333,555.0,761.5,425.6666667,655.6666667,763.3333333
1740,6769,SO_0623,10822.0,3093.333333,8126.833333,12710.66667,14368.16667,8579.333333,56491.33333,33200.0
1741,8925,SO_0624,286.8333333,967.6666667,132.0,58.0,302.3333333,241.0,288.3333333,72.33333333
1742,5558,SO_0624,7920.0,11834.16667,3951.666667,6592.5,5237.833333,8075.833333,7131.666667,6489.333333
1743,547,SO_0624,6707.333333,4961.5,4708.0,6688.666667,4894.666667,9935.666667,6758.333333,7105.333333
1744,1126,SO_0625,15430.0,22286.33333,13927.66667,13491.33333,7499.833333,14287.0,6485.0,8594.666667
1745,6221,SO_0625,30817.66667,9476.333333,39149.0,32817.66667,26785.66667,26090.0,28206.0,28016.66667
1746,11591,SO_0625,3120.333333,2660.666667,2670.333333,2953.0,1938.333333,2280.666667,3442.666667,2075.166667
1747,10073,SO_0626,801.5,2095.666667,749.3333333,1405.666667,1371.166667,1582.333333,1344.0,1342.0
1748,725,SO_0626,397.0,643.0,749.3333333,906.3333333,513.8333333,171.8333333,365.3333333,59.66666667
1749,6972,SO_0627,10046.33333,4270.333333,7747.333333,8619.333333,7579.166667,6357.666667,17216.0,14528.33333
1750,9500,SO_0627,4509.166667,6303.166667,28893.0,30778.0,26526.0,31572.66667,16805.0,11206.33333
1751,1238,SO_0627,3859.333333,1420.666667,6293.333333,7579.166667,2936.166667,6843.333333,3480.0,4455.333333
1752,11505,SO_0628,3887.0,5043.333333,1875.666667,1330.666667,1326.333333,1769.0,671.6666667,813.1666667
1753,4669,SO_0628,469.3333333,84.33333333,893.6666667,832.1666667,1465.666667,815.0,476.3333333,682.8333333
1754,7445,SO_0628,1589.333333,14277.66667,471.3333333,752.5,366.0,746.3333333,754.3333333,745.6666667
1755,13491,SO_0629,,,,,,,,
1756,10814,SO_0630,91.83333333,1.0,264.6666667,255.6666667,65.33333333,241.0,412.3333333,651.6666667
1757,5953,SO_0630,1720.333333,802.0,1596.333333,1630.333333,1114.0,1306.666667,3250.333333,4027.666667
1758,2698,SO_0630,2543.333333,6491.166667,1875.666667,1664.666667,2936.166667,1548.666667,2579.333333,3341.166667
1759,548,SO_0631,358.0,564.6666667,318.3333333,100.6666667,302.3333333,327.6666667,69.66666667,385.6666667
1760,10271,SO_0631,1685.0,10419.66667,1671.333333,1145.666667,850.3333333,920.1666667,698.0,698.3333333
1761,3298,SO_0632,508.5,697.8333333,264.6666667,660.6666667,551.3333333,660.0,1059.333333,1256.333333
1762,11988,SO_0632,7498.666667,6694.333333,11774.16667,11005.66667,7197.166667,8198.0,10870.66667,8833.333333
1763,9395,SO_0632,3613.333333,1277.166667,2079.333333,3337.0,3031.833333,3710.333333,1126.666667,551.8333333
1764,2436,SO_0633,41063.33333,35869.66667,41120.66667,38313.16667,42248.0,44413.0,56491.33333,36373.33333
1765,9850,SO_0633,69.66666667,1224.666667,180.8333333,163.0,983.3333333,184.6666667,93.5,1.0
1766,6284,SO_0633,12823.66667,12484.66667,10571.33333,7302.166667,8550.833333,7927.666667,10616.0,10424.0
1767,12360,SO_0634,9930.0,6263.666667,6907.666667,5004.0,4432.333333,5832.666667,7273.0,9374.333333
1768,9851,SO_0635,430.6666667,579.1666667,535.6666667,752.5,717.8333333,1049.666667,1988.666667,1914.833333
1769,8285,SO_0635,4153.833333,2765.666667,3639.333333,5235.333333,4187.0,5233.833333,3093.833333,2518.666667
1770,849,SO_0635,1369.0,5583.833333,1716.0,1614.5,1114.0,2117.333333,3131.0,3623.833333
1771,9501,SO_0636,9985.166667,15243.16667,3490.0,3771.0,5689.0,5535.333333,1100.666667,910.1666667
1772,7874,SO_0636,34356.33333,8486.333333,25474.0,31085.0,21458.5,34283.16667,40474.16667,29269.0
