SO_0001,{'GO_0010181'}
SO_0053,"{'GO_0008654', 'GO_0046167', 'GO_0046474', 'GO_0006072', 'GO_0016616', 'GO_0005975', 'GO_0051287', 'GO_0016491', 'GO_0006650', 'GO_0141153', 'GO_0047952', 'GO_0005737', 'GO_0000166', 'GO_0005829', 'GO_0046168'}"
SO_0054,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0055,"{'GO_0008150', 'GO_0003674'}"
SO_0056,{'GO_0071555'}
SO_0057,"{'GO_0071805', 'GO_0006813', 'GO_0005886', 'GO_0030001', 'GO_0015379', 'GO_0016020'}"
SO_0058,{'GO_0006813'}
SO_0059,"{'GO_0000976', 'GO_0000156', 'GO_0000160', 'GO_0034220', 'GO_0006355', 'GO_0003677', 'GO_0032993', 'GO_0005829'}"
SO_0060,"{'GO_0007165', 'GO_0000160', 'GO_0004673', 'GO_0034220', 'GO_0000155', 'GO_0016301', 'GO_0016020'}"
SO_0061,"{'GO_0008150', 'GO_0006508', 'GO_0008234', 'GO_0003674', 'GO_0016020'}"
SO_0062,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0063,"{'GO_0008150', 'GO_0016740', 'GO_0004674', 'GO_0003674', 'GO_0005829', 'GO_0005575'}"
SO_0065,"{'GO_0046872', 'GO_0006777'}"
SO_0066,"{'GO_0004866', 'GO_0003674', 'GO_0008150', 'GO_0005575'}"
SO_0067,"{'GO_0006508', 'GO_0046677', 'GO_0008955', 'GO_0009252', 'GO_0008658', 'GO_0004180'}"
SO_0068,"{'GO_0008150', 'GO_0009271', 'GO_0003674', 'GO_0006355', 'GO_0016020', 'GO_0005575'}"
SO_0069,"{'GO_0005886', 'GO_0140359', 'GO_0016020', 'GO_0055085'}"
SO_0070,"{'GO_0009877', 'GO_0016887', 'GO_0005524'}"
SO_0071,"{'GO_0008150', 'GO_0006508', 'GO_0008233', 'GO_0016787'}"
SO_0072,"{'GO_0003700', 'GO_0006355'}"
SO_0073,"{'GO_0016887', 'GO_0005524'}"
SO_0074,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_0075,"{'GO_0008150', 'GO_0016405', 'GO_0016874', 'GO_0004467', 'GO_0001676'}"
SO_0076,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0077,"{'GO_0008150', 'GO_0047617', 'GO_0016790', 'GO_0003674', 'GO_0005575'}"
SO_0078,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0079,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0081,"{'GO_0008150', 'GO_0016829', 'GO_0051907', 'GO_0003674', 'GO_0016846', 'GO_0046872', 'GO_0005575'}"
SO_0082,"{'GO_0006355', 'GO_0003700', 'GO_0003677'}"
SO_0083,"{'GO_0098869', 'GO_0003674', 'GO_0051920'}"
SO_0084,"{'GO_0019509', 'GO_0043874', 'GO_0043715', 'GO_0019284', 'GO_0016787', 'GO_0043716', 'GO_0046872', 'GO_0000287', 'GO_0009086'}"
SO_0085,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_0086,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_0088,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0090,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0091,"{'GO_0008150', 'GO_0003674', 'GO_0006355', 'GO_0003700', 'GO_0005829', 'GO_0005575'}"
SO_0092,"{'GO_0006152', 'GO_0004731', 'GO_0009164', 'GO_0009116', 'GO_0016757', 'GO_0042278', 'GO_0005829'}"
SO_0093,"{'GO_0015293', 'GO_0005337', 'GO_0005886', 'GO_1901642', 'GO_0016020'}"
SO_0095,"{'GO_0019556', 'GO_0005506', 'GO_0006548', 'GO_0019557', 'GO_0016812', 'GO_0050480', 'GO_0006547', 'GO_0016787', 'GO_0046872', 'GO_0005737', 'GO_0008270'}"
SO_0096,"{'GO_0006547', 'GO_0006355', 'GO_0003677', 'GO_0045892', 'GO_0003700'}"
SO_0097,"{'GO_0019556', 'GO_0016829', 'GO_0006548', 'GO_0019557', 'GO_0016153', 'GO_0006547', 'GO_0005737'}"
SO_0098,"{'GO_0004397', 'GO_0019556', 'GO_0016829', 'GO_0006548', 'GO_0019557', 'GO_0006547', 'GO_0016841', 'GO_0005737'}"
SO_0101,"{'GO_0051539', 'GO_0030151', 'GO_0016491', 'GO_0008863', 'GO_0045333', 'GO_0046872', 'GO_0047111', 'GO_0009061', 'GO_0009055', 'GO_0043546'}"
SO_0102,"{'GO_0051539', 'GO_0015944', 'GO_0005886', 'GO_0016491', 'GO_0045333', 'GO_0046872', 'GO_0016020'}"
SO_0103,"{'GO_0009055', 'GO_0015944', 'GO_0005886', 'GO_0009326', 'GO_0016491', 'GO_0008863', 'GO_0022904', 'GO_0045333', 'GO_0071944', 'GO_0009061', 'GO_0016020', 'GO_0036397'}"
SO_0104,"{'GO_0008199', 'GO_0051604', 'GO_0003674', 'GO_0005737', 'GO_0005829'}"
SO_0105,"{'GO_0016740', 'GO_0001514', 'GO_0006412', 'GO_0004125', 'GO_0005737'}"
SO_0106,"{'GO_0005525', 'GO_0003924', 'GO_0035368', 'GO_0001514', 'GO_0000049', 'GO_0006412', 'GO_0005737', 'GO_0003746', 'GO_0006414', 'GO_0003723', 'GO_0016259'}"
SO_0107,"{'GO_0005737', 'GO_0006777', 'GO_0016783', 'GO_0097163'}"
SO_0108,"{'GO_0008150', 'GO_0003674', 'GO_0005886', 'GO_0005575'}"
SO_0109,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0110,"{'GO_0008150', 'GO_0006508', 'GO_0004222', 'GO_0008237', 'GO_0007155', 'GO_0003674', 'GO_0005886', 'GO_0009289', 'GO_0046872', 'GO_0016020', 'GO_0005575'}"
SO_0111,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0112,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_0113,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0114,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0115,"{'GO_0008150', 'GO_0004803', 'GO_0006313', 'GO_0003674', 'GO_0003677', 'GO_0005575'}"
SO_0116,"{'GO_0008150', 'GO_0004803', 'GO_0006313', 'GO_0003674', 'GO_0003677', 'GO_0005575'}"
SO_0118,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0119,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0120,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0121,"{'GO_0008381', 'GO_0008150', 'GO_0055085', 'GO_0034220', 'GO_0005886', 'GO_0003674', 'GO_0071470', 'GO_0016020', 'GO_0005575'}"
SO_0122,"{'GO_0006865', 'GO_0042970', 'GO_0005886', 'GO_0042968', 'GO_0016020'}"
SO_0123,"{'GO_0008150', 'GO_0003841', 'GO_0016746', 'GO_0006654'}"
SO_0125,"{'GO_0008150', 'GO_0004067', 'GO_0003674', 'GO_0016787', 'GO_0005575'}"
SO_0126,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0127,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_0129,"{'GO_0008150', 'GO_0005886', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_0130,"{'GO_0006508', 'GO_0005576', 'GO_0008233', 'GO_0008237', 'GO_0046872'}"
SO_0131,"{'GO_0008150', 'GO_0042866', 'GO_0016829', 'GO_0008813', 'GO_0006744', 'GO_0003674', 'GO_0005737', 'GO_0005829', 'GO_0005575'}"
SO_0132,"{'GO_0097588', 'GO_0071973', 'GO_0071978', 'GO_0006935', 'GO_0005886', 'GO_0003674', 'GO_0009425'}"
SO_0134,"{'GO_0008150', 'GO_0006364', 'GO_0008168', 'GO_0052907', 'GO_0003674', 'GO_0032259', 'GO_0070475', 'GO_0005737', 'GO_0008988', 'GO_0005575'}"
SO_0136,"{'GO_0008150', 'GO_0005886', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_0137,"{'GO_0016779', 'GO_0008641', 'GO_0005737', 'GO_0005829', 'GO_0008146', 'GO_0004792', 'GO_0006777'}"
SO_0138,"{'GO_0016740', 'GO_0061599', 'GO_0046872', 'GO_0005737', 'GO_0005829', 'GO_0006777'}"
SO_0139,"{'GO_0008199', 'GO_0006826', 'GO_0006879', 'GO_0004322', 'GO_0005737', 'GO_0046872', 'GO_0006880', 'GO_0005829', 'GO_0008198'}"
SO_0141,"{'GO_0052621', 'GO_0016779', 'GO_0016020', 'GO_0007165'}"
SO_0144,"{'GO_0016787', 'GO_0006508', 'GO_0004252'}"
