SO_0001,{'GO_0010181'}
SO_0988,"{'GO_0051537', 'GO_0008863', 'GO_0015942', 'GO_0046872', 'GO_0051536', 'GO_0043546'}"
SO_0989,"{'GO_0003700', 'GO_0000976', 'GO_0006355'}"
SO_0990,"{'GO_0008150', 'GO_0016810'}"
SO_0991,"{'GO_0006415', 'GO_0016149', 'GO_0006412', 'GO_0005737'}"
SO_0992,"{'GO_0004824', 'GO_0003676', 'GO_0000049', 'GO_0006412', 'GO_0005829', 'GO_0046872', 'GO_0005737', 'GO_0006430', 'GO_0004812', 'GO_0000287', 'GO_0005524'}"
SO_0994,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0996,"{'GO_0046491', 'GO_0004493', 'GO_0016829'}"
SO_0997,"{'GO_0003700', 'GO_0000976', 'GO_0006355'}"
SO_0999,"{'GO_0006508', 'GO_0009002', 'GO_0008233', 'GO_0016787'}"
SO_1000,"{'GO_0008150', 'GO_0006508', 'GO_0004252', 'GO_0008233', 'GO_0003674', 'GO_0016020'}"
SO_1001,"{'GO_0071805', 'GO_0015386', 'GO_0055085', 'GO_0035725', 'GO_0015385', 'GO_0005886', 'GO_1902600', 'GO_0016020'}"
SO_1002,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1003,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1004,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1006,"{'GO_0016020', 'GO_0016787'}"
SO_1007,"{'GO_0008150', 'GO_0005886', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1009,"{'GO_0008137', 'GO_0048038', 'GO_0042773', 'GO_0005886', 'GO_0016491', 'GO_0050136', 'GO_1902600'}"
SO_1010,"{'GO_0008137', 'GO_0045272', 'GO_0015990', 'GO_0003954', 'GO_0042773', 'GO_0016491', 'GO_0048039', 'GO_0016020', 'GO_0009060'}"
SO_1011,"{'GO_0008137', 'GO_0045272', 'GO_0015990', 'GO_0003954', 'GO_0042773', 'GO_0016491', 'GO_0016020'}"
SO_1012,"{'GO_0030964', 'GO_0048038', 'GO_0042773', 'GO_0016651', 'GO_0005886', 'GO_0050136'}"
SO_1013,"{'GO_0008137', 'GO_0048038', 'GO_0005886', 'GO_0016491', 'GO_1902600'}"
SO_1014,"{'GO_0051539', 'GO_0005506', 'GO_0045272', 'GO_0048038', 'GO_0003954', 'GO_0016651', 'GO_0005886', 'GO_0050136', 'GO_0046872', 'GO_0016020', 'GO_0009060'}"
SO_1015,"{'GO_0016655', 'GO_0045272', 'GO_0048038', 'GO_0003954', 'GO_0005886', 'GO_0016020', 'GO_0009060'}"
SO_1016,"{'GO_0008137', 'GO_0051539', 'GO_0045272', 'GO_0048038', 'GO_0003954', 'GO_0042773', 'GO_0051537', 'GO_0045333', 'GO_0046872', 'GO_1902600', 'GO_0051536', 'GO_0016020'}"
SO_1017,"{'GO_0008137', 'GO_0051539', 'GO_0045271', 'GO_0045272', 'GO_0048038', 'GO_0003954', 'GO_0010181', 'GO_0016491', 'GO_0051287', 'GO_0045333', 'GO_0046872', 'GO_1902600'}"
SO_1018,"{'GO_0045271', 'GO_0045272', 'GO_0003954', 'GO_0016491', 'GO_0051537', 'GO_0046872'}"
SO_1019,"{'GO_0008137', 'GO_0030964', 'GO_0048038', 'GO_0005886', 'GO_0051287', 'GO_0003824', 'GO_0050136', 'GO_1902600'}"
SO_1020,"{'GO_0008137', 'GO_0051539', 'GO_0005506', 'GO_0045271', 'GO_0015990', 'GO_0048038', 'GO_0005886', 'GO_0050136', 'GO_0046872', 'GO_0009060'}"
SO_1021,"{'GO_0008137', 'GO_0045272', 'GO_0048038', 'GO_0005886', 'GO_0050136', 'GO_1902600'}"
SO_1025,"{'GO_0006313', 'GO_0003677', 'GO_0015074', 'GO_0004803'}"
SO_1026,"{'GO_0032196', 'GO_0004803', 'GO_0006313', 'GO_0003677', 'GO_0006310'}"
SO_1027,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1028,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1029,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1030,"{'GO_0042558', 'GO_0008168', 'GO_0050667', 'GO_0031419', 'GO_0032259', 'GO_0008705', 'GO_0009086', 'GO_0046872', 'GO_0005829', 'GO_0046653', 'GO_0008270'}"
SO_1031,"{'GO_0016791', 'GO_0043755', 'GO_0005737', 'GO_0016787'}"
SO_1033,"{'GO_0016887', 'GO_0005524', 'GO_0016787'}"
SO_1034,"{'GO_0055085', 'GO_0022857', 'GO_0005886', 'GO_0033214', 'GO_0016020'}"
SO_1035,"{'GO_0008939', 'GO_0016757', 'GO_0009236'}"
SO_1036,"{'GO_0016740', 'GO_0008818', 'GO_0005886', 'GO_0051073', 'GO_0009236'}"
SO_1037,"{'GO_0009236', 'GO_0005525', 'GO_0016779', 'GO_0008820', 'GO_0036428', 'GO_0043752', 'GO_0016301', 'GO_0000166', 'GO_0036429', 'GO_0005524'}"
SO_1038,"{'GO_0009236', 'GO_0015420', 'GO_0006541', 'GO_0003824', 'GO_0015889'}"
SO_1039,"{'GO_0005524', 'GO_0016740', 'GO_0008817', 'GO_0005737', 'GO_0006779', 'GO_0009236'}"
SO_1042,"{'GO_0015424', 'GO_0016887', 'GO_0016020', 'GO_0003333', 'GO_0005524'}"
SO_1043,"{'GO_0055085', 'GO_0006865', 'GO_0022857', 'GO_0005886', 'GO_0043190', 'GO_0016020'}"
SO_1044,{'GO_0071555'}
SO_1045,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1046,"{'GO_0003700', 'GO_0006355', 'GO_0005829'}"
SO_1047,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1048,"{'GO_0008150', 'GO_0003674', 'GO_0016020'}"
SO_1049,"{'GO_0016747', 'GO_0008150'}"
SO_1051,"{'GO_0030246', 'GO_0030288', 'GO_0042597', 'GO_0016051', 'GO_0003674', 'GO_0003824', 'GO_0009250', 'GO_0051274'}"
SO_1052,"{'GO_0006817', 'GO_0035435', 'GO_0005886', 'GO_0005315', 'GO_0016020'}"
SO_1053,"{'GO_0008150', 'GO_0016833', 'GO_0003674', 'GO_0003824', 'GO_0005575'}"
SO_1055,"{'GO_0052621', 'GO_0016779'}"
SO_1056,"{'GO_0007165', 'GO_0006935', 'GO_0004888', 'GO_0005886', 'GO_0016020'}"
SO_1059,"{'GO_0004177', 'GO_0006508', 'GO_0005615', 'GO_0008237', 'GO_0042277', 'GO_0070006', 'GO_0043171', 'GO_0046872', 'GO_0005737', 'GO_0016020', 'GO_0008270'}"
SO_1060,"{'GO_0008150', 'GO_0030234', 'GO_0003674', 'GO_0009252', 'GO_0031241', 'GO_0005575'}"
SO_1061,"{'GO_0008150', 'GO_0003674'}"
SO_1062,"{'GO_0042586', 'GO_0006412', 'GO_0016787', 'GO_0046872', 'GO_0043686'}"
SO_1063,"{'GO_0008150', 'GO_0003674'}"
SO_1064,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1065,"{'GO_0006457', 'GO_0003755'}"
SO_1066,"{'GO_0004519', 'GO_0003824', 'GO_0008150'}"
SO_1067,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1068,"{'GO_0008150', 'GO_0016289', 'GO_0003674', 'GO_0061522', 'GO_0016787', 'GO_0005829', 'GO_0005575'}"
SO_1069,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1070,"{'GO_0042744', 'GO_0098869', 'GO_0006979', 'GO_0004096', 'GO_0004601', 'GO_0042542', 'GO_0005737', 'GO_0020037', 'GO_0046872'}"
SO_1071,"{'GO_0046873', 'GO_0008150', 'GO_0003674', 'GO_0030001', 'GO_0016020', 'GO_0005575'}"
SO_1072,"{'GO_0008061', 'GO_0008150', 'GO_0005576'}"
SO_1074,"{'GO_0006865', 'GO_0015801', 'GO_0005886', 'GO_0015173', 'GO_0003333'}"
SO_1075,"{'GO_0008150', 'GO_0004177', 'GO_0006508', 'GO_0070009', 'GO_0003674', 'GO_0043171', 'GO_0008236', 'GO_0008239', 'GO_0005575'}"
SO_1077,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1080,"{'GO_0006313', 'GO_0003677', 'GO_0015074', 'GO_0004803'}"
SO_1081,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1082,"{'GO_0006313', 'GO_0003677', 'GO_0015074', 'GO_0004803'}"
SO_1085,"{'GO_0016853', 'GO_0120159', 'GO_0016829', 'GO_0001522', 'GO_0160138', 'GO_0009982', 'GO_0000455', 'GO_0003723'}"
SO_1086,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1087,"{'GO_0008150', 'GO_0055085', 'GO_0005886', 'GO_0003674', 'GO_0015297', 'GO_0016020'}"
SO_1090,"{'GO_0046872', 'GO_0016740'}"
SO_1091,"{'GO_0008150', 'GO_0003674', 'GO_0016020'}"
SO_1092,"{'GO_0006355', 'GO_0003700', 'GO_0003677', 'GO_0043565'}"
SO_1093,"{'GO_0006313', 'GO_0003677', 'GO_0004803'}"
SO_1094,"{'GO_0008150', 'GO_0070063', 'GO_0032784', 'GO_0003674', 'GO_0003677', 'GO_0006354', 'GO_0005575'}"
SO_1095,"{'GO_0030170', 'GO_0006535', 'GO_0016740', 'GO_0071269', 'GO_0071266', 'GO_0003674', 'GO_0019346', 'GO_0004124', 'GO_0016765', 'GO_0003961'}"
SO_1096,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1097,"{'GO_0008150', 'GO_0006364', 'GO_0008990', 'GO_0008170', 'GO_0003676', 'GO_0008168', 'GO_0052916', 'GO_0008757', 'GO_0003674', 'GO_0032259', 'GO_0005737', 'GO_0031167', 'GO_0005575'}"
SO_1098,"{'GO_0008150', 'GO_0051747', 'GO_0006281', 'GO_0006307', 'GO_0005575', 'GO_0003674', 'GO_0016491', 'GO_0035516', 'GO_0008198'}"
SO_1099,"{'GO_0005829', 'GO_0006351'}"
SO_1100,"{'GO_0046872', 'GO_0055085', 'GO_0031317'}"
SO_1101,"{'GO_0005506', 'GO_0016829', 'GO_0009372', 'GO_0046872', 'GO_0043768'}"
SO_1102,"{'GO_0008150', 'GO_0044718', 'GO_0015344', 'GO_0009279', 'GO_0003674', 'GO_0033214'}"
SO_1103,"{'GO_0006814', 'GO_0016491', 'GO_0016655'}"
SO_1104,"{'GO_0016655', 'GO_0055085', 'GO_0005886', 'GO_0010181', 'GO_0016491', 'GO_0022904', 'GO_0006814', 'GO_0016020'}"
SO_1105,"{'GO_0016655', 'GO_0005886', 'GO_0010181', 'GO_0016491', 'GO_0006814', 'GO_0016020'}"
SO_1106,"{'GO_0005886', 'GO_0006814', 'GO_0016655', 'GO_0016020'}"
SO_1107,"{'GO_0016655', 'GO_0005886', 'GO_0016491', 'GO_0022904', 'GO_0009276', 'GO_0006814', 'GO_0016020'}"
SO_1108,"{'GO_0016655', 'GO_0005886', 'GO_0016491', 'GO_0051537', 'GO_0046872', 'GO_0006814', 'GO_0016020', 'GO_0009055'}"
SO_1109,"{'GO_0046872', 'GO_0016740', 'GO_0005886'}"
SO_1110,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1111,"{'GO_0008199', 'GO_0006826', 'GO_0005506', 'GO_0006879', 'GO_0046872', 'GO_0006880', 'GO_0020037', 'GO_0005829', 'GO_0004322'}"
SO_1112,"{'GO_0008199', 'GO_0006826', 'GO_0005506', 'GO_0006879', 'GO_0046872', 'GO_0006880', 'GO_0020037', 'GO_0005829', 'GO_0004322'}"
SO_1114,"{'GO_0008150', 'GO_0009432', 'GO_0006260', 'GO_0006281', 'GO_0042276', 'GO_0006261', 'GO_0003674', 'GO_0006974', 'GO_0003677', 'GO_0005737', 'GO_0046872', 'GO_0003684', 'GO_0003887', 'GO_0000287'}"
SO_1115,"{'GO_0016805', 'GO_0006508', 'GO_0016787', 'GO_0005829', 'GO_0103046', 'GO_0070573'}"
SO_1117,"{'GO_0004177', 'GO_0006508', 'GO_0008233', 'GO_0030145', 'GO_0070006', 'GO_0005737'}"
SO_1118,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1120,"{'GO_0055085', 'GO_0015205', 'GO_0015853', 'GO_1904823', 'GO_0005886', 'GO_0015207', 'GO_0016020'}"
SO_1121,"{'GO_0008652', 'GO_0006561', 'GO_0055129', 'GO_0004349', 'GO_0016301', 'GO_0005737', 'GO_0005829', 'GO_0003723', 'GO_0005524'}"
SO_1122,"{'GO_0008652', 'GO_0006561', 'GO_0055129', 'GO_0016491', 'GO_0004350', 'GO_0005737', 'GO_0050661'}"
SO_1123,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1124,"{'GO_0008150', 'GO_0016829', 'GO_0003674', 'GO_0006412', 'GO_0002161', 'GO_0106074', 'GO_0005575'}"
SO_1125,"{'GO_0008150', 'GO_0003674', 'GO_0016020'}"
SO_1126,"{'GO_0140662', 'GO_0044183', 'GO_0016887', 'GO_0042026', 'GO_0051085', 'GO_0051082', 'GO_0005829', 'GO_0031072', 'GO_0006457', 'GO_0005524'}"
SO_1127,"{'GO_0005524', 'GO_0006260', 'GO_0009408', 'GO_0042026', 'GO_0051085', 'GO_0051082', 'GO_0046872', 'GO_0005737', 'GO_0031072', 'GO_0006457', 'GO_0008270'}"
SO_1130,"{'GO_0006313', 'GO_0003677', 'GO_0015074', 'GO_0004803'}"
SO_1133,"{'GO_0006313', 'GO_0003677', 'GO_0015074', 'GO_0004803'}"
SO_1135,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1136,"{'GO_0008150', 'GO_0003676', 'GO_0004386', 'GO_0003724', 'GO_0016787', 'GO_0005737', 'GO_0005829', 'GO_0005524'}"
SO_1137,"{'GO_0008150', 'GO_0006508', 'GO_0051603', 'GO_0004222', 'GO_0008237', 'GO_0003674', 'GO_0046872', 'GO_0016020', 'GO_0005575'}"
SO_1139,"{'GO_0006457', 'GO_0003755'}"
SO_1140,"{'GO_0009089', 'GO_0019877', 'GO_0051287', 'GO_0016491', 'GO_0009085', 'GO_0008839', 'GO_0005737', 'GO_0016726', 'GO_0050661', 'GO_0005829'}"
SO_1141,"{'GO_0016874', 'GO_0004088', 'GO_0005951', 'GO_0006526', 'GO_0006541', 'GO_0006221', 'GO_0006207', 'GO_0005737', 'GO_0044205', 'GO_0004359', 'GO_0005524'}"
SO_1142,"{'GO_0004087', 'GO_0016874', 'GO_0004088', 'GO_0006526', 'GO_0006541', 'GO_0006221', 'GO_0005737', 'GO_0046872', 'GO_0044205', 'GO_0005524'}"
SO_1143,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1144,"{'GO_0007165', 'GO_0016020', 'GO_0006935'}"
SO_1145,"{'GO_0015693', 'GO_1903830', 'GO_0005886', 'GO_0015095', 'GO_0046872', 'GO_0016020'}"
SO_1146,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1148,"{'GO_0008150', 'GO_0004519', 'GO_0003674', 'GO_0003824', 'GO_0006506', 'GO_0005575'}"
SO_1149,"{'GO_0008150', 'GO_0016434', 'GO_0006364', 'GO_0031167', 'GO_0008168', 'GO_0003674', 'GO_0032259', 'GO_0005737', 'GO_0008649', 'GO_0003723', 'GO_0005575'}"
SO_1150,"{'GO_0016853', 'GO_0044281', 'GO_0006098', 'GO_0006014', 'GO_0009052', 'GO_0004751', 'GO_0005829'}"
SO_1151,"{'GO_0008150', 'GO_0005886', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1153,"{'GO_0008408', 'GO_0003676', 'GO_0004527', 'GO_0006139'}"
SO_1154,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1155,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1156,"{'GO_0044718', 'GO_0015344', 'GO_0009279', 'GO_0015891', 'GO_0038023', 'GO_0033214', 'GO_0015343'}"
SO_1157,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1158,"{'GO_0008199', 'GO_0003677', 'GO_0016722'}"
SO_1159,"{'GO_0008150', 'GO_0016779', 'GO_0006260', 'GO_0071897', 'GO_0003674', 'GO_0003887', 'GO_0008408', 'GO_0005575'}"
SO_1160,"{'GO_0005737', 'GO_0016746', 'GO_0008999', 'GO_0008080'}"
SO_1161,"{'GO_0051539', 'GO_0016740', 'GO_0016992', 'GO_0009107', 'GO_0046872', 'GO_0005737'}"
SO_1162,"{'GO_0005737', 'GO_0033819', 'GO_0016746'}"
SO_1163,"{'GO_0008150', 'GO_0003674', 'GO_0005829', 'GO_0005575'}"
SO_1164,"{'GO_0006508', 'GO_0009002', 'GO_0008233', 'GO_0009252', 'GO_0004180'}"
SO_1165,"{'GO_0008150', 'GO_0016829', 'GO_0000270', 'GO_0042834', 'GO_0009279', 'GO_0005886', 'GO_0003674', 'GO_0071555', 'GO_0008932'}"
SO_1166,"{'GO_0016798', 'GO_0009253', 'GO_0008933'}"
SO_1167,"{'GO_0032153', 'GO_0008360', 'GO_0005886', 'GO_0003674', 'GO_0008955', 'GO_0016757', 'GO_0015648', 'GO_0009252', 'GO_0051301', 'GO_0071555', 'GO_0015836', 'GO_0016020'}"
SO_1169,"{'GO_0008150', 'GO_0006364', 'GO_0070038', 'GO_0008168', 'GO_0003674', 'GO_0032259', 'GO_0005737', 'GO_0031167', 'GO_0005575'}"
SO_1170,"{'GO_0008150', 'GO_0017148', 'GO_0090071', 'GO_0043023', 'GO_0003674', 'GO_0006417', 'GO_0005737', 'GO_0042256'}"
SO_1171,"{'GO_0008150', 'GO_0016779', 'GO_0009435', 'GO_0003674', 'GO_0019363', 'GO_0070566', 'GO_0004515', 'GO_0005524', 'GO_0009165'}"
SO_1172,"{'GO_0016779', 'GO_0006260', 'GO_0071897', 'GO_0009360', 'GO_0003677', 'GO_0003887', 'GO_0006261'}"
SO_1173,"{'GO_0008150', 'GO_0043165', 'GO_0019867', 'GO_0009279', 'GO_0003674', 'GO_0001530', 'GO_0015920'}"
SO_1174,"{'GO_0004823', 'GO_0006418', 'GO_0106074', 'GO_0006412', 'GO_0006429', 'GO_0005737', 'GO_0002161', 'GO_0005829', 'GO_0004812', 'GO_0005524'}"
SO_1175,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1176,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1177,"{'GO_0042158', 'GO_0016410', 'GO_0005886', 'GO_0016020', 'GO_0016746'}"
SO_1178,"{'GO_0005886', 'GO_0050660'}"
SO_1179,"{'GO_0004521', 'GO_0008150', 'GO_0006364', 'GO_0004519', 'GO_0004222', 'GO_0003674', 'GO_0042254', 'GO_0046872', 'GO_0005737', 'GO_0008270', 'GO_0005575'}"
SO_1180,"{'GO_0008150', 'GO_0005737', 'GO_0005829', 'GO_0005524'}"
SO_1181,"{'GO_0051539', 'GO_0008033', 'GO_0035597', 'GO_0016740', 'GO_0035600', 'GO_0035596', 'GO_0006400', 'GO_0046872', 'GO_0005737', 'GO_0005829'}"
SO_1182,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1183,"{'GO_0071949', 'GO_0016705', 'GO_0006744', 'GO_0008682', 'GO_0004497'}"
SO_1184,"{'GO_0005737', 'GO_0006412', 'GO_0004045', 'GO_0016787'}"
SO_1185,"{'GO_0008150', 'GO_0005525', 'GO_0017111', 'GO_0043023', 'GO_0003674', 'GO_0016787', 'GO_0005737', 'GO_0016887', 'GO_0005524', 'GO_0005575'}"
SO_1187,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1188,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1189,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1190,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1191,"{'GO_0006414', 'GO_0070063', 'GO_0032784', 'GO_0003677', 'GO_0003746', 'GO_0006354'}"
SO_1192,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1193,"{'GO_0006605', 'GO_0015031', 'GO_0015450', 'GO_0005886', 'GO_0065002', 'GO_0006886', 'GO_0043952'}"
SO_1194,"{'GO_0006605', 'GO_0015031', 'GO_0015450', 'GO_0005886', 'GO_0065002', 'GO_0006886', 'GO_0043952'}"
SO_1195,"{'GO_0008150', 'GO_0003674', 'GO_0003723', 'GO_0005575'}"
SO_1196,"{'GO_0001510', 'GO_0006364', 'GO_0008650', 'GO_0008168', 'GO_0032259', 'GO_0042254', 'GO_0005737', 'GO_0031167'}"
SO_1197,"{'GO_0006508', 'GO_0030163', 'GO_0008270', 'GO_0004222', 'GO_0008233', 'GO_0008237', 'GO_0004176', 'GO_0005886', 'GO_0046872', 'GO_0016887', 'GO_0016020', 'GO_0005524'}"
SO_1198,"{'GO_0046654', 'GO_0046656', 'GO_0016740', 'GO_0009396', 'GO_0004156', 'GO_0046872', 'GO_0005829'}"
SO_1199,"{'GO_0016853', 'GO_0006048', 'GO_0005975', 'GO_0008966', 'GO_0009252', 'GO_0016868', 'GO_0004615', 'GO_0046872', 'GO_0000287', 'GO_0005829'}"
SO_1200,"{'GO_0016853', 'GO_0006094', 'GO_0046166', 'GO_0004807', 'GO_0019563', 'GO_0005737', 'GO_0006096', 'GO_0005829'}"
SO_1201,"{'GO_0015031', 'GO_0015450', 'GO_0005886', 'GO_0065002', 'GO_0009306', 'GO_0043952', 'GO_0016020'}"
SO_1202,"{'GO_0008150', 'GO_0042274', 'GO_0000028', 'GO_0003674', 'GO_0006412', 'GO_0042254', 'GO_0005737', 'GO_0005829', 'GO_0005575'}"
SO_1203,"{'GO_0003700', 'GO_0006353', 'GO_0031564', 'GO_0005737', 'GO_0000166', 'GO_0003723', 'GO_0005829'}"
SO_1204,"{'GO_0005525', 'GO_0003924', 'GO_0003743', 'GO_0006413', 'GO_0097216', 'GO_0006412', 'GO_0005737'}"
SO_1205,"{'GO_0006364', 'GO_0003674', 'GO_0042254', 'GO_0030490', 'GO_0043024', 'GO_0005737', 'GO_0005829'}"
SO_1206,"{'GO_0016853', 'GO_0140098', 'GO_0008033', 'GO_0001522', 'GO_1990481', 'GO_0160148', 'GO_0006400', 'GO_0009982', 'GO_0006396', 'GO_0031119', 'GO_0003723'}"
SO_1207,"{'GO_0022627', 'GO_0019843', 'GO_0043229', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_0005737', 'GO_1990904'}"
SO_1208,"{'GO_0008150', 'GO_0052621', 'GO_0016779', 'GO_0003674', 'GO_0016020'}"
SO_1209,"{'GO_0016779', 'GO_0000175', 'GO_0006401', 'GO_0006402', 'GO_0006396', 'GO_0046872', 'GO_0005737', 'GO_0003723', 'GO_0000287', 'GO_0005829', 'GO_0004654'}"
SO_1210,"{'GO_0008150', 'GO_0009279', 'GO_0005886', 'GO_0003674', 'GO_0046813'}"
SO_1211,"{'GO_0005525', 'GO_0003924', 'GO_0097216', 'GO_0016149', 'GO_0006412', 'GO_0006449', 'GO_0016150', 'GO_0005737', 'GO_0006415', 'GO_0005829'}"
SO_1214,"{'GO_0015293', 'GO_0005337', 'GO_0005886', 'GO_1901642', 'GO_0016020'}"
SO_1215,"{'GO_0008150', 'GO_0005337', 'GO_0009279', 'GO_0003674', 'GO_1901642'}"
SO_1217,"{'GO_0016829', 'GO_0046386', 'GO_0003824', 'GO_0004139', 'GO_0005737', 'GO_0006018', 'GO_0009264', 'GO_0016052'}"
SO_1218,"{'GO_0046104', 'GO_0006206', 'GO_0004645', 'GO_0006213', 'GO_0016757', 'GO_0016763', 'GO_0009032', 'GO_0005829'}"
SO_1219,"{'GO_0016853', 'GO_0043094', 'GO_0008973', 'GO_0006015', 'GO_0030145', 'GO_0009117', 'GO_0046872', 'GO_0005737', 'GO_0005829', 'GO_0000287', 'GO_0006018'}"
SO_1221,"{'GO_0006152', 'GO_0004731', 'GO_0009164', 'GO_0009116', 'GO_0016757', 'GO_0042278', 'GO_0005829'}"
SO_1222,"{'GO_0008150', 'GO_0003674', 'GO_0005886', 'GO_0005575'}"
SO_1223,"{'GO_0006564', 'GO_0016787', 'GO_0046872', 'GO_0005737', 'GO_0036424', 'GO_0000287'}"
SO_1224,"{'GO_0008150', 'GO_0003674', 'GO_0005575', 'GO_0016042'}"
SO_1225,"{'GO_0008150', 'GO_0003674', 'GO_0035438', 'GO_0005575'}"
SO_1226,"{'GO_0000725', 'GO_0006508', 'GO_0006281', 'GO_0008233', 'GO_0003677', 'GO_0046872', 'GO_0003684', 'GO_0016887', 'GO_0140664', 'GO_0005524'}"
SO_1227,"{'GO_0008150', 'GO_0035438', 'GO_0003674', 'GO_0000166', 'GO_0005575'}"
SO_1228,"{'GO_0000976', 'GO_0000156', 'GO_0000160', 'GO_0001216', 'GO_0001217', 'GO_0003677', 'GO_0006355', 'GO_0005829', 'GO_0032993', 'GO_0045892', 'GO_0045893'}"
SO_1229,"{'GO_0030288', 'GO_0042597', 'GO_0030246'}"
SO_1230,"{'GO_0004673', 'GO_0000160', 'GO_0000155', 'GO_0016301', 'GO_0016020'}"
SO_1231,"{'GO_0051259', 'GO_0006457', 'GO_0005737'}"
SO_1232,"{'GO_0030288', 'GO_0030151', 'GO_0042597', 'GO_0016491', 'GO_0009033', 'GO_0046872', 'GO_0050626', 'GO_0009061', 'GO_0009055', 'GO_0043546'}"
SO_1233,"{'GO_0005506', 'GO_0005886', 'GO_0009276', 'GO_0020037', 'GO_0046872', 'GO_0009061', 'GO_0016020', 'GO_0009055'}"
SO_1234,{'GO_0016020'}
SO_1236,"{'GO_0055085', 'GO_0015208', 'GO_0015205', 'GO_1904823', 'GO_0005886', 'GO_1903716', 'GO_0016020'}"
SO_1237,{'GO_0003674'}
SO_1238,"{'GO_0008150', 'GO_0016746'}"
SO_1239,"{'GO_0008150', 'GO_0009245', 'GO_0008758', 'GO_0005886', 'GO_0003674', 'GO_0016787', 'GO_0046872', 'GO_0005575'}"
SO_1241,"{'GO_0008150', 'GO_0004803', 'GO_0006313', 'GO_0003674', 'GO_0003677', 'GO_0005575'}"
SO_1242,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1244,"{'GO_0006313', 'GO_0016020', 'GO_0003677', 'GO_0004803'}"
SO_1245,"{'GO_0008150', 'GO_0003674', 'GO_0016020'}"
SO_1247,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_1248,"{'GO_0008150', 'GO_0051539', 'GO_0006744', 'GO_0003674', 'GO_0046872', 'GO_0005575'}"
SO_1249,"{'GO_0046872', 'GO_0051539', 'GO_0006744', 'GO_0016787'}"
SO_1250,"{'GO_0008150', 'GO_0006744', 'GO_0003674', 'GO_0005829', 'GO_0005575'}"
SO_1251,"{'GO_0046872', 'GO_0005737', 'GO_0051536'}"
SO_1252,"{'GO_0006508', 'GO_0008233', 'GO_0005829'}"
SO_1254,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_1255,"{'GO_0008150', 'GO_0003674', 'GO_0052621', 'GO_0016779'}"
SO_1258,"{'GO_0005525', 'GO_0016874', 'GO_0004019', 'GO_0006164', 'GO_0044208', 'GO_0046872', 'GO_0005737', 'GO_0046040', 'GO_0000166', 'GO_0000287'}"
SO_1259,"{'GO_0003700', 'GO_0000976', 'GO_0006355'}"
SO_1260,"{'GO_0008150', 'GO_0003674', 'GO_0071555', 'GO_0005575'}"
SO_1261,"{'GO_0016784', 'GO_0016740', 'GO_0004792', 'GO_0016783'}"
