0
oboInOwl#hasDbXref
rdf-schema#label
IAO_0000233
RO_0002161
oboInOwl#default-namespace
owl#onProperty
description
IAO_0000115
oboInOwl#creation_date
rdf-schema#comment
go#creation_date
oboInOwl#shorthand
oboInOwl#is_metadata_tag
22-rdf-syntax-ns#rest
22-rdf-syntax-ns#type
oboInOwl#hasExactSynonym
oboInOwl#consider
oboInOwl#is_class_level
title
IAO_0000700
22-rdf-syntax-ns#first
owl#propertyChainAxiom
owl#disjointWith
oboInOwl#hasNarrowSynonym
oboInOwl#hasAlternativeId
oboInOwl#inSubset
oboInOwl#id
oboInOwl#hasScope
owl#versionInfo
RO_0002175
owl#annotatedTarget
owl#annotatedSource
IAO_0100001
owl#deprecated
rdf-schema#subClassOf
license
owl#versionIRI
IAO_0000231
oboInOwl#created_by
oboInOwl#hasRelatedSynonym
oboInOwl#hasBroadSynonym
owl#inverseOf
oboInOwl#hasOBOFormatVersion
owl#annotatedProperty
oboInOwl#hasSynonymType
owl#someValuesFrom
rdf-schema#subPropertyOf
oboInOwl#hasOBONamespace
owl#equivalentClass
IAO_0000589
owl#intersectionOf
