oboInOwl#hasDbXref
rdf-schema#label
IAO_0000231
IAO_0000233
RO_0002161
RO_0002175
oboInOwl#default-namespace
description
IAO_0000115
oboInOwl#creation_date
rdf-schema#comment
go#creation_date
oboInOwl#is_metadata_tag
oboInOwl#hasExactSynonym
oboInOwl#is_class_level
title
oboInOwl#id
oboInOwl#hasScope
owl#versionInfo
owl#annotatedTarget
owl#deprecated
license
owl#versionIRI
oboInOwl#created_by
oboInOwl#hasOBOFormatVersion
oboInOwl#hasSynonymType
IAO_0000589
22-rdf-syntax-ns#type
oboInOwl#hasNarrowSynonym
oboInOwl#hasRelatedSynonym
oboInOwl#hasBroadSynonym
oboInOwl#hasOBONamespace
oboInOwl#shorthand
