subject,predicate,object
N62af06f5dc794178866f49010a8ec108,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
GO_0055035,rdf-schema#subClassOf,GO_0042170
Na8f53db4b64940a48c7d39ba67828e88,22-rdf-syntax-ns#first,GO_0065007
GO_0051170,oboInOwl#hasAlternativeId,GO:1902593
GO_0010558,rdf-schema#subClassOf,GO_0031327
N57b442bb77d04fdfab53da0189eb291f,owl#onProperty,BFO_0000050
GO_0044297,rdf-schema#subClassOf,GO_0110165
Nef72ba4ac30043ed88dc5d8849f5c9b8,22-rdf-syntax-ns#first,GO_0065007
GO_0046437,rdf-schema#subClassOf,GO_0046416
GO_0007062,rdf-schema#subClassOf,GO_0022402
GO_0004675,rdf-schema#subClassOf,GO_0019199
GO_0046167,rdf-schema#subClassOf,GO_1901137
Ne2bcae7627854f61ae66a937268de1e0,22-rdf-syntax-ns#first,GO_0065007
N36a2bb9eaf3d40bcbf17164c6f26553f,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
GO_0044060,rdf-schema#subClassOf,N72268c93f5b142ef963cbc0eecc59881
GO_0022411,oboInOwl#inSubset,go#goslim_pir
GO_0051148,owl#equivalentClass,Nb359db77ba86413a9d63b9920383a29d
N2fb18d2c196b4ee2b04546aaec826577,owl#onProperty,RO_0002212
GO_0016211,rdf-schema#subClassOf,GO_0016880
N7c00dca788be4a1aa2f14ee95bf67706,owl#onProperty,RO_0002213
GO_0006586,rdf-schema#subClassOf,GO_0006576
GO_0042274,rdf-schema#subClassOf,GO_0022613
GO_0009311,oboInOwl#hasAlternativeId,GO:0051690
GO_0016853,oboInOwl#inSubset,go#goslim_metagenomics
GO_0022904,rdf-schema#subClassOf,GO_0022900
N6f870dd808f84f85a53738d0186dc6e3,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
GO_0044783,IAO_0100001,GO_0031571
GO_0060632,rdf-schema#subClassOf,N7b72c4f57dd74efab5ea5ff028c10911
GO_1901990,rdf-schema#subClassOf,GO_1901987
N3ba25b4941084b97afecc6f1a019fb37,22-rdf-syntax-ns#first,N0691ea3fe05145a8987be989fea5391f
GO_0004131,rdf-schema#subClassOf,GO_0019239
GO_0060192,rdf-schema#subClassOf,GO_0051346
GO_0007165,rdf-schema#subClassOf,N1c1aef5a86cd469fac8b7346406e5a1b
GO_0072330,rdf-schema#subClassOf,GO_0032787
Nf2de42aad4e043e49e1decbc028d718d,owl#onProperty,RO_0002211
GO_0034618,rdf-schema#subClassOf,GO_0043169
GO_0000747,oboInOwl#inSubset,go#goslim_candida
GO_0140078,rdf-schema#subClassOf,GO_0003906
GO_1901658,rdf-schema#subClassOf,GO_1901657
Nd3dbf925e481408083f9232dc5c3cb4c,owl#someValuesFrom,GO_0003700
Nafcd4acfcbc246ac979af24eb18bd883,owl#onProperty,RO_0002211
GO_0016055,oboInOwl#hasAlternativeId,GO:0007222
GO_0006996,oboInOwl#inSubset,go#goslim_pir
GO_0000375,oboInOwl#inSubset,go#goslim_pir
GO_0006231,rdf-schema#subClassOf,GO_0046073
GO_0000010,oboInOwl#hasAlternativeId,GO:0036422
GO_0009451,rdf-schema#subClassOf,GO_0043412
Na59d5f90c6ae4f568f72c4288f92adb5,owl#someValuesFrom,GO_0006353
GO_0008219,rdf-schema#subClassOf,GO_0009987
N78b4fdb7bfa343d5afa34f259da6e37c,owl#someValuesFrom,GO_0005739
GO_0006417,rdf-schema#subClassOf,GO_0051246
N58d0d4cd37664e9f8119ff7a001d1518,22-rdf-syntax-ns#rest,N72402fb745014782a38fc25b52168756
GO_0016662,rdf-schema#subClassOf,GO_0016661
N1f13e81341e84bbfb61d7153a0f0f8dc,owl#intersectionOf,Nec053ac65f6f4b509cb31ad69e281099
GO_0048285,oboInOwl#inSubset,go#goslim_yeast
N9f64411fa1d64eddb9a8a41b5f5c8dcf,owl#someValuesFrom,GO_0009526
GO_0031982,oboInOwl#hasAlternativeId,GO:0031988
GO_0042044,rdf-schema#subClassOf,GO_0006810
GO_0006446,owl#equivalentClass,N0ef79a472a85402eaa992c91218b07e2
GO_1901658,rdf-schema#subClassOf,GO_1901136
GO_0006623,rdf-schema#subClassOf,GO_0006605
N53b2095f2b9849f2a4717cfa4bc6d58f,owl#intersectionOf,Nbcc3b69b350d41028d2479c6dc05d374
GO_0009873,rdf-schema#subClassOf,GO_0009755
GO_0044409,oboInOwl#hasAlternativeId,GO:0075052
GO_1904950,rdf-schema#subClassOf,N1945d4c2023f426999aaafe5bf619e81
GO_0006506,oboInOwl#hasAlternativeId,GO:0015998
N7be957f428844299b791c1329567208c,owl#onProperty,BFO_0000050
GO_0030071,rdf-schema#subClassOf,GO_1901990
GO_0004760,oboInOwl#hasAlternativeId,GO:0004761
GO_0000159,rdf-schema#subClassOf,GO_0008287
GO_0033819,oboInOwl#hasAlternativeId,GO:0102555
GO_0015838,rdf-schema#subClassOf,GO_0072337
GO_0042509,oboInOwl#hasAlternativeId,GO:0042522
GO_0003676,rdf-schema#subClassOf,GO_0097159
GO_0051234,oboInOwl#inSubset,go#goslim_flybase_ribbon
N3a7cb5abfdf74c49912bb0b9a920d763,owl#onProperty,BFO_0000050
GO_0008519,rdf-schema#subClassOf,GO_0015267
GO_0016226,rdf-schema#subClassOf,GO_0031163
GO_0015078,rdf-schema#subClassOf,Nf8d0b80d5a6b47eab58923d45d72d3af
GO_0002027,rdf-schema#subClassOf,GO_0008016
GO_0005575,oboInOwl#inSubset,go#goslim_yeast
N333e77640d424ebd863ffc129a39f954,22-rdf-syntax-ns#rest,Nbecf202a65f04c90a1b8b881d5b61484
GO_0004619,rdf-schema#subClassOf,GO_0016868
GO_0006793,oboInOwl#inSubset,go#goslim_pir
GO_0043103,rdf-schema#subClassOf,GO_0043096
GO_0016837,rdf-schema#subClassOf,GO_0016835
GO_0019877,rdf-schema#subClassOf,GO_0008652
N77c08e9932c04e3788a0a2a215aaad24,owl#someValuesFrom,GO_0006281
GO_0005740,rdf-schema#subClassOf,GO_0031967
GO_0016567,rdf-schema#subClassOf,GO_0032446
GO_0045995,rdf-schema#subClassOf,GO_2000026
GO_0019294,rdf-schema#subClassOf,GO_0046364
GO_0016043,oboInOwl#inSubset,go#goslim_plant_ribbon
GO_0006091,oboInOwl#inSubset,go#goslim_pir
GO_0006457,oboInOwl#inSubset,go#goslim_euk_cellular_processes_ribbon
GO_0051649,rdf-schema#subClassOf,N46ed647f9a584f72865d8d9fae1c0835
N83540f3462ed40109688454335e0a1cb,owl#onProperty,BFO_0000050
Naca35cd8e7b446afa02cfc988da2d10c,22-rdf-syntax-ns#first,GO_0065007
GO_0032549,rdf-schema#subClassOf,GO_0001882
Nf8b59f5c1e4049528662c9020bd0d425,owl#someValuesFrom,GO_0160185
N410488e5f8354a03b61cdedc1e899b05,owl#someValuesFrom,GO_0005739
Nfaacb6741dce4ef6852129224c3f8a1d,22-rdf-syntax-ns#rest,22-rdf-syntax-ns#nil
N6da11b2824a14729a3e87e847a95b4d3,owl#onProperty,BFO_0000050
GO_0006750,rdf-schema#subClassOf,GO_0019184
N1e297b3a382a4dd1a4c2882eb507de7b,22-rdf-syntax-ns#first,GO_0065007
GO_0019354,rdf-schema#subClassOf,GO_0006783
GO_0043774,rdf-schema#subClassOf,GO_0016881
GO_0051247,oboInOwl#hasAlternativeId,GO:0032270
N5bcc781eac4d42cfb96b087f7c3470f2,owl#someValuesFrom,GO_0005829
N55aee2242984410fa7e17f5fee04723f,owl#intersectionOf,Na77e69a5621c47dc8e4b35bb01ed8c3c
GO_0044768,IAO_0100001,GO_0051382
GO_0043878,rdf-schema#subClassOf,GO_0016620
GO_0016823,rdf-schema#subClassOf,GO_0016822
GO_0008156,owl#equivalentClass,Na47fd8b93d5e4da48116dcbc41a60170
GO_0051254,rdf-schema#subClassOf,GO_0051252
N1d4f689619d84d1d9a6a5067328ef1ab,22-rdf-syntax-ns#rest,N6769099242e44973862597e72072c0f1
GO_0099621,oboInOwl#hasAlternativeId,GO:0103019
Ne0cdf18c75d64182bd47f2e1511567cb,owl#someValuesFrom,GO_0006888
GO_0098659,rdf-schema#subClassOf,GO_0098662
N56d097bec78343d58f421c7e665c120d,owl#onProperty,RO_0002213
