0,1
SO_0002,"{'GO_0022857', 'GO_1904680', 'GO_0005886', 'GO_0055085', 'GO_0015833', 'GO_0016020', 'GO_0006857'}"
SO_0003,"{'GO_0005829', 'GO_0002098', 'GO_0006400', 'GO_0008033', 'GO_0005525', 'GO_0030488', 'GO_0003924', 'GO_0046872', 'GO_0016787', 'GO_0005737'}"
SO_0004,"{'GO_0051205', 'GO_0005886', 'GO_0015031', 'GO_0016020', 'GO_0032977'}"
SO_0006,"{'GO_0042781', 'GO_0001682', 'GO_0008033', 'GO_0042780', 'GO_0004526', 'GO_0004519', 'GO_0000049', 'GO_0003723', 'GO_0030677'}"
SO_0007,"{'GO_1990904', 'GO_0006412', 'GO_0003735', 'GO_0005840'}"
SO_0008,"{'GO_0005886', 'GO_0016887', 'GO_0006270', 'GO_0003688', 'GO_0003677', 'GO_0006275', 'GO_0005524', 'GO_0005737', 'GO_0006260'}"
SO_0009,"{'GO_0009360', 'GO_0006271', 'GO_0008408', 'GO_0003677', 'GO_0005737', 'GO_0006260', 'GO_0071897', 'GO_0003887'}"
SO_0010,"{'GO_0006281', 'GO_0009432', 'GO_0000731', 'GO_0003697', 'GO_0003677', 'GO_0006302', 'GO_0005524', 'GO_0005737', 'GO_0006260'}"
SO_0011,"{'GO_0051276', 'GO_0005694', 'GO_0006265', 'GO_0003918', 'GO_0003916', 'GO_0003677', 'GO_0006261', 'GO_0046872', 'GO_0005524', 'GO_0005737'}"
SO_0012,"{'GO_0006749', 'GO_0006559', 'GO_0016034', 'GO_0004364'}"
SO_0014,"{'GO_0005829', 'GO_0006426', 'GO_0004820', 'GO_0004814', 'GO_0004812', 'GO_0006420', 'GO_0006412', 'GO_0005524', 'GO_0005737'}"
SO_0015,"{'GO_0006426', 'GO_0004820', 'GO_0004812', 'GO_0006412', 'GO_0005524', 'GO_0005737'}"
SO_0016,"{'GO_0006284', 'GO_0046872', 'GO_0008725', 'GO_0016798'}"
SO_0018,"{'GO_0030170', 'GO_0003824', 'GO_0030151'}"
SO_0019,"{'GO_0005737', 'GO_0097163', 'GO_0002143'}"
