CONCEPTS,vector1,vector2,vector3,vector4,vector5,vector6,vector7,vector8,vector9,vector10,vector11,vector12,vector13,vector14,vector15,vector16,vector17,vector18,vector19,vector20,vector21,vector22,vector23,vector24,vector25,vector26,vector27,vector28,vector29,vector30,vector31,vector32,vector33,vector34,vector35,vector36,vector37,vector38,vector39,vector40,vector41,vector42,vector43,vector44,vector45,vector46,vector47,vector48,vector49,vector50,vector51,vector52,vector53,vector54,vector55,vector56,vector57,vector58,vector59,vector60,vector61,vector62,vector63,vector64,vector65,vector66,vector67,vector68,vector69,vector70,vector71,vector72,vector73,vector74,vector75,vector76,vector77,vector78,vector79,vector80,vector81,vector82,vector83,vector84,vector85,vector86,vector87,vector88,vector89,vector90,vector91,vector92,vector93,vector94,vector95,vector96,vector97,vector98,vector99,vector100
"['GO_0000003', 'GO_0000006', 'GO_0000011', 'GO_0000012', 'GO_0000014', 'GO_0000015', 'GO_0000018', 'GO_0000019', 'GO_0000022', 'GO_0000023']",0.567374056,-0.31966981545,-0.45679284979999996,0.019421107000000003,-0.07710727208,-0.23584914639999996,0.369458776,0.19062404369999997,0.557986569,-0.17269753989,-0.18696823939999999,-0.3392215653,0.10556923340000002,0.5070892317,-0.0679047469,-0.864716613,0.1348179334,-0.2633209623,-0.643354181,-0.10112808790000001,0.3833084114,0.31113646,0.1673752014,0.20580246600000002,-0.458850538,0.16026163625,-0.15219941656999997,0.20900919440000001,-0.0045095428999999965,-0.0937381179,0.45207391380000006,0.3939968128,-0.031173091799999997,0.33154326900000003,0.47860659400000005,-0.398878774,-0.26352913099999997,-0.11293325799999998,-0.23203260919999996,-0.11296153259999997,0.1990245579,0.38781959,-0.05492661339999998,0.5402394920000001,0.1311071736,0.2770098676,0.39862358200000003,0.027487753999999996,0.595547928,-0.3231591949,-0.8001011869999999,-0.7754848599999999,0.38730775399999995,-0.3680474002,0.0435715798,-0.140461695,-0.0617380289,-0.014220983500000001,0.16478410100000002,0.20050350109999998,-0.2029423046,-0.560941966,0.20000907351000002,-0.344548282,-0.10461577749999999,0.0336885017,0.394081633,-0.06399839080000003,-0.34784537890000006,0.013410525900000017,0.3890655402,0.210507584,0.16079563400000002,-0.3075027454,-0.04205666536,0.0417781762,0.09687215019999999,0.02479422495,-0.4390150020000001,0.043486741899999994,0.34770530499999996,-0.23669235819999995,-0.02899983264000001,0.0527731488,-0.0897736344,-0.2516926743,0.49150548800000005,0.23889908,-0.32881860367,0.09386486000000001,-0.512964546,-0.07931810480000001,0.0534447618,-0.7988094290000001,-0.1610990611,0.073899206418,0.23125139991999996,-0.0164898143,-0.14060666000000002,-0.13723064819999997
"['GO_0000010', 'GO_0000291', 'GO_0009060', 'GO_0022402', 'GO_0044424', 'GO_0040005', 'GO_0000132', 'GO_0006457', 'GO_0008219', 'GO_0019538']",0.630593763,-0.3202737825,-0.2763783459,0.282938081,-0.22426097597,-0.21567596019999996,0.37791674799999997,0.34341651559999997,0.49951421069999996,-0.27679573820000003,-0.16037461660000002,-0.12873581498000003,0.0518967787,0.893140739,-0.17384245329999998,-0.8280866549999999,0.13792208997,-0.22539169650000007,-0.6986735530000001,0.032544316,0.18686181914000005,0.346176955,0.005016737699999996,0.05835888738,-0.315782837,0.31461307239999997,-0.0640463443,0.21359271600000002,0.0941793299,-0.19122446119999997,0.2103447424,0.5305504337,0.0805069159,0.3561217496,0.6990136190000001,-0.148975637,-0.06148588380000001,-0.35531302989999997,-0.510999004,-0.2810801956,0.2636876427,0.445854568,-0.3613384736,0.598546598,0.019261444000000006,0.19130692929999998,0.4403874986,0.20757976960000005,0.39589643680000003,-0.4602750256,-0.6762879500000001,-0.716510258,0.40619599900000003,-0.4496976830000001,-0.0892648165,0.2071486045,-0.3326954274999999,-0.1346418795,0.12430006740000002,0.1110835547,-0.2211056167,-0.707718561,0.3401377237,-0.4278626790000001,-0.04251845159999999,0.1269320145,0.22535580460000001,0.1602414496,-0.45064624760000005,-0.14496852745799998,0.31531460200000005,0.3217772054,0.11444467259999999,-0.37275836851,-0.024328227869999997,0.0463400843,0.2917445449500001,0.24571317659999997,-0.46592682399999996,-0.2676806273,0.32628511590000003,-0.017730794829999993,-0.1846448993,0.266191077,-0.42122602000000003,-0.35937069470000005,0.49420872200000004,0.19339903860000002,-0.31597992099999994,0.08623597153,-0.703225533,-0.06896637600000001,0.1899106518,-0.898935878,0.10042432450000001,-0.0434173643,0.1382675157,0.07165237836999999,-0.0893863287,-0.27350681790000003
"['GO_0000012', 'GO_0006355', 'GO_0006470', 'GO_0006810', 'GO_0008150', 'GO_0009553', 'GO_0046903', 'GO_0051052', 'GO_0065007', 'GO_0071702']",0.5973818489999999,-0.07693782429999999,-0.688605155,-0.06305236230000001,0.04745533605,0.125770589,0.40274400200000005,0.29157248288000004,0.5933347233999999,-0.547479727,-0.2913386718,-0.07033560720000001,0.04166398400000002,0.8400724179999999,0.119051504,-0.870545305,0.08211447200000002,-0.16900991435999996,-0.748337523,-0.04959764199999998,0.1329444714,0.38557693950000005,0.43367264000000005,0.0473892448,0.213406102,0.20775151682,-0.4403095393,0.3088545345,0.10695462559999999,-0.05825678699999999,0.5320587037,0.977332284,-0.1343109294,0.386323366,0.8594128870000001,-0.303326339,-0.22927391,-0.269728234,-0.4525905047000001,-0.0598457932,0.39425963249999996,0.498340142,-0.27925144020000003,0.678620164,0.1596034497,0.154082628,0.48348127500000004,0.04337617450000001,0.7248193300000001,-0.389309297,-0.9121714610000001,-1.0099741119999999,0.5820028366999999,-0.5688968157000001,-0.12673153500000003,0.01786921836,-0.18732022369999998,-0.019052175514999988,-0.17088210230000003,0.24603531110000004,-0.136019677,-0.7360271519999999,0.13711993942,-0.51423491,-0.012400303599999999,0.0712296725,0.4212026506,-0.05343960630000001,-0.8175229600000001,0.028982575,0.430685131,0.10137968339999999,0.23110413,-0.258307454,-0.04875441769999999,-0.005227382300000004,-0.047365371,0.28849263350000004,-0.67612072,-0.135830738826,0.2683528007,-0.0994515947,-0.300572636,0.21671985769999996,-0.2829135853,-0.5613812158999999,0.5798980990000001,0.4025824761000001,-0.5073957960000001,0.24730483530000003,-0.5302785369999999,0.12545874249999997,0.29743360560000004,-0.6502348010000001,-0.0692308845,-0.2247717202,0.0548700481,0.139247636207,-0.0905926338,-0.4119158087
"['GO_0001071', 'GO_0006412', 'GO_0016491', 'GO_0009055', 'GO_0046933', 'GO_0033866', 'GO_0005886', 'GO_0042626', 'GO_0033179', 'GO_0004540']",0.60220260484,0.07572938679999999,-0.2946786542,-0.14557988752,-0.2774745305,0.008924762240000012,0.32065866651999997,0.3877197598,0.7989626529,-0.20800713666999998,-0.3196951379,0.019067286960000006,0.135210837701,0.8112445964999999,-0.801416028654,-1.12886172346,-0.13818917957000001,-0.49023303714,-0.64672675766,-0.00956703845000001,0.3092653178,0.3655896541,0.22022175475,0.022534164989999994,-0.33093956954000003,0.10456685116,-0.22874893496999996,0.2739771876,0.27793062914,-0.26324506125,-0.0033976363999999983,0.5855459136,-0.08343293857999998,0.7132674507000001,0.7432101793999999,-0.1033020649,-0.29365540995000006,-0.3600464834,-0.44091555838000007,-0.30711073768,0.38940717035000005,0.57058921584,-0.4167119436999999,0.19296228055999998,0.21192726569999998,0.33242088982,0.2446547963,-0.06701902280000001,0.4521623921300001,-0.17136638933999998,-0.94101135265,-0.9855391130000001,0.3976638562,-0.07543785165999999,0.2867713896,-0.09602913417,-0.02110079746999999,-0.41748700359999996,-0.04465179320000002,0.17802532155,-0.29004718205,-1.1258464965,0.1868040311,-0.22642522111000002,-0.3824278975,0.05400212649999999,0.6350638694299999,-0.009708215669999997,-0.13700429368,-0.005122589980000003,0.09911804077999997,0.13757360562,0.34038134529999997,-0.8095586514399999,-0.20264771707,0.1856946982,0.6758097306299999,0.17294416868,-0.3650690108,-0.0469740363,0.3169957577,0.43883713890000003,0.11189280640000002,0.13200456689999998,-0.1293100128,-0.4785871149,0.33468886724,0.09881758740000002,-0.20281683794000002,0.28855242683000004,-0.46422700587000004,0.0454850622,0.31432841502,-1.07275545754,0.07911572454,-0.09254349101,-0.1908666426,0.19414235493999998,0.0004314560999999939,-0.47460035626
"['GO_0001071', 'GO_0016491', 'GO_0055114', 'GO_0006790', 'GO_0044763', 'GO_0017004', 'GO_0030437', 'GO_0031977', 'GO_0016339', 'GO_0006334']",0.5932853676200001,0.05511568513,-0.2822109792,0.09320438318,-0.03302768738,-0.009546052264000002,0.44934001417,0.42813569922,0.4261766545,-0.30228007632,-0.19472095455000002,-0.28881932633999996,0.23409418147100003,0.6426191648749999,-0.416687161554,-0.7427649566200001,0.12309813622999999,-0.42519705737,-0.56439644806,-0.07391214075000001,0.28810868326,0.20513991247000002,0.12251171323999996,0.04758061726,-0.15907207054,0.1342979785,-0.16225805640000002,0.039765899199999996,0.13572043149,-0.38179663335,-0.04622382350000001,0.4651909389,-0.16843115238,0.4162650040000001,0.65075479135,-0.24909585996,-0.19651133294999998,-0.08990305776999999,-0.2070348639,-0.34754947645,0.27313359046999997,0.39228845206,-0.3397719909,0.3227390059,0.006885732100000019,0.37890487606999995,0.2479274677,0.12401820946,0.41522373733,-0.038886036740000005,-0.6260867037500001,-0.8205423882,0.33450291685,-0.015361369390000008,0.2406502511,-0.08501437476999998,-0.06624557821,-0.15793007969999998,0.03142839560000001,0.36518157375,-0.27220708407000005,-0.8912189351600001,0.48898274709999995,-0.21550690406,-0.12848347429999998,-0.0004836265099999959,0.3285847427,0.08510234285999999,-0.31451153898000006,0.09260359992,0.06497978189999998,0.25710446701,0.0700993947,-0.41753843334,-0.094962964726,0.05326117974,0.29526975903,0.22806998828,-0.44563705910000007,-0.044726424880000004,0.29619492862999997,0.14620933419999999,-0.1578420942,0.31718068695999996,-0.14056537656,-0.29221757403,0.4818332356,0.05897532532999998,-0.39024488454,0.32625270923,-0.42710337356999994,-0.04120700976000001,0.21771877041999996,-0.56259662728,-0.02526500936,0.03862115589000001,-0.08997569220000001,0.007827832639999999,-0.1038571349,-0.31022612604
"['GO_0002185', 'GO_0006119', 'GO_0007005', 'GO_0006096', 'GO_0006091', 'GO_0006090', 'GO_0030746', 'GO_0044237', 'GO_0044249', 'GO_0019752']",0.824627739,-0.31974946127000003,-0.2282576643,0.07287367,-0.4152526955,0.008170190000000011,0.44963466900000004,0.4230164622,0.660974943,-0.39936368145,-0.2994364234,-0.31763431950000004,0.43554186590000005,1.0184341959999998,-0.5180959316,-1.126885233,-0.24039180956,-0.2959847606,-0.7700636035,0.1148952405,0.7345368537,0.5243257245999999,0.004661014999999979,-0.09558517520000001,-0.29135869799999997,0.47538062699999994,0.01481604039999998,-0.062796506,0.181312951,-0.06744983980000002,0.32940772259999995,0.509799521,-0.07274316159999998,0.5057641148,0.840638893,-0.14677717519999997,-0.11216714800000002,-0.4648085350000001,-0.3698616174,-0.4120188564,0.5224187137999999,0.365879884,-0.3979464943,0.3381859079999999,0.152946141,0.2091666569,0.45277676399999994,0.1664408605,0.588752438,-0.29893426295000003,-0.561073952,-1.202475604,0.540709918,-0.236068114,0.018786990000000003,0.1327782246,-0.44514551300000005,-0.2466252797,-0.01780048089999999,0.41143290038,0.328820397,-0.9945543859999999,0.24024042900000003,-0.2274604474,0.12504337199999999,0.0470751975,0.50926771134,0.023494949999999997,-0.7608254563000001,0.06480646510000002,0.0009427664000000058,0.21647512879999997,0.16309783780000003,-0.5161288187999999,0.32148512030000004,0.035622953999999984,0.4799339089,-0.020637601139999982,-0.4080123351,-0.5033292512,0.601392698,0.07558783100000002,-0.053398986,0.10361767100000001,-0.31786091400000005,-0.503763598,0.2545984105,0.0452839435,-0.2871309231,0.15193921700000002,-0.7815121489999999,-0.11403983530000002,0.20040232099999997,-1.1552182100000001,0.2693876195,-0.2923560933,-0.08561170235,0.058772561000000015,-0.21661143120000004,-0.42526055840000004
"['GO_0002682', 'GO_0019031', 'GO_0009617', 'GO_0042742', 'GO_0002238', 'GO_0045087', 'GO_0050829', 'GO_0010073', 'GO_0051668', 'GO_0061844']",0.6340705120000001,-0.26293835200000004,-0.40449858800000005,-0.107366483,0.11405225119999998,-0.19909766246,0.41145606600000006,0.3397663451,0.46725561038999996,-0.34662047018,-0.1571444026,-0.47498042939999996,0.30179278600000004,0.6888801224,-0.16441376794,-0.8910820289999999,0.25019947172999996,-0.11448323800000001,-0.669444475,-0.078188817,0.383034134,0.1800931956,0.376679287,0.3523245924,-0.281699538,0.07400050646,-0.203780413,0.23333046899999998,0.1573947229,-0.22142586192999997,0.1786442,0.6300759840000001,0.05513396600000001,-0.04831763830000001,0.48308313300000005,-0.2777883591,-0.464768499,-0.27704914799999997,-0.45067303799999997,-0.277719504,0.005205947999999995,0.3598620841,-0.29349861850000003,0.685210224,0.0487753519,0.21190795420000003,0.421813094,0.115533047,0.6372984190000001,-0.13910213060000004,-0.7769926390000002,-0.8815827940000001,0.438077836,-0.7085684440000001,0.1945364263,0.236835387,-0.1569112781,0.045544741374,0.023051235000000014,0.4541023,0.08874675600000001,-0.7913264040000001,0.21352496799999998,-0.45811692800000003,-0.045041658400000004,0.1289119747,0.1277189343,-0.0714690367,-0.9834230350000001,0.158163374,0.4673022381,0.06677098795,0.1839883644,-0.17747608599999998,0.024215786599999994,0.10889178609999998,0.10515851129999998,0.29611286200000003,-0.4940233804,-0.1623316953,0.37004117900000005,-0.2332947226,-0.20489401319999997,0.09525975939999999,-0.21105242102,-0.47145927300000007,0.5677556380000001,0.3111442258,-0.34780647430000006,0.19644906050000002,-0.5385372740000001,0.1944529252,0.091004559,-1.007858186,0.09938763999999999,-0.10735259685000001,0.16613018699999998,0.2657578114,0.13868974950000001,-0.20560932070000004
"['GO_0003674', 'GO_0003824', 'GO_0006810', 'GO_0032501', 'GO_0044085', 'GO_0044236', 'GO_0008219', 'GO_0016055', 'GO_0048468', 'GO_0008233']",0.7286569044,-0.19858667938000002,-0.441955537277,-0.02844977317999998,-0.44651785225000007,0.038069767299999974,0.5982870977,0.27575821479999996,0.7636015568400001,-0.26032647869000003,-0.47533106149999993,-0.22794265740000003,-0.25356752591,1.0850952680292998,-0.39195437363,-0.7370816927,0.11559452114000002,-0.5556043848999999,-0.82864595365,-0.22842250127,-0.14357384914,0.35645895839999997,0.32927557598,0.016170060000000003,0.2319300703,0.04647983889600001,-0.25451413795,0.36602518930000005,0.3734624839,-0.39974109799999996,0.6175182718000001,0.9079651865999999,0.05212651205599998,0.6024533600399999,0.7348161420999999,-0.11891282705000002,-0.08193677986,-0.4111338465,-0.6153360572000001,-0.12769849873,0.33490921804,0.36670194100000003,-0.4332706798,0.7669171933000001,-0.22548465215000002,0.18373568402,0.33978568610000004,0.23333433641,0.8124627155,-0.19730905425000003,-0.9162374116,-0.87304746145,0.686780996667,-0.2213503569,-0.18373023919999998,0.31996962170000004,-0.21282769986,-0.26593978474700003,-0.5064774786,0.17158276813,-0.2528128894,-0.9769660070999999,0.18908791551200002,-0.4959044268,0.04906552633000001,0.04950903734999999,0.35397795804200005,0.16154389792999999,-0.55557158885,-0.11044064210000001,0.4184202208669999,0.20647347012,0.14146148949700002,-0.19431771566000003,0.009898038529999991,-0.07097866442,-0.08073892804999999,0.3032639023,-0.33614992850000003,-0.12490663186999999,0.34450718293,0.1095608527,-0.23740091609999997,0.120085778,-0.3223960617,-0.88067828025,0.37393891406,0.4073272536,-0.39981461780000005,0.17879451700000001,-0.8092409225200001,-0.026686253500000007,0.45382072416999997,-1.069712518337,0.1858057159,-0.25587367850000003,-0.06495877844000002,0.42286735373999995,-0.054025474699999985,-0.3780444871
"['GO_0003674', 'GO_0005575', 'GO_0008150', 'GO_0005975', 'GO_0009056', 'GO_0015979', 'GO_0044237', 'GO_0044763', 'GO_0046933', 'GO_0055114']",0.63426951178,-0.13707024757,-0.30965821779999997,-0.07091274719999999,-0.45569036488000003,0.027790730316000007,0.5093214976,0.35957762031999996,0.503157731,-0.33484954165,-0.2820441911,-0.0738604951,0.30363234077,1.0750287619749999,-0.4754628198,-0.98768212816,-0.21706362040000005,-0.20047109409,-0.6276780101,0.2464044779,0.40779613025999994,0.6391221833699999,0.25517171299,-0.21750744363000002,-0.1546513371,0.10956950586,-0.14403596292999996,-0.03223395359999996,0.08541763255,-0.344353788,0.32521576059999996,0.4846191514000001,0.1198477787,0.6336516504,0.85098569495,0.09799077384,0.03584365694,-0.41303870597000003,-0.40574081672,-0.28667991517,0.45565070212,0.45577709462,-0.1254816985,0.3748972936999999,0.002149760899999989,0.23413591325,0.17169042130000003,0.15629538486,0.42405079560000003,-0.36665683940000005,-0.6606425541000001,-0.9992247492,0.4775814475500001,-0.11166923923000001,0.006100036000000006,0.17116790013,-0.27479362214999997,-0.4247459914999999,-0.210255857,0.1991192755,0.09507944957999996,-0.7738451386599999,0.24796355972,-0.35413418295000004,0.0490519275,-0.16678680051,0.59587932897,0.021143972630000014,-0.6242064512300001,-0.17523026409999998,0.07643506000000001,0.21463984388999996,0.24162171579999997,-0.6686444129,-0.042905239655999995,0.03923502003999999,0.1702937082,0.20427589320000003,-0.23729703680000003,-0.36138348458,0.50148996873,-0.0085051244,-0.09402107830000002,0.03558039186,-0.47370681435999995,-0.58240497373,0.30708581266,0.18162065072999997,-0.5100221943,0.4012120954,-0.5996787782,0.038945235179999996,0.24101952110000005,-0.83728388174,0.015533380299999986,-0.27914645204000005,-0.1087904726,0.09820801009999999,-0.1776856315,-0.4116210251400001
"['GO_0003674', 'GO_0005622', 'GO_0005623', 'GO_0009987', 'GO_0016049', 'GO_0046933', 'GO_0055074', 'GO_0006281', 'GO_0016310', 'GO_0006810']",0.860489694,-0.07516240350000002,-0.30569092220000005,-0.0339092804,-0.06809559980000002,0.3233754673,0.3010550312,0.40365489400000004,0.7459342654000001,-0.475870499,-0.38000237439999995,0.014240516800000002,-0.05820268743,1.102734826,-0.4234287225,-0.8755753769999999,-0.11011559900000001,-0.25143296579999996,-0.617428218,-0.0847375797,0.08697331600000001,0.6663907109999999,0.47150265850000006,-0.05034692439999999,-0.16924069680000003,-0.059691537,-0.48716934799999995,0.5298252834,0.2698571139,-0.237648497,0.08237275620000002,0.8390143489999999,0.08369905843,0.745970096,0.8687502159999999,-0.224195382,-0.36690191035999997,-0.47491088910000007,-0.723195931,-0.1941543918,0.5546880980000001,0.3712812449999999,-0.34741407356,0.611414108,-0.007999786700000006,0.25715745666,0.4490710496,0.1178287648,0.6817155990000001,-0.33646578000000005,-0.752885827,-0.838102936,0.602971088,-0.4647314582,-0.26241280599999994,0.129795913,-0.27499431331,-0.24290459449999996,-0.3016593843,0.20973577799999998,-0.239089601,-1.012286387,0.1468887966,-0.495112255,-0.029909885100000012,0.044639217660000015,0.39609183406,0.07301277890000002,-0.65024611023,-0.20111385669999998,0.3394020605,-0.0016698328000000055,0.34086844699999996,-0.659272423,0.04684337709250001,0.069412396,0.2842145654,0.3524898891,-0.307268958,-0.05465885410000001,0.5848342736,0.1357373456,-0.2622686675,0.544006328,-0.3769698060000001,-0.8155532194999999,0.49796194000000005,0.5916719413999999,-0.3903151717,0.413824406,-0.4846575798,-0.1995937968,0.44604262079999996,-1.109656059,0.24052140569999997,-0.2637157,-0.1405959214,0.2137202952,-0.13831974740000003,-0.5690745186999999
