GO_1902551,GO_0016491,True
GO_0042400,GO_0016054,True
GO_0052597,GO_0016491,True
GO_0045734,GO_0016054,True
GO_0016728,GO_0016491,True
GO_0019555,GO_0016054,True
GO_0004733,GO_0016491,True
GO_0019328,GO_0016054,True
GO_0019460,GO_0016054,True
GO_0033611,GO_0016054,True
GO_0036101,GO_0016054,True
GO_0046296,GO_0016054,True
GO_0050781,GO_0016491,True
GO_0050162,GO_0016491,True
GO_0019457,GO_0016054,True
GO_0051911,GO_0016491,True
GO_0044835,GO_0016491,True
GO_0018703,GO_0016491,True
GO_0052620,GO_0016491,True
GO_0033789,GO_0016491,True
GO_0019670,GO_0016054,True
GO_0043883,GO_0016491,True
GO_0050605,GO_0016491,True
