SAMPLES,CONCEPTS
GSM1029395,"['GO_0098882', 'GO_0003831', 'GO_0060628', 'GO_0051536', 'GO_0031335', 'GO_0004850', 'GO_0034963', 'GO_1990575', 'GO_0038148', 'GO_0002333']"
GSM1029396,"['GO_0098882', 'GO_0003831', 'GO_0060628', 'GO_0051536', 'GO_0031335', 'GO_0034963', 'GO_0004850', 'GO_1990575', 'GO_0019585', 'GO_0038148']"
GSM1029397,"['GO_0034146', 'GO_0004850', 'GO_0003831', 'GO_1902834', 'GO_0003295', 'GO_0098882', 'GO_0038148', 'GO_0052629', 'GO_0075045', 'GO_0000770']"
GSM1029398,"['GO_0034146', 'GO_0003831', 'GO_0003295', 'GO_0004850', 'GO_0098882', 'GO_1902834', 'GO_0038148', 'GO_0052629', 'GO_0050781', 'GO_0075228']"
GSM1029399,"['GO_0007374', 'GO_0003831', 'GO_0030679', 'GO_0034146', 'GO_0004850', 'GO_0000770', 'GO_0034963', 'GO_0038148', 'GO_0003295', 'GO_0001057']"
GSM1029400,"['GO_0003831', 'GO_0007374', 'GO_0030679', 'GO_0004850', 'GO_0034146', 'GO_0000770', 'GO_0034963', 'GO_0038148', 'GO_0003295', 'GO_1902834']"
GSM1029401,"['GO_0030679', 'GO_0001057', 'GO_0003831', 'GO_1990745', 'GO_0046257', 'GO_0031335', 'GO_0007374', 'GO_0002333', 'GO_1902876', 'GO_0034963']"
GSM1029402,"['GO_0001057', 'GO_0003831', 'GO_0030679', 'GO_1990745', 'GO_0046257', 'GO_0031335', 'GO_0002333', 'GO_0007374', 'GO_0034963', 'GO_0072268']"
GSM1029403,"['GO_0003831', 'GO_0031335', 'GO_0002333', 'GO_0052563', 'GO_0034146', 'GO_0034963', 'GO_0001057', 'GO_0007374', 'GO_1990745', 'GO_0051600']"
GSM1029404,"['GO_0003831', 'GO_0031335', 'GO_0002333', 'GO_0052563', 'GO_0034963', 'GO_0034146', 'GO_0001057', 'GO_0051600', 'GO_0007374', 'GO_1990745']"
GSM1029405,"['GO_0031335', 'GO_0002333', 'GO_0007374', 'GO_0052629', 'GO_0047980', 'GO_0052563', 'GO_0034963', 'GO_0034752', 'GO_0060342', 'GO_0001057']"
GSM1029406,"['GO_0007374', 'GO_0052629', 'GO_1990745', 'GO_0034963', 'GO_0031335', 'GO_0110099', 'GO_0002333', 'GO_0097379', 'GO_0003295', 'GO_0034752']"
GSM1029407,"['GO_0003831', 'GO_0034146', 'GO_1990745', 'GO_0030679', 'GO_0110099', 'GO_0052629', 'GO_0038038', 'GO_0002333', 'GO_0034752', 'GO_0031335']"
GSM1029408,"['GO_0007374', 'GO_0003831', 'GO_0052629', 'GO_0034963', 'GO_0035332', 'GO_0019585', 'GO_0003295', 'GO_1990745', 'GO_0001057', 'GO_0098882']"
GSM1029409,"['GO_0003831', 'GO_0019585', 'GO_0034146', 'GO_1901907', 'GO_0060628', 'GO_0030679', 'GO_0010597', 'GO_0052629', 'GO_0034963', 'GO_0098882']"
