SAMPLES,CONCEPTS
GSM7840909,"['GO_0018847', 'GO_0023069', 'GO_2000625', 'GO_0034480', 'GO_1901964', 'GO_0030303', 'GO_0004019', 'GO_1990032', 'GO_0061309', 'GO_0075118']"
GSM7074636,"['GO_0006910', 'GO_0000721', 'GO_0005095', 'GO_0062072', 'GO_0034676', 'GO_1900879', 'GO_0062013', 'GO_0030679', 'GO_0001134', 'GO_0071609']"
GSM7074637,"['GO_0006910', 'GO_0000721', 'GO_0005095', 'GO_0062072', 'GO_0034676', 'GO_1900879', 'GO_0062013', 'GO_0030679', 'GO_0001134', 'GO_0071609']"
GSM7074638,"['GO_0006910', 'GO_0000721', 'GO_0005095', 'GO_0062072', 'GO_0034676', 'GO_1900879', 'GO_0062013', 'GO_0030679', 'GO_0001134', 'GO_0071609']"
GSM7074639,"['GO_0005095', 'GO_0021586', 'GO_0000721', 'GO_0006910', 'GO_0007356', 'GO_1900879', 'GO_2000427', 'GO_0033027', 'GO_0051909', 'GO_0008716']"
GSM7074640,"['GO_0005095', 'GO_0021586', 'GO_0000721', 'GO_0006910', 'GO_0007356', 'GO_1900879', 'GO_2000427', 'GO_0033027', 'GO_0051909', 'GO_0008716']"
GSM7074641,"['GO_0005095', 'GO_0021586', 'GO_0000721', 'GO_0006910', 'GO_0007356', 'GO_1900879', 'GO_2000427', 'GO_0033027', 'GO_0051909', 'GO_0008716']"
GSM8158834,"['GO_0042543', 'GO_0004140', 'GO_1902315', 'GO_1990342', 'GO_1905642', 'GO_0006221', 'GO_0040021', 'GO_0090664', 'GO_0042555', 'GO_0098617']"
GSM8158835,"['GO_0042543', 'GO_0004140', 'GO_1902315', 'GO_1990342', 'GO_1905642', 'GO_0006221', 'GO_0040021', 'GO_0090664', 'GO_0042555', 'GO_0098617']"
GSM8158836,"['GO_0042543', 'GO_0004140', 'GO_1902315', 'GO_1990342', 'GO_1905642', 'GO_0006221', 'GO_0040021', 'GO_0090664', 'GO_0042555', 'GO_0098617']"
GSM8158837,"['GO_0042543', 'GO_0004140', 'GO_1902315', 'GO_0008124', 'GO_1904187', 'GO_0012507', 'GO_1902009', 'GO_0047296', 'GO_0015471', 'GO_0042845']"
GSM8158838,"['GO_0042543', 'GO_0004140', 'GO_1902315', 'GO_0008124', 'GO_1904187', 'GO_0012507', 'GO_1902009', 'GO_0047296', 'GO_0015471', 'GO_0042845']"
GSM8158839,"['GO_0042543', 'GO_0004140', 'GO_1902315', 'GO_0008124', 'GO_1904187', 'GO_0012507', 'GO_1902009', 'GO_0047296', 'GO_0015471', 'GO_0042845']"
GSM622787,"['GO_0008138', 'GO_0032305', 'GO_0035234', 'GO_0065005', 'GO_1904492', 'GO_0003250', 'GO_0051839', 'GO_0019991', 'GO_0008925', 'GO_0031825']"
GSM622788,"['GO_0008138', 'GO_0032305', 'GO_1904492', 'GO_0065005', 'GO_0008925', 'GO_0051839', 'GO_0035234', 'GO_0003315', 'GO_0019991', 'GO_0035074']"
GSM622789,"['GO_0008138', 'GO_0032305', 'GO_0035234', 'GO_0065005', 'GO_1904492', 'GO_0003250', 'GO_0051839', 'GO_0019991', 'GO_0008925', 'GO_0031825']"
GSM622790,"['GO_0008138', 'GO_0032305', 'GO_1904492', 'GO_0065005', 'GO_0008925', 'GO_0051839', 'GO_0035234', 'GO_0003315', 'GO_0019991', 'GO_0035074']"
GSM1712366,"['GO_0052629', 'GO_0016078', 'GO_0098882', 'GO_0030223', 'GO_0007458', 'GO_0045503', 'GO_0002889', 'GO_0050290', 'GO_0010809', 'GO_0044249']"
GSM1810429,"['GO_0061831', 'GO_0070610', 'GO_0030725', 'GO_1902052', 'GO_0043030', 'GO_0036507', 'GO_0043846', 'GO_0035286', 'GO_0090176', 'GO_0098882']"
GSM1810430,"['GO_0043507', 'GO_0005147', 'GO_0042807', 'GO_0061125', 'GO_1903982', 'GO_0052629', 'GO_0098974', 'GO_0062028', 'GO_0050053', 'GO_0000290']"
GSM1810431,"['GO_0042807', 'GO_0043507', 'GO_1902052', 'GO_0062028', 'GO_1903982', 'GO_0005147', 'GO_0061125', 'GO_0098974', 'GO_0000290', 'GO_0048815']"
GSM1810432,"['GO_0043507', 'GO_0005147', 'GO_0050053', 'GO_0007417', 'GO_0042807', 'GO_1901268', 'GO_0061125', 'GO_1902052', 'GO_0098974', 'GO_0051063']"
GSM1828833,"['GO_0052629', 'GO_0016078', 'GO_0007458', 'GO_0098882', 'GO_0030223', 'GO_0032552', 'GO_0047149', 'GO_0062028', 'GO_0044249', 'GO_0005147']"
GSM1828834,"['GO_0052629', 'GO_0016078', 'GO_0007458', 'GO_0098882', 'GO_0030223', 'GO_0032552', 'GO_0047149', 'GO_0062028', 'GO_0044249', 'GO_0005147']"
GSM1828835,"['GO_0030223', 'GO_0062028', 'GO_0005147', 'GO_0036356', 'GO_0140270', 'GO_1902052', 'GO_0042868', 'GO_0032493', 'GO_0007515', 'GO_0032552']"
GSM1828836,"['GO_0030223', 'GO_0062028', 'GO_0005147', 'GO_0036356', 'GO_0140270', 'GO_1902052', 'GO_0042868', 'GO_0032493', 'GO_0007515', 'GO_0032552']"
GSM1828837,"['GO_0030223', 'GO_0062028', 'GO_0005147', 'GO_0036356', 'GO_0140270', 'GO_1902052', 'GO_0042868', 'GO_0032493', 'GO_0007515', 'GO_0032552']"
GSM1828838,"['GO_0052629', 'GO_0016078', 'GO_0007458', 'GO_0098882', 'GO_0030223', 'GO_0032552', 'GO_0047149', 'GO_0062028', 'GO_0044249', 'GO_0005147']"
GSM240949,"['GO_0098617', 'GO_0030861', 'GO_0060943', 'GO_0016905', 'GO_0043327', 'GO_1902771', 'GO_0035272', 'GO_0042407', 'GO_0036195', 'GO_0046517']"
GSM240950,"['GO_0098617', 'GO_0030861', 'GO_0060943', 'GO_0016905', 'GO_0043327', 'GO_1902771', 'GO_0035272', 'GO_0042407', 'GO_0036195', 'GO_0046517']"
GSM240951,"['GO_0098617', 'GO_0030861', 'GO_0060943', 'GO_0016905', 'GO_0043327', 'GO_1902771', 'GO_0035272', 'GO_0042407', 'GO_0036195', 'GO_0046517']"
GSM240952,"['GO_0098617', 'GO_0030861', 'GO_0060943', 'GO_0016905', 'GO_0043327', 'GO_1902771', 'GO_0035272', 'GO_0042407', 'GO_0036195', 'GO_0046517']"
GSM240953,"['GO_0098617', 'GO_0030861', 'GO_0060943', 'GO_0016905', 'GO_0043327', 'GO_1902771', 'GO_0035272', 'GO_0042407', 'GO_0036195', 'GO_0046517']"
GSM240954,"['GO_0098617', 'GO_0030861', 'GO_0060943', 'GO_0016905', 'GO_0043327', 'GO_1902771', 'GO_0035272', 'GO_0042407', 'GO_0036195', 'GO_0046517']"
GSM240955,"['GO_0098617', 'GO_0030861', 'GO_0060943', 'GO_0016905', 'GO_0043327', 'GO_1902771', 'GO_0035272', 'GO_0042407', 'GO_0036195', 'GO_0046517']"
GSM240956,"['GO_0098617', 'GO_0030861', 'GO_0060943', 'GO_0016905', 'GO_0043327', 'GO_1902771', 'GO_0035272', 'GO_0042407', 'GO_0036195', 'GO_0046517']"
GSM240957,"['GO_0098617', 'GO_0030861', 'GO_0060943', 'GO_0016905', 'GO_0043327', 'GO_1902771', 'GO_0035272', 'GO_0042407', 'GO_0036195', 'GO_0046517']"
GSM240958,"['GO_0098617', 'GO_0030861', 'GO_0060943', 'GO_0016905', 'GO_0043327', 'GO_1902771', 'GO_0035272', 'GO_0042407', 'GO_0036195', 'GO_0046517']"
GSM240959,"['GO_0098617', 'GO_0030861', 'GO_2000474', 'GO_0003364', 'GO_0033472', 'GO_0016905', 'GO_0003295', 'GO_0043327', 'GO_0022030', 'GO_1901217']"
GSM240960,"['GO_0098617', 'GO_0030861', 'GO_2000474', 'GO_0003364', 'GO_0033472', 'GO_0016905', 'GO_0003295', 'GO_0043327', 'GO_0022030', 'GO_1901217']"
GSM240961,"['GO_0098617', 'GO_0030861', 'GO_2000474', 'GO_0003364', 'GO_0033472', 'GO_0016905', 'GO_0003295', 'GO_0043327', 'GO_0022030', 'GO_1901217']"
GSM240962,"['GO_0098617', 'GO_0030861', 'GO_2000474', 'GO_0003364', 'GO_0033472', 'GO_0016905', 'GO_0003295', 'GO_0043327', 'GO_0022030', 'GO_1901217']"
GSM240963,"['GO_0098617', 'GO_0030861', 'GO_2000474', 'GO_0003364', 'GO_0033472', 'GO_0016905', 'GO_0003295', 'GO_0043327', 'GO_0022030', 'GO_1901217']"
GSM240964,"['GO_0098617', 'GO_0030861', 'GO_2000474', 'GO_0003364', 'GO_0033472', 'GO_0016905', 'GO_0003295', 'GO_0043327', 'GO_0022030', 'GO_1901217']"
GSM240965,"['GO_0098617', 'GO_0030861', 'GO_2000474', 'GO_0003364', 'GO_0033472', 'GO_0016905', 'GO_0003295', 'GO_0043327', 'GO_0022030', 'GO_1901217']"
GSM240966,"['GO_0098617', 'GO_0030861', 'GO_2000474', 'GO_0003364', 'GO_0033472', 'GO_0016905', 'GO_0003295', 'GO_0043327', 'GO_0022030', 'GO_1901217']"
GSM240967,"['GO_0098617', 'GO_0030861', 'GO_2000474', 'GO_0003364', 'GO_0033472', 'GO_0016905', 'GO_0003295', 'GO_0043327', 'GO_0022030', 'GO_1901217']"
GSM240968,"['GO_0098617', 'GO_0030861', 'GO_2000474', 'GO_0003364', 'GO_0033472', 'GO_0016905', 'GO_0003295', 'GO_0043327', 'GO_0022030', 'GO_1901217']"
GSM240969,"['GO_0098617', 'GO_0030861', 'GO_0016905', 'GO_0043327', 'GO_0003295', 'GO_2000474', 'GO_0033472', 'GO_0008336', 'GO_0018169', 'GO_0022030']"
GSM240970,"['GO_0098617', 'GO_0030861', 'GO_0016905', 'GO_0043327', 'GO_0003295', 'GO_2000474', 'GO_0033472', 'GO_0008336', 'GO_0018169', 'GO_0022030']"
GSM240971,"['GO_0098617', 'GO_0030861', 'GO_0016905', 'GO_0043327', 'GO_0003295', 'GO_2000474', 'GO_0033472', 'GO_0008336', 'GO_0018169', 'GO_0022030']"
GSM240972,"['GO_0098617', 'GO_0030861', 'GO_0016905', 'GO_0043327', 'GO_0003295', 'GO_2000474', 'GO_0033472', 'GO_0008336', 'GO_0018169', 'GO_0022030']"
GSM240973,"['GO_0098617', 'GO_0030861', 'GO_0016905', 'GO_0043327', 'GO_0003295', 'GO_2000474', 'GO_0033472', 'GO_0008336', 'GO_0018169', 'GO_0022030']"
GSM240974,"['GO_0098617', 'GO_0030861', 'GO_0016905', 'GO_0043327', 'GO_0003295', 'GO_2000474', 'GO_0033472', 'GO_0008336', 'GO_0018169', 'GO_0022030']"
GSM240975,"['GO_0098617', 'GO_0030861', 'GO_0016905', 'GO_0043327', 'GO_0003295', 'GO_2000474', 'GO_0033472', 'GO_0008336', 'GO_0018169', 'GO_0022030']"
GSM240976,"['GO_0098617', 'GO_0030861', 'GO_0016905', 'GO_0043327', 'GO_0003295', 'GO_2000474', 'GO_0033472', 'GO_0008336', 'GO_0018169', 'GO_0022030']"
GSM240977,"['GO_0098617', 'GO_0030861', 'GO_0016905', 'GO_0043327', 'GO_0003295', 'GO_2000474', 'GO_0033472', 'GO_0008336', 'GO_0018169', 'GO_0022030']"
GSM240978,"['GO_0098617', 'GO_0030861', 'GO_0016905', 'GO_0043327', 'GO_0003295', 'GO_2000474', 'GO_0033472', 'GO_0008336', 'GO_0018169', 'GO_0022030']"
GSM4285723,"['GO_0051721', 'GO_0030679', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_1901740', 'GO_0008202']"
GSM4285724,"['GO_0051721', 'GO_0030679', 'GO_0055094', 'GO_0034489', 'GO_0071409', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_0004248', 'GO_0034201']"
GSM4285725,"['GO_0030679', 'GO_0051721', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_0019242', 'GO_1990030', 'GO_0033157', 'GO_0004248', 'GO_1901740']"
GSM4285726,"['GO_0030679', 'GO_0051721', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_0019242', 'GO_1990030', 'GO_0033157', 'GO_0004248', 'GO_1901740']"
GSM4285727,"['GO_0051721', 'GO_0030679', 'GO_0071409', 'GO_0055094', 'GO_1990030', 'GO_0034489', 'GO_0033157', 'GO_0019242', 'GO_0008202', 'GO_1901740']"
GSM4285728,"['GO_0051721', 'GO_0030679', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_0004248', 'GO_0008202']"
GSM4285729,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0033157', 'GO_0019242', 'GO_1990030', 'GO_0004248', 'GO_1901740']"
GSM4285730,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0033157', 'GO_1990030', 'GO_0019242', 'GO_1901740', 'GO_0004248']"
GSM4285731,"['GO_0051721', 'GO_0030679', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_1901740', 'GO_1905246']"
GSM4285732,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0019242', 'GO_1990030', 'GO_0033157', 'GO_0004248', 'GO_1901740']"
GSM4285733,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0019242', 'GO_0033157', 'GO_1990030', 'GO_1901740', 'GO_0004248']"
GSM4285734,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0019242', 'GO_0033157', 'GO_1990030', 'GO_0004248', 'GO_1901740']"
GSM4285735,"['GO_0051721', 'GO_0030679', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_1901740', 'GO_0008202']"
GSM4285736,"['GO_0051721', 'GO_0030679', 'GO_0055094', 'GO_0034489', 'GO_0071409', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_0004248', 'GO_0034201']"
GSM4285737,"['GO_0030679', 'GO_0051721', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_0019242', 'GO_1990030', 'GO_0033157', 'GO_0004248', 'GO_1901740']"
GSM4285738,"['GO_0030679', 'GO_0051721', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_0019242', 'GO_1990030', 'GO_0033157', 'GO_0004248', 'GO_1901740']"
GSM4285739,"['GO_0051721', 'GO_0030679', 'GO_0071409', 'GO_0055094', 'GO_1990030', 'GO_0034489', 'GO_0033157', 'GO_0019242', 'GO_0008202', 'GO_1901740']"
GSM4285740,"['GO_0051721', 'GO_0030679', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_0004248', 'GO_0008202']"
GSM4285741,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0033157', 'GO_1990030', 'GO_0019242', 'GO_1901740', 'GO_0004248']"
GSM4285742,"['GO_0051721', 'GO_0030679', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_1901740', 'GO_1905246']"
GSM4285743,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0019242', 'GO_1990030', 'GO_0033157', 'GO_0004248', 'GO_1901740']"
GSM4285744,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0019242', 'GO_0033157', 'GO_1990030', 'GO_1901740', 'GO_0004248']"
GSM4285745,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0019242', 'GO_0033157', 'GO_1990030', 'GO_0004248', 'GO_1901740']"
GSM4285746,"['GO_0051721', 'GO_0030679', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_1901740', 'GO_0008202']"
GSM4285747,"['GO_0030679', 'GO_0051721', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_0019242', 'GO_1990030', 'GO_0033157', 'GO_0004248', 'GO_1901740']"
GSM4285748,"['GO_0030679', 'GO_0051721', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_0019242', 'GO_1990030', 'GO_0033157', 'GO_0004248', 'GO_1901740']"
GSM4285749,"['GO_0030679', 'GO_0051721', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_0019242', 'GO_1990030', 'GO_0033157', 'GO_0004248', 'GO_1901740']"
GSM4285750,"['GO_0051721', 'GO_0030679', 'GO_0071409', 'GO_0055094', 'GO_1990030', 'GO_0034489', 'GO_0033157', 'GO_0019242', 'GO_0008202', 'GO_1901740']"
GSM4285751,"['GO_0051721', 'GO_0030679', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_0004248', 'GO_0008202']"
GSM4285752,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0033157', 'GO_1990030', 'GO_0019242', 'GO_0004248', 'GO_1901740']"
GSM4285753,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0033157', 'GO_0019242', 'GO_1990030', 'GO_0004248', 'GO_1901740']"
GSM4285754,"['GO_0051721', 'GO_0030679', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_1990030', 'GO_0019242', 'GO_0033157', 'GO_1901740', 'GO_1905246']"
GSM4285755,"['GO_0051721', 'GO_0030679', 'GO_0055094', 'GO_0071409', 'GO_0034489', 'GO_0019242', 'GO_1990030', 'GO_0033157', 'GO_0004248', 'GO_0034201']"
GSM4285756,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0019242', 'GO_0033157', 'GO_1990030', 'GO_0004248', 'GO_1901740']"
GSM4285757,"['GO_0030679', 'GO_0051721', 'GO_0071409', 'GO_0055094', 'GO_0034489', 'GO_0019242', 'GO_0033157', 'GO_1990030', 'GO_0004248', 'GO_1901740']"
GSM613993,"['GO_2000245', 'GO_1900128', 'GO_0021820', 'GO_0071394', 'GO_0047132', 'GO_0033836', 'GO_0006910', 'GO_1990342', 'GO_0000721', 'GO_1902090']"
GSM613994,"['GO_2000245', 'GO_1900128', 'GO_0071394', 'GO_0021820', 'GO_0033836', 'GO_1902090', 'GO_0047132', 'GO_0004140', 'GO_1990342', 'GO_0043984']"
GSM1360030,"['GO_1904886', 'GO_0052562', 'GO_0038120', 'GO_2001133', 'GO_0010781', 'GO_0009788', 'GO_0099028', 'GO_0090179', 'GO_0120107', 'GO_1900231']"
GSM1360031,"['GO_1904886', 'GO_0052562', 'GO_0038120', 'GO_2001133', 'GO_0010781', 'GO_0009788', 'GO_0099028', 'GO_0090179', 'GO_0120107', 'GO_1900231']"
GSM1360032,"['GO_1904886', 'GO_0052562', 'GO_0038120', 'GO_0099028', 'GO_0090179', 'GO_2001133', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0000770']"
GSM1360033,"['GO_1904886', 'GO_0052562', 'GO_0038120', 'GO_0099028', 'GO_0090179', 'GO_2001133', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0000770']"
GSM1360034,"['GO_1904886', 'GO_0052562', 'GO_0038120', 'GO_0099028', 'GO_0090179', 'GO_2001133', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0000770']"
GSM1360035,"['GO_1904886', 'GO_0052562', 'GO_0038120', 'GO_0099028', 'GO_0090179', 'GO_2001133', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0000770']"
GSM1360036,"['GO_1904886', 'GO_0038120', 'GO_2001133', 'GO_0009788', 'GO_0010781', 'GO_0052562', 'GO_0090179', 'GO_0120107', 'GO_0099028', 'GO_0008872']"
GSM1360037,"['GO_1904886', 'GO_0038120', 'GO_2001133', 'GO_0009788', 'GO_0010781', 'GO_0052562', 'GO_0090179', 'GO_0120107', 'GO_0099028', 'GO_0008872']"
GSM1360038,"['GO_1904886', 'GO_0090179', 'GO_2001133', 'GO_0038120', 'GO_0099028', 'GO_0010781', 'GO_0009788', 'GO_0052562', 'GO_0120107', 'GO_0061252']"
GSM1360039,"['GO_1904886', 'GO_0090179', 'GO_2001133', 'GO_0038120', 'GO_0099028', 'GO_0010781', 'GO_0009788', 'GO_0052562', 'GO_0120107', 'GO_0061252']"
GSM1360040,"['GO_1904886', 'GO_0090179', 'GO_0038120', 'GO_2001133', 'GO_0010781', 'GO_0099028', 'GO_0009788', 'GO_0052562', 'GO_0120107', 'GO_0061252']"
GSM1360041,"['GO_1904886', 'GO_0090179', 'GO_0038120', 'GO_2001133', 'GO_0010781', 'GO_0099028', 'GO_0009788', 'GO_0052562', 'GO_0120107', 'GO_0061252']"
GSM1360042,"['GO_1904886', 'GO_0038120', 'GO_0052562', 'GO_2001133', 'GO_0010781', 'GO_0009788', 'GO_0099028', 'GO_0120107', 'GO_0090179', 'GO_1900231']"
GSM1360043,"['GO_1904886', 'GO_0038120', 'GO_0052562', 'GO_2001133', 'GO_0010781', 'GO_0009788', 'GO_0099028', 'GO_0120107', 'GO_0090179', 'GO_1900231']"
GSM1360044,"['GO_1904886', 'GO_0052562', 'GO_0038120', 'GO_2001133', 'GO_0099028', 'GO_0090179', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0000770']"
GSM1360045,"['GO_1904886', 'GO_0052562', 'GO_0038120', 'GO_2001133', 'GO_0099028', 'GO_0090179', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0000770']"
GSM1360046,"['GO_1904886', 'GO_0038120', 'GO_0052562', 'GO_2001133', 'GO_0099028', 'GO_0090179', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0000770']"
GSM1360047,"['GO_1904886', 'GO_0038120', 'GO_0052562', 'GO_2001133', 'GO_0099028', 'GO_0090179', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0000770']"
GSM1360048,"['GO_1904886', 'GO_0038120', 'GO_2001133', 'GO_0009788', 'GO_0010781', 'GO_0090179', 'GO_0120107', 'GO_0052562', 'GO_0099028', 'GO_0008872']"
GSM1360049,"['GO_1904886', 'GO_0038120', 'GO_2001133', 'GO_0009788', 'GO_0010781', 'GO_0090179', 'GO_0120107', 'GO_0052562', 'GO_0099028', 'GO_0008872']"
GSM1360050,"['GO_1904886', 'GO_0090179', 'GO_2001133', 'GO_0038120', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0099028', 'GO_0061252', 'GO_0052562']"
GSM1360051,"['GO_1904886', 'GO_0090179', 'GO_2001133', 'GO_0038120', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0099028', 'GO_0061252', 'GO_0052562']"
GSM1360052,"['GO_1904886', 'GO_0090179', 'GO_0038120', 'GO_2001133', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0099028', 'GO_0061252', 'GO_0052562']"
GSM1360053,"['GO_1904886', 'GO_0090179', 'GO_0038120', 'GO_2001133', 'GO_0010781', 'GO_0009788', 'GO_0120107', 'GO_0099028', 'GO_0061252', 'GO_0052562']"
GSM1360954,"['GO_0047129', 'GO_0001855', 'GO_1903472', 'GO_0075178', 'GO_0050456', 'GO_0009892', 'GO_0098610', 'GO_0140366', 'GO_0036087', 'GO_0046045']"
GSM1360955,"['GO_0120309', 'GO_0018610', 'GO_0005553', 'GO_0046904', 'GO_0036087', 'GO_0086088', 'GO_0052794', 'GO_0043182', 'GO_0140409', 'GO_0000514']"
GSM2308225,"['GO_1902090', 'GO_0006910', 'GO_1990447', 'GO_0004140', 'GO_0031579', 'GO_0102835', 'GO_0033836', 'GO_1900128', 'GO_0062072', 'GO_0033931']"
GSM2308226,"['GO_1902090', 'GO_0006910', 'GO_1990447', 'GO_0004140', 'GO_0031579', 'GO_0102835', 'GO_0033836', 'GO_1900128', 'GO_0062072', 'GO_0033931']"
GSM2308227,"['GO_0006910', 'GO_0033931', 'GO_1902090', 'GO_0008164', 'GO_1900128', 'GO_0048440', 'GO_1990447', 'GO_0102835', 'GO_0031579', 'GO_0004140']"
GSM2308228,"['GO_0006910', 'GO_0033931', 'GO_1902090', 'GO_0008164', 'GO_1900128', 'GO_0048440', 'GO_1990447', 'GO_0102835', 'GO_0031579', 'GO_0004140']"
GSM2308229,"['GO_1902090', 'GO_0004140', 'GO_0031579', 'GO_1990447', 'GO_0006910', 'GO_0071394', 'GO_0033836', 'GO_1990342', 'GO_0102835', 'GO_0034590']"
GSM2308230,"['GO_1902090', 'GO_0004140', 'GO_0031579', 'GO_1990447', 'GO_0006910', 'GO_0071394', 'GO_0033836', 'GO_1990342', 'GO_0102835', 'GO_0034590']"
GSM2308231,"['GO_0006910', 'GO_1902090', 'GO_0102835', 'GO_0033931', 'GO_1900128', 'GO_0031579', 'GO_1990447', 'GO_1902239', 'GO_0071394', 'GO_0002168']"
GSM2308232,"['GO_0006910', 'GO_1902090', 'GO_0102835', 'GO_0033931', 'GO_1900128', 'GO_0031579', 'GO_1990447', 'GO_1902239', 'GO_0071394', 'GO_0002168']"
GSM1603380,"['GO_0048941', 'GO_0048335', 'GO_0004140', 'GO_0008635', 'GO_0009341', 'GO_1903315', 'GO_0048161', 'GO_0046345', 'GO_1903774', 'GO_0032832']"
GSM1603381,"['GO_0048941', 'GO_0048335', 'GO_0004140', 'GO_0008635', 'GO_0009341', 'GO_1903315', 'GO_0048161', 'GO_0046345', 'GO_1903774', 'GO_0032832']"
GSM1603382,"['GO_0048941', 'GO_0004140', 'GO_0048161', 'GO_0009341', 'GO_1903315', 'GO_0008635', 'GO_0032832', 'GO_0048335', 'GO_1990161', 'GO_0046345']"
GSM1603383,"['GO_0048941', 'GO_0004140', 'GO_0048161', 'GO_0009341', 'GO_1903315', 'GO_0008635', 'GO_0032832', 'GO_0048335', 'GO_1990161', 'GO_0046345']"
GSM1603384,"['GO_0048941', 'GO_0004140', 'GO_0048161', 'GO_0032832', 'GO_0009341', 'GO_0048335', 'GO_1903315', 'GO_0008635', 'GO_1990161', 'GO_0046345']"
GSM1603385,"['GO_0048941', 'GO_0004140', 'GO_0048161', 'GO_0032832', 'GO_0009341', 'GO_0048335', 'GO_1903315', 'GO_0008635', 'GO_1990161', 'GO_0046345']"
GSM1603386,"['GO_0071213', 'GO_0004140', 'GO_0008490', 'GO_1905947', 'GO_0031304', 'GO_0006013', 'GO_0051721', 'GO_0046058', 'GO_0015714', 'GO_1904745']"
GSM1603387,"['GO_0071213', 'GO_0004140', 'GO_0008490', 'GO_1905947', 'GO_0031304', 'GO_0006013', 'GO_0051721', 'GO_0046058', 'GO_0015714', 'GO_1904745']"
GSM1603388,"['GO_0071213', 'GO_0004140', 'GO_0051721', 'GO_0008490', 'GO_0014878', 'GO_0033833', 'GO_1901358', 'GO_1900681', 'GO_1904662', 'GO_0031304']"
GSM1603389,"['GO_0071213', 'GO_0004140', 'GO_0051721', 'GO_0008490', 'GO_0014878', 'GO_0033833', 'GO_1901358', 'GO_1900681', 'GO_1904662', 'GO_0031304']"
GSM1603390,"['GO_0071213', 'GO_0004140', 'GO_0051721', 'GO_0008490', 'GO_1904829', 'GO_0051127', 'GO_0031304', 'GO_0006013', 'GO_1902090', 'GO_0005597']"
GSM1603391,"['GO_0071213', 'GO_0004140', 'GO_0051721', 'GO_0008490', 'GO_1904829', 'GO_0051127', 'GO_0031304', 'GO_0006013', 'GO_1902090', 'GO_0005597']"
