,GENE,GSM2732663,GSM2732664,GSM2732665,GSM2732666,GSM2732667,GSM2732668,GSM2732669,GSM2732670,GSM2732671,GSM2732672,GSM2732673,GSM2732674,GSM2732675,GSM2732676,GSM2732677,GSM2732678,GSM2732679,GSM2732680,GSM2732681,GSM2732682,GSM2732683,GSM2732684
17,SO_0006,0.8473697,0.96986246,-0.12915659,0.42362642,0.45774794,0.545413,-0.032938004,-0.093986034,0.23795462,-0.27007294,-0.48282242,0.024885178,0.36102057,0.6011691,-0.024885178,0.27603388,-1.1015368,-0.5643301,0.09659815,-0.038994312,-0.83717585,-0.6318016
18,SO_0007,0.975816,1.4909251,0.7228253,0.22667146,0.55700135,0.45821548,-0.1211741,0.27679086,-0.040270567,-0.028267145,-0.18620133,-0.43542886,0.28211617,0.24376225,-0.002443552,0.002443552,-0.9541304,-1.1574357,0.09119582,-0.18170524,-0.8020899,-0.84103036
19,SO_0007,0.6823797,0.94198227,0.20508671,0.29552746,0.051665306,0.19242525,-0.3319745,-0.40936756,0.044452667,-0.34152365,-0.28313494,-0.0676589,0.4562292,0.5295887,-0.23464441,-0.044452667,-0.85098696,-0.61753035,0.20182276,0.17213154,-0.78839254,-0.6500373
20,SO_0008,0.36448598,-0.38094115,0.014826059,0.04197812,0.24794126,0.037928343,-0.44512868,-0.48817706,-0.101038694,0.41741157,0.023340464,0.21324372,0.37299275,0.281852,-0.014826059,-0.45501924,-0.5747249,-0.5628245,-0.030445814,0.21155047,-0.68138146,-0.71526694
21,SO_0008,0.43146825,-0.69462466,-0.7353599,0.7844503,0.42885756,-0.24462914,-1.3585317,-1.9449918,0.8500745,0.8473532,0.015141726,0.17759013,1.0638416,0.13626218,-0.015141726,-0.7639587,0.04402089,-1.2054622,0.7280662,-0.26656032,-0.016079187,-1.0792196
22,SO_0008,-0.023557186,-0.30955362,-0.8680444,0.5609174,0.8515687,-0.4957304,-1.178988,-1.3538804,0.57935905,0.25887394,0.44303703,-0.14762735,0.87842894,0.1749711,0.24510717,-0.5870671,0.023557186,-0.06697607,0.3213787,-0.53561544,0.05990982,-1.0321922
23,SO_0009,0.2291317,0.5342884,0.7773733,0.42097855,0.73629856,-0.074866295,-0.08872032,-1.3380427,-0.08084488,0.16952896,0.3918643,-0.055921555,0.93736076,0.5851345,0.055921555,-0.42089558,-0.3335781,-1.2911396,0.1467371,-0.36105394,-0.19360971,-0.8190217
24,SO_0009,0.6336663,0.70782113,0.2783053,0.5115044,0.5646565,-0.2552483,-0.33052373,-0.7969506,0.05921483,0.2121675,0.17681861,-0.111908674,0.5292561,0.5906613,-0.05921483,0.15306497,-0.28802657,-0.5335648,-0.09697604,-0.06135297,-0.4592693,-0.55143094
25,SO_0009,-0.18724108,-0.8648648,-0.06381464,0.14465284,0.1576581,-0.14648247,-0.36366844,-0.65448856,0.31107855,-0.045243263,0.39027786,-0.1857481,0.0641675,0.078799725,0.5788479,0.44450712,0.2097683,-0.024026394,-0.41552114,0.024026394,0.42489338,-0.3210392
26,SO_0010,0.09036732,-0.052916527,-0.007396698,0.41349506,0.37930298,-0.40003204,0.017717361,-0.63410664,0.30979967,0.27224684,0.007396698,-0.13622761,0.36093426,0.06793451,-0.6329627,-0.16849422,-0.026368618,0.4220686,0.35177803,-0.70411205,-0.23606157,-0.6535287
27,SO_0010,0.8312118,0.25119996,0.2829311,0.4297855,0.48841548,-0.08859277,-0.057133913,-0.6556003,0.057133913,-0.2846129,-0.12615275,-0.25232387,0.34176898,0.5483496,-0.46562505,-1.4621418,0.45814157,0.5313623,-1.4122088,0.17586923,-0.1741302,-1.2886083
28,SO_0010,0.5491514,0.18639374,0.34749794,0.7016115,0.40029478,0.11916256,-0.17973328,-0.58412194,0.3194003,0.044772625,-0.3904786,0.02356577,0.5373578,0.48112917,-1.3360276,-1.4007912,-0.16300058,-0.02356577,-1.8991473,-0.48721504,-1.5251839,-0.6981449
29,SO_0011,1.5007777,0.92075205,0.78054476,1.496614,1.6919484,-0.24122095,-0.6422887,-1.1343215,0.06016302,-0.32158566,-0.3696022,-0.2951784,0.9782877,0.81740904,0.7299919,0.30597258,-0.7179518,-0.06016302,0.8837981,-0.28412342,-0.51782894,-1.0857124
30,SO_0011,0.8238075,1.2668898,1.0005763,0.9074509,1.0041993,-0.33218408,0.085529566,-1.1030385,-0.105173826,0.042802095,-0.17347312,-0.27600026,0.682276,0.59571385,0.10483384,0.2638662,-0.5547416,-1.1161616,-0.20094705,-0.042802095,-1.3671167,-1.6154206
31,SO_0011,0.68489456,-0.2545719,0.41352224,1.2030292,1.383884,0.028878212,-0.5614176,-2.3556044,0.4237876,0.33136225,-0.14271879,0.006101608,1.1340775,1.1652532,-0.1518054,-0.08682251,-0.006101608,-0.18891144,0.30296373,-0.16724634,-1.2187982,-0.8600764
32,SO_0012,-0.54865,-0.17203689,-0.30553126,0.61549544,0.50503707,-1.0846174,-0.26320577,-0.68917465,0.2629969,0.43354917,-0.048486948,0.048486948,0.33331704,0.15033507,-0.4817865,-2.109153,0.38278317,2.9742825,1.0330007,-0.17224097,0.20828652,-0.6476042
33,SO_0012,-0.2976787,0.09724975,0.0688293,-0.27839875,-0.083188295,0.25969577,0.052857637,0.2205708,-0.8496368,-0.37625575,0.12478328,-0.052857637,-0.50267625,-1.037894,-1.204509,0.546242,-0.43403506,0.7047665,0.44497514,0.076864004,-0.24924016,0.27123046
34,SO_0012,0.482872,0.38942814,0.2746482,0.10710001,0.060602665,0.07387972,0.24662733,0.7483554,-0.002859116,-0.005596161,0.002859116,0.3508439,-0.19959545,-0.43065548,-1.4475508,-0.6508312,-0.17575788,0.019637585,-0.047257423,-0.039207935,-0.7709565,-0.12742138
35,SO_0013,-0.4545715,-0.57084775,-0.19282413,-0.46422744,-0.47710872,0.057819605,0.27206588,0.30632186,-0.057819605,-0.4277513,0.54473853,-0.36596894,-0.44581962,-0.37115884,0.33134532,0.5042875,0.17513251,0.12514329,-0.3625734,0.06076026,0.17332864,0.19731832
36,SO_0013,-0.2961414,-0.67295575,-0.123719454,-0.6255214,-0.52831864,-0.19344687,-0.05588031,0.525234,-0.004279852,0.06402993,0.21756482,0.14685845,-0.30895162,-0.3548987,0.004279852,-0.086606264,0.71261525,0.4515412,1.2004154,0.600672,0.5834,0.350693
37,SO_0013,0.8609452,-0.043212414,0.29043913,-0.25731134,0.16130209,0.56718254,0.1605382,0.30459976,-0.09908056,-0.04002762,-0.25884485,-0.14975548,0.15892363,-0.14262056,0.08023405,-0.6457925,0.40725327,0.04002762,0.81413174,-0.086224556,-1.0589733,-0.6743541
38,SO_0014,1.0490429,1.2891672,0.015531778,0.5151975,0.6060188,0.60945296,0.3513415,0.9040358,-0.3515303,0.24126983,-0.5169952,-0.65422654,-0.23097396,-0.015531778,-0.5482795,0.98489356,-2.220164,-0.55323386,-0.46549058,-0.044992685,-0.75327134,0.41623425
