,GENE,GSM663193,GSM663194,GSM663195,GSM663196,GSM663197,GSM663198
6519,SO2928,0.263,0.436,-0.158,-0.459,-1.273,-0.3
6520,SO2928F,,,,,,
6521,SO2928F,,,,,,
6522,SO2929,1.091,1.655,1.237,-1.057,-1.41,-1.95
6523,SO2929,0.714,1.506,1.124,-1.259,-1.863,-2.0
6524,SO2930,1.585,0.848,4.672,-1.0,-1.737,-2.0
6525,SO2930,0.0,1.0,0.0,-2.585,-1.874,-2.115
6526,SO2930F,,,,,,
6527,SO2930F,,,,,,
6528,SO2931,1.17,1.322,1.193,-1.585,-1.678,-2.322
6529,SO2931,0.848,1.585,0.766,-1.459,-1.737,-2.222
6530,SO2932,0.737,1.807,0.933,-1.7,-2.379,-2.0
6531,SO2932,1.585,2.222,1.441,-1.737,-2.807,-2.322
6532,SO2933,1.059,0.706,-1.385,-0.71,-0.71,0.959
6533,SO2933,1.621,1.037,-1.222,-0.07,-0.75,1.0
6534,SO2934,1.39,0.585,0.447,-0.392,-0.202,-0.542
6535,SO2934,0.848,0.811,-0.222,0.089,-0.713,-0.547
6536,SO2935,1.963,1.363,-0.035,-1.084,-1.337,-0.438
6537,SO2935,2.254,1.64,0.256,-0.856,-1.104,-0.619
6538,SO2936,1.531,0.823,0.441,-0.193,-0.415,0.16
6539,SO2936,1.138,1.051,0.708,0.202,-0.794,-0.415
6540,SO2937,1.379,1.005,-0.631,0.136,-0.386,0.492
6541,SO2937,1.175,0.772,-1.153,-0.15,-0.574,0.61
6542,SO2938,2.263,0.553,-0.322,-0.28,0.093,-0.138
6543,SO2938,1.524,0.515,-0.399,-0.248,-0.082,-0.222
6544,SO2939,0.222,0.0,-0.531,1.29,0.628,0.115
6545,SO2939,-0.17,-0.678,-1.17,0.737,0.1,0.193
6546,SO2940,-0.507,-1.078,-1.781,1.931,1.032,0.71
6547,SO2940,-0.29,-1.0,-1.387,1.684,1.406,1.341
6548,SO2941,-1.652,-2.0,-2.322,2.722,2.273,1.663
6549,SO2941,-2.415,-1.948,-3.0,2.222,1.755,2.059
6550,SO2942,-0.3,-0.585,-1.509,0.524,0.485,0.585
6551,SO2942,0.415,-0.415,-0.951,0.363,0.862,0.737
6552,SO2943,1.084,0.971,0.078,-1.333,-1.047,-0.059
6553,SO2943,1.588,1.123,0.443,-0.598,-0.783,0.289
6554,SO2944,-0.152,-0.7,-1.585,1.492,1.1,0.322
6555,SO2944,0.07,-0.918,-1.524,1.399,1.198,1.0
6556,SO2945,-1.222,-1.28,-1.737,1.55,0.874,0.848
6557,SO2945,-0.823,-1.115,-1.71,2.354,1.619,1.152
6558,SO2946,-0.485,-1.254,-1.17,1.874,1.862,1.858
6559,SO2946,-1.263,-1.054,-1.826,1.898,1.344,0.778
6560,SO2947,-0.907,-0.848,-1.585,1.907,1.485,0.652
6561,SO2947,-1.7,-1.585,-0.848,1.459,1.044,0.874
6562,SO2948,-1.158,-1.778,-1.382,0.553,0.893,0.531
6563,SO2948,-1.064,-1.524,-1.078,1.363,1.0,-0.222
6564,SO2949,-0.379,-1.087,-0.27,0.0,0.271,-0.334
6565,SO2949,-0.193,-0.737,-0.254,0.466,0.284,-0.206
6566,SO2950,0.0,-1.178,-0.88,-0.509,-0.193,0.231
6567,SO2950,0.0,-0.447,-0.8,-0.14,0.09,-0.363
6568,SO2951,-0.648,-0.946,-1.585,-0.771,-0.022,0.683
6569,SO2951,-0.104,-0.737,-1.459,0.218,0.118,0.828
6570,SO2952,-2.322,-2.0,-1.0,2.0,1.0,0.585
6571,SO2952,-0.585,-1.585,-1.0,2.0,0.585,1.0
6572,SO2953,-0.297,-1.066,-1.322,1.528,1.255,1.222
6573,SO2953,-0.541,-0.632,-1.637,1.705,1.234,0.976
6574,SO2953F,,,,,,
6575,SO2953F,,,,,,
6576,SO2954,-2.248,-1.585,-1.503,1.926,1.28,0.848
6577,SO2954,-2.632,-2.807,-2.844,2.222,2.644,0.874
6578,SO2954F,,,,,,
6579,SO2954F,,,,,,
6580,SO2955,-2.624,-2.322,-2.585,2.115,1.939,1.541
6581,SO2955,-1.547,-3.322,-1.766,2.209,2.29,1.954
6582,SO2956,-2.369,-1.807,-2.585,1.485,1.71,1.1
6583,SO2956,-1.948,-1.766,-2.363,1.954,1.888,0.7
6584,SO2957,-3.426,-3.459,-2.959,1.939,2.273,1.644
6585,SO2957,-2.147,-4.524,-2.939,2.459,2.807,1.807
6586,SO2957F,,,,,,
6587,SO2957F,,,,,,
