GENE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SO0818_at,14043.08706815146,5.445146006306843,0.3112622647848964,17.493755659941026,1.5986604562553973e-68,1.5217648883095127e-64
SO0867_at,6052.77383063298,4.189576527417695,0.24601073464288123,17.030055755491514,4.915736694460031e-65,2.3396448797282517e-61
SO0866_at,17153.49507806808,6.224846748450356,0.3810517778502173,16.3359603872448,5.476311241788557e-60,1.7376335570195092e-56
SO2445_at,16018.10450825819,5.749062668934641,0.35326761344257507,16.27395903323918,1.5106662176529736e-59,3.595007931459664e-56
SO1362_x_at,5334.4091651955205,4.079403869545977,0.2522644105596039,16.171143049852105,8.05891461365166e-59,1.5342561641470031e-55
SO0185_at,6275.57196667646,4.310438004085073,0.270261280026889,15.949151146091726,2.887955778802582e-57,4.5817418430702966e-54
SO2442_at,11940.32044872723,5.110405517102513,0.3228095902761785,15.831021354509094,1.9011003588290515e-56,2.585224902241963e-53
SO0564_at,10517.184743097136,4.5857545170528695,0.2913181351695836,15.741397336569475,7.868670099353432e-56,9.362733834468166e-53
SO2444_at,9432.892007550256,5.192289803707066,0.33061038691801214,15.705162357753444,1.39420303460807e-55,1.4746020762704687e-52
SO1915_at,5179.294259859501,3.846536559154039,0.2477396672992483,15.526526700739257,2.2947687020380573e-54,2.184390327470027e-51
SO1361_x_at,5594.935964198109,4.350597343827747,0.28162897279820154,15.447975045327187,7.785101498299907e-54,6.736943742028802e-51
SO1908_at,7789.5141170784555,-6.550813547022703,0.426958525093454,-15.34297399399354,3.9469047628636955e-53,3.1308822031416267e-50
SO4652_x_at,5697.250663324997,4.753789954790573,0.32080845750281284,14.818156577897863,1.1181095124722989e-49,8.187141884018318e-47
SO4349_at,16837.427370708217,4.292990919716978,0.3069297845709685,13.986882784014565,1.8744961488900786e-44,1.2745234886631898e-41
UP_SO1962_x_at,24272.767446319584,-8.101173401818707,0.586269281218011,-13.818178201300285,1.9801803558777927e-43,1.2566224538400473e-40
SO1751_at,7253.905156638594,4.078082464909498,0.29623437218877063,13.766405413315118,4.0591297935922155e-43,2.311671759392758e-40
SO2443_at,9212.989154889161,4.73085085298534,0.34368239886550545,13.765182239770976,4.1284189420818245e-43,2.311671759392758e-40
SO0273_x_at,6034.055011723745,3.7629134702071343,0.27839701872079525,13.516356918968896,1.2522525428133456e-41,6.622328863911242e-39
SO3599_at,7207.552580583558,4.521424101140271,0.3346450759274406,13.51110303538615,1.3449114350890467e-41,6.738006289796125e-39
SO3737_at,7305.991117160207,4.688096157913385,0.3474320668350214,13.493562067025707,1.7065220023098254e-41,8.122191469993615e-39
