GENE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SO3025,1193.663731322801,-2.4868487888163124,0.28373094196997256,-8.76481349390331,1.870861190874638e-18,8.418875358935871e-16
SO4206,812.95994157646,1.704156851649648,0.22022646610867674,7.738201869019163,1.0083266269346404e-14,2.268734910602941e-12
SO2395,575.9921007701512,1.6055829929576213,0.21248406991912774,7.556251127760835,4.14852524845038e-14,6.22278787267557e-12
SO1265,3086.6771512006762,2.0150979148250983,0.31663078537561146,6.364188221415792,1.9632527154175887e-10,2.2086593048447873e-08
SO1910,1289.8111781610908,1.6792675316338461,0.26917544583739395,6.2385613457784475,4.416134376427625e-10,3.9745209387848624e-08
SO4205,2415.813791066068,1.5746374256154898,0.2719640167649682,5.78987413241618,7.043918935861124e-09,5.282939201895842e-07
SO3901,1245.344691299708,1.8567161695903436,0.3266562046587503,5.684007048113503,1.3157485109827624e-08,8.458383284889188e-07
SO0582,1121.400959126228,1.8915737751238157,0.33776010322885985,5.600346983083793,2.139231688070582e-08,1.2033178245397023e-06
SO1255,690.85951663088,1.458049634639672,0.26523562146667856,5.497186337857134,3.858988707809605e-08,1.7874650262093825e-06
SO3613,392.2586248995391,1.830719743051882,0.33340581858461643,5.490965187181507,3.9974314876406665e-08,1.7874650262093825e-06
SO0449,2560.958377346302,-1.623093063589073,0.2964427292310927,-5.47523316830546,4.369358952956269e-08,1.7874650262093825e-06
SO3834,1453.5596923621656,1.541972084247233,0.2834640464885745,5.439744840125201,5.3356934627151285e-08,2.000885048518173e-06
SO0038,484.4064684292561,-1.1520735618812885,0.21607115504940963,-5.331917449221024,9.718111743243551e-08,3.363961757276614e-06
SO4111,1297.6826978473177,0.9613296618522558,0.18163885294479118,5.292533212288288,1.2063355257542859e-07,3.877507047067347e-06
SO3855,1025.439726464552,-1.569327849850655,0.3014239659291159,-5.206380471484157,1.925596301795782e-07,5.776788905387346e-06
SO1183,624.3712866660317,1.1713038287069184,0.22597395773689388,5.183357588800969,2.1792664127458538e-07,6.1291867858477135e-06
SO3463F,1009.7196398460702,1.2018428450114402,0.23324691852491788,5.1526633346842985,2.568127685115316e-07,6.7979850488346594e-06
SO4096,836.6667692723748,-1.2355381752113972,0.2407398987524153,-5.132253447036898,2.862936249997323e-07,7.157340624993308e-06
SO0106,386.1461991527561,1.110529814513915,0.21798041937603937,5.0946310576553815,3.4942104780465007e-07,8.275761658531185e-06
SO0835,532.3032779049136,1.0401116444706169,0.20511493033463624,5.070872426369545,3.959961666609419e-07,8.909913749871192e-06
SO4711,1042.5797589401905,0.9900140603013252,0.199843800890977,4.9539393060354096,7.272589930881954e-07,1.558412128046133e-05
SO3348,2913.747715247205,-1.7512213010000799,0.3630037109965927,-4.824251785724906,1.405298018602082e-06,2.8744732198678947e-05
SO3469,1011.2095503843993,1.254772307487744,0.26610517747737206,4.715324667421933,2.4132562827698228e-06,4.721588379332262e-05
SO4207,809.5887981595448,1.0804681998812249,0.23008908995606134,4.695868891860779,2.6547578786750987e-06,4.9776710225158096e-05
SO4322,2299.2663788352656,1.1131592612295196,0.23876877295141455,4.66208058729702,3.130285614911453e-06,5.57479391480245e-05
SO3969,2366.551132214597,1.0536355003704023,0.22628656892387644,4.656199903427979,3.2209920396636374e-06,5.57479391480245e-05
SO3000F,786.4711549957339,-1.1661535200471707,0.2528845205978005,-4.611407283017835,3.999520407160625e-06,6.665867345267709e-05
SO1264,943.2134593101453,1.3148423119627068,0.2894139553671929,4.54311994145032,5.54276926174976e-06,8.908022027812115e-05
SO4043,1586.2460380977395,-1.3243541483720653,0.29372442560197115,-4.508832200992064,6.518543835242236e-06,0.00010114981813306919
SO1274F,650.2037561236725,1.2107840587558054,0.26913747838238633,4.498756791633242,6.8351998558750174e-06,0.00010183925421170668
SO1690,1360.8430743109861,-1.1648728539127666,0.25925153482022706,-4.493214879983353,7.015593067917572e-06,0.00010183925421170668
SO1526,1405.2454959540357,0.7050932458159657,0.15811654884731702,4.459326053826465,8.221776722147852e-06,0.00011561873515520417
SO3316,1034.0525586596739,-1.3315083451235914,0.30009308799830253,-4.436984383762692,9.122790904935079e-06,0.0001244016941582056
SO3592,1453.5065072997122,0.8317672650240081,0.19264858533055787,4.317536324478129,1.5778044865128218e-05,0.00020882706439140288
SO3245,1032.6186858079932,0.7220721405006777,0.16951680747948047,4.259590250884606,2.0480199403431427e-05,0.00026331684947268977
SO1928,867.5150745310663,-1.4215998565938717,0.33750858027359676,-4.212040640393411,2.5307399695405445e-05,0.0003090277454030579
SO1267,655.0357755590796,1.3253075210510714,0.31471495002020744,4.211136207434617,2.5408947955362537e-05,0.0003090277454030579
SO1355,1614.398716938208,1.9635820649129592,0.4723176106305763,4.157334007282605,3.2198306835635566e-05,0.00038129573884305274
SO1045,2219.8105773869024,1.0537937365168777,0.25554995830492894,4.123631025051718,3.729461513818465e-05,0.00042682502597218846
SO1646F,580.2644757325669,0.8697786245515207,0.21112774861768702,4.119679342228612,3.794000230863898e-05,0.00042682502597218846
SO3740,1424.6995385721673,1.169682953741609,0.28608280647916334,4.088616747496855,4.339531296203274e-05,0.0004762900203149935
SO3698,2627.754235381672,1.2076106407202596,0.29937441475981075,4.033780380628486,5.488661942692699e-05,0.0005880709224313606
SO1315,1589.330987097544,-0.8657672966473013,0.21664037264408012,-3.996334044668932,6.433094229783465e-05,0.0006732307914889673
SO4688,376.9718958522392,-1.0253191935107417,0.25812625930961175,-3.972161516046742,7.12233994094856e-05,0.0007284211303242844
SO2706,1738.4465478906352,-0.9804580080582515,0.24790091755757446,-3.955039851074945,7.6521895510597e-05,0.0007652189551059699
SO0350,1934.0280707682618,1.0709696562528117,0.2711818929372083,3.9492668358237064,7.839092764277741e-05,0.0007668677704184746
SO4113,2606.6135201515635,0.8490557795511645,0.21856968357622825,3.884599939291436,0.00010249852478089789,0.0009813688542851925
SO2610,967.2180191744457,-0.922141031578785,0.23910534307578385,-3.856630804299989,0.00011496059310312419,0.0010777555603417891
SO0163,1259.3806054948793,-0.994284039354317,0.26191374770544706,-3.7962269948216187,0.00014691498575560485,0.0013492192569392284
SO1346,1885.5976533307098,-1.134918666081719,0.3002752988285672,-3.7795938277615884,0.00015708439243857625,0.0014137595319471863
SO4224,992.5407405922948,0.620101949963795,0.16458873272329264,3.7675844494550748,0.00016483478786734308,0.0014544245988294979
SO1857,1933.5269551363722,0.8065311258054745,0.2148491604495064,3.753941249377256,0.0001740756805258369,0.0015064241583966655
SO0343,686.5605731548333,-1.221730114906095,0.3267042558423761,-3.7395598406148065,0.00018434276167858472,0.0015651743916106251
SO1334F,2070.644596897576,-0.8155147426234871,0.21952613354024222,-3.7148868313393395,0.00020329465636256418,0.0016941221363547016
SO3347F,978.0884755138961,-0.749850308999549,0.20405757397964217,-3.674699715259566,0.00023812931521277055,0.0019483307608317592
SO1181,626.5553052654163,-0.9722235057207586,0.2674636648930492,-3.6349741416633994,0.0002780085191018349,0.0022339970284968877
SO0807,3156.783659636934,0.9528941603202609,0.2709910036364191,3.516331345075691,0.0004375545500545224,0.0034369748444243154
SO3937F,1343.5151162137847,-0.8540730069456565,0.24311413093355905,-3.5130537400932362,0.00044298786883691175,0.0034369748444243154
SO0949,2129.508277059491,-0.6728091463074912,0.1936039545916264,-3.475182868690178,0.0005105052119759004,0.0038936838201551727
SO2481,660.9712141336281,-0.9140659977144908,0.2651459102740387,-3.4474074926132845,0.0005659941987914402,0.004244956490935802
SO2361,3067.0428715186904,0.8148851265520256,0.23845321147818727,3.4173795416740194,0.0006322706696674339,0.004664291825415496
SO2929,1329.2512796883495,0.9552080625079936,0.2809530151971947,3.3998854286634166,0.0006741409403489224,0.004892958438016372
SO3253,1212.1144133767752,0.863326360542248,0.2573833545982638,3.354243175087095,0.0007958239082833487,0.005684456487738204
SO0326,688.5089741240481,1.0684820582821275,0.321971097487659,3.3185651340120113,0.0009048121779790586,0.006361960626415256
SO3583,2181.621355262823,-1.0125134348247922,0.30724435307280706,-3.2954663761870955,0.0009825846119341168,0.0068025088518515785
SO0992,539.229486342132,-1.129468631349564,0.34457667898954253,-3.277844091659616,0.001046031535576032,0.00713203319710931
SO1385,398.5922092159227,-0.8230002693490382,0.2518067479363287,-3.2683805183693506,0.0010816483602572246,0.007264802419638076
SO0118,1325.9428642589266,0.7610318516838742,0.23523714131789034,3.2351687638281805,0.0012157085109006822,0.008045129851548632
SO2240,1052.5805389987693,0.7435617648565209,0.23480930194549854,3.1666623029657854,0.0015419927052320213,0.010056474164556661
SO0065,1926.9429158168646,0.7863470164466405,0.25334768163364846,3.103825586151334,0.00191035911900804,0.01228088005076597
SO0194,303.9675452115165,-0.7733710955478017,0.2544002154357144,-3.0399781471223966,0.002365953148608206,0.014995477702446377
SO0450,1332.664219984153,-0.9098482084100925,0.29979645401370936,-3.0348864912474456,0.002406262293442308,0.015039139334014424
SO0053,1228.9880124151455,-0.9674276394468728,0.3198157749547171,-3.024952848507399,0.0024867189176803516,0.015185571670665015
SO2390,1204.3906483850424,-0.8957658015026974,0.2962499455121456,-3.023682586520418,0.0024971828969538026,0.015185571670665015
SO4306,533.4263590207156,0.62923047484149,0.20883579485930504,3.01303938467737,0.0025864534830566384,0.015324445462011971
SO3123,1289.8231783620733,0.6281358034786542,0.20875134295450215,3.0090144311816847,0.00262096666056764,0.015324445462011971
