GENE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SO2073,1363.9129343072916,3.4787698849209807,0.2631850340110714,13.217962404255248,6.911085169990056e-40,2.1500385963839066e-36
SO2587,636.5969473553847,-1.1633866186947548,0.09484869174921082,-12.26571075720119,1.3839256782117506e-34,2.152696392458378e-31
SO2074,1820.1797906957513,3.275122117403365,0.28670892597063724,11.423160636926875,3.203670204657942e-30,3.3222060022302855e-27
SO4055,833.4595910931997,-2.0510806179919494,0.18567501980239204,-11.046615856967989,2.276348888515729e-28,1.6347534655902548e-25
SO0818,762.4432662639852,-1.7597728703741993,0.1594902992699026,-11.033729815731093,2.627376190276848e-28,1.6347534655902548e-25
SO3913F,811.2315403816546,-1.7635250125589057,0.17319637125258724,-10.182228413937176,2.380465838087767e-24,1.2342715370485072e-21
SO2071,1107.657721647413,2.545619941708942,0.2515500815248751,10.119734115280787,4.516408381776787e-24,2.0072209251010835e-21
SO4235,1662.9338929439534,2.750246731360556,0.2741821957806833,10.03072691693104,1.1169126042302902e-23,4.343393889700542e-21
SO4234,1832.3592570293524,2.8318642032767,0.2872926093073353,9.857072933774196,6.388460333713522e-23,2.208277788686974e-20
SO3030,661.2460356061454,-0.8913654045458247,0.09371438635728649,-9.511510870353355,1.8791317003052627e-21,5.845978719649672e-19
SO4236,1504.1844263690916,2.441528908549864,0.2691278708505027,9.072003211091072,1.1684865823369384e-19,3.304692506954741e-17
SO4233,1537.59771135275,2.510002382406994,0.2795426596154173,8.97896008380312,2.733379102487332e-19,6.780024827259814e-17
SO2072,1162.0372702893478,2.1359319386798465,0.2379865004798163,8.975013012811607,2.833182987925991e-19,6.780024827259814e-17
SO4345,1416.0080524146792,2.18040534433103,0.2594209378358358,8.404893462033556,4.282501799831028e-17,9.516330785195949e-15
SO2093,722.4345638597791,1.1446489843941121,0.13674888965646895,8.370444449454908,5.74013174400418e-17,1.190503323706467e-14
SO4054,801.160400020821,-1.5831529157378639,0.18938281745735983,-8.359538299161253,6.296418308287939e-17,1.2242598348177363e-14
SO2070,1040.980255909452,1.8525834177611242,0.22550033053733456,8.21543548670943,2.1139567535295753e-16,3.868540858959123e-14
SO2888,838.7587672293403,-1.4942199492936463,0.1821986491044275,-8.201048452544955,2.3829945274650094e-16,4.118608874968691e-14
SO1787,821.8726366139066,-1.3035213493395266,0.16925078058637458,-7.701715435659655,1.3425159592139328e-14,2.1981932363760762e-12
SO1343,727.4075234271253,-0.9747706056497629,0.12717006739705297,-7.665094668907536,1.7869934403086595e-14,2.7796682964001195e-12
SO4346,1239.0111374253227,1.9968801664901843,0.26144244364241476,7.637934142098965,2.2073471003405557e-14,3.270027061504509e-12
SO0279,745.7238938741754,-1.123209239226391,0.1480196249009114,-7.588245409879263,3.242663328410703e-14,4.585420733948044e-12
SO4347,1040.44440405581,1.6602566316016505,0.21914331336701498,7.576122702959683,3.5603509548350304e-14,4.815761661083383e-12
SO3913,885.3118089523338,-1.4589969230809334,0.19685607520368553,-7.411490458556181,1.2488778524588012e-13,1.618857916249721e-11
SO3914,829.8173240480204,-1.4361424922697223,0.1987153025616526,-7.227135876081564,4.932865058055933e-13,6.138457278244802e-11
SO4344,1292.4437978090114,1.7623832951622458,0.24816124461004646,7.101766828787488,1.2317192040661994e-12,1.4737994014807487e-10
SO4056,756.794775658193,-1.146088659500039,0.16169868115671074,-7.087804620925163,1.3625614627910676e-12,1.5699735965714858e-10
SO3032,767.6352922591336,-1.1265097319409547,0.1601630934385838,-7.033516322366279,2.013924032638986e-12,2.2376134519785308e-10
SO2887,955.3084893142034,-1.4678627304046379,0.20897283748603054,-7.024179544400175,2.15327771280331e-12,2.3099472291486542e-10
SO0907,740.5233430544241,-1.0296128320310203,0.14843205217095878,-6.936593660007804,4.01666987374628e-12,4.165286659074892e-10
SO2446,840.8496811018085,-1.222807672200679,0.177230066208054,-6.899549824493098,5.216758966180825e-12,5.235270046383402e-10
SO4513,904.7383434809333,-1.501101298071041,0.21794302295752507,-6.887585928197346,5.6747097119322116e-12,5.516881848069097e-10
SO3668,793.9624229772352,-1.309149366325029,0.19496654958714676,-6.7147383440761015,1.8840398703502354e-11,1.7761357686847218e-09
SO3560,697.9567159994405,-0.8299161802178957,0.12433650412911032,-6.674758841185654,2.476390409497599e-11,2.2658972246903033e-09
SO3675,1060.989462433702,-1.637576765942251,0.24722229087669567,-6.623904180060394,3.498335832790786e-11,3.1095207930891815e-09
SO3914F,802.5975207655155,-1.141727606503329,0.1729474598617975,-6.6015864437424225,4.0678095793859045e-11,3.515265444852652e-09
SO3667,842.3137681142086,-1.2107790737827755,0.1840286144681351,-6.579297884093043,4.7267495306665654e-11,3.974302105379374e-09
SO3676,1008.7875582352181,-1.4054476363852901,0.21428669383523047,-6.558725655014157,5.426953796574201e-11,4.442961384511142e-09
SO3671,816.8032652918354,-1.116488266783105,0.17100966652555424,-6.528802081584473,6.629778766976924e-11,5.288523524119285e-09
SO1476,899.7549785920885,-1.235037937441369,0.19094434810791705,-6.468051815513051,9.927445990266748e-11,7.721071118929963e-09
SO4743,836.3408424712732,-1.1489668734056342,0.17945878394756692,-6.402399749578887,1.5295355881998636e-10,1.1605817597292136e-08
SO3980,714.8232592215272,-0.9010638157978176,0.14188899813493094,-6.350484023722127,2.146385024284552e-10,1.589858050130772e-08
SO3674,982.8756126890239,-1.3808247586536901,0.21790376976713333,-6.336855760363084,2.3450133195904886e-10,1.696589869126979e-08
SO1070F,3536.618034833386,2.2620209717579667,0.3620011032852425,6.248657673221465,4.1399516274275396e-10,2.9271339802106988e-08
SO1676,722.9965849376661,-0.8554046416615332,0.13906864440493588,-6.150952612803155,7.701893052511418e-10,5.32457539696956e-08
SO2927,819.7013213090183,-1.0822328871662312,0.17689567177953416,-6.1179161495540875,9.480692699657221e-10,6.41183369318122e-08
SO0760,1499.9962463490729,1.6139832070312654,0.265850907537459,6.0710088296533335,1.2710919858151003e-09,8.413547165682505e-08
SO0376F,815.3604171033282,-1.010146961469599,0.16681267448083748,-6.055576799625254,1.399154005199581e-09,9.068266896199784e-08
SO3408,763.1477062241056,-0.8893188158804994,0.1481695343859095,-6.002035570714941,1.94858996979708e-09,1.222187090289848e-07
SO0275,651.5307384601379,-0.6154086069216913,0.10255558895127505,-6.000732024600596,1.9642994058017486e-09,1.222187090289848e-07
SO3286,643.7254076766274,-0.5429672708922897,0.09177629600706738,-5.916203796789508,3.2945695815007425e-09,1.9776306822325147e-07
SO0277,654.4286797269039,-0.645260055902653,0.10907669924326498,-5.915654400795366,3.3055864826772987e-09,1.9776306822325147e-07
SO4516,1062.136590665949,-1.389205983774344,0.23835392688549342,-5.828332689654937,5.5983885812707215e-09,3.286148467232682e-07
SO0262,741.3289141728008,-0.836533287695998,0.1446112374110782,-5.784704582245099,7.263987089895106e-09,4.1848636734562363e-07
SO0798,895.8084762362816,-1.2490021590399696,0.22349380991784393,-5.588531331132175,2.2899806539477902e-08,1.29529632989665e-06
SO2048,961.6458637445351,-1.1477565198847706,0.20763664168746224,-5.527716642674228,3.244254818913008e-08,1.8022994181497087e-06
SO3600,815.1556557474626,-0.922043690767528,0.1692834900353579,-5.446743155962479,5.130045718133106e-08,2.7999249524758055e-06
SO4404,784.5955071331939,-0.9023469713263632,0.16614288096508936,-5.431150381435652,5.599192451903686e-08,3.003290985840063e-06
