,GENE,GSM358310,GSM358311,GSM358312
117,SO0049F,-0.641980395,-0.697612347,0.046973316
118,SO0050,-0.355357176,-0.144409178,-0.036972739
119,SO0050,-0.17130783,0.172227192,-0.161492433
120,SO0051,0.067577364,0.259801493,0.27819242
121,SO0051,-0.768539274,-0.102238143,-0.267405036
122,SO0051F,-0.039715537,0.382399532,0.40228352
123,SO0051F,-0.755020509,-0.151822274,-0.091403374
124,SO0052,-0.255126405,-0.034948304,-0.037867527
125,SO0052,-1.00204664,0.931020117,-0.147197811
126,SO0053,-0.373709682,0.090900625,-0.178751315
127,SO0053,-0.196468976,-0.157794117,0.040373168
128,SO0054,-0.382787762,-0.186121087,-0.056267283
129,SO0054,0.119700233,0.626921676,0.510756615
130,SO0055,-2.604053753,-0.517087905,-1.025133063
131,SO0055,0.069116846,0.044171258,-0.247250685
132,SO0055F,-2.623874434,-1.289728603,-0.864715392
133,SO0055F,-0.661213537,0.459403564,0.150269576
134,SO0056,-0.621783528,0.210646024,0.013737942
135,SO0056,0.166407834,0.600094543,0.771503056
136,SO0057,-0.777363473,0.215471233,0.10603489
137,SO0057,-0.286524623,-0.122449775,0.037111836
138,SO0058,-0.682896113,0.241820125,0.101703005
139,SO0058,-1.332042002,-0.577760546,-0.59639256
140,SO0059,-0.555564095,0.278028748,-0.535799859
141,SO0059,0.76688581,1.052093309,1.209003117
142,SO0060,-0.345097958,0.007515907,0.427917604
143,SO0060,-1.728790058,-0.612299708,-0.806589643
144,SO0060F,-0.667617749,0.816232377,1.017857308
145,SO0060F,-0.108870047,-0.413286229,-0.284895837
146,SO0061,0.77757563,1.803695395,2.39336655
147,SO0061,-0.45514376,0.035811093,0.500230205
148,SO0062,-1.120266656,-0.176591891,-0.549728962
149,SO0062,-0.652766978,-0.116645109,-0.277726882
150,SO0063,-0.535331256,0.204438428,-0.206112721
151,SO0063,-0.169663168,0.082359697,-0.094627826
152,SO0064,-0.843967246,-0.125126023,-0.28824301
153,SO0064,-1.00671643,-0.307418227,0.072634631
154,SO0064F,-0.559516089,-0.383341665,0.100464677
155,SO0064F,-1.225598245,-0.35093049,-0.649222957
156,SO0065,-1.193505729,0.031700432,-0.208261984
157,SO0065,-0.233801505,0.03997036,0.148867288
158,SO0066,0.087831476,-0.046203555,-0.383455288
159,SO0066,-0.181389655,-0.489654047,-0.028084948
160,SO0067,-0.696262375,0.526632542,0.138255552
161,SO0067,-0.414215333,-0.1086941,-0.052028193
162,SO0068,-0.349223304,0.105647965,-0.186495398
163,SO0068,-0.387811277,-0.03237324,-0.519550342
164,SO0069,-0.187583602,-0.397166838,-0.189994684
165,SO0069,0.563571135,0.357095107,0.171278173
166,SO0070,-0.637049237,0.15692502,0.705707229
167,SO0070,0.02522545,0.10558379,-0.024419268
168,SO0071,-0.088677896,0.581126938,0.513908755
169,SO0071,-1.209071718,0.104705856,0.265315508
170,SO0072,-0.122033787,0.040840048,0.035448297
171,SO0072,-1.084591964,-0.93496642,-0.692436275
172,SO0073,-1.226812558,-0.449009634,-0.302891547
173,SO0073,-0.484805475,-0.20908053,0.129071037
174,SO0074,-0.714026614,-0.394662965,-0.715861011
175,SO0074,-0.001122367,1.526270459,1.443716826
176,SO0075,0.18847329,0.072186844,-0.229347476
177,SO0075,0.266525843,0.464412149,1.37520449
178,SO0075F,-1.791073437,-0.120617216,-0.621090167
179,SO0075F,0.478004822,-0.307159276,0.070303516
180,SO0076,-0.529890078,-0.539651315,-0.154669818
181,SO0076,-2.086459378,-1.701302947,-1.718104212
182,SO0077,-0.626385936,-0.516244471,-0.105432031
183,SO0077,-0.189133067,-0.014724606,-0.196238689
184,SO0078,-0.531106534,0.295667898,0.965808152
185,SO0078,0.024977621,0.657707107,0.2562474
186,SO0079,-0.502214045,0.479324426,-0.007145183
187,SO0079,-0.343846764,0.015904595,-0.4112646
188,SO0080,-0.442452658,0.16407921,-0.199147905
189,SO0080,-0.460146528,-0.203175788,-0.287482331
190,SO0081,-0.357969839,-0.00070168,-0.023709226
191,SO0081,-0.631318547,0.044480444,-0.168582219
192,SO0082,-0.310606658,0.013965111,-0.167017844
193,SO0082,0.237631926,0.251282232,-0.008767437
194,SO0083,-1.060291975,-0.243101959,-0.367656746
195,SO0083,-0.030976667,-0.248976776,-0.154044817
196,SO0084,0.132900101,1.076204451,0.902771636
197,SO0084,-0.075589046,0.282480664,-0.076637375
198,SO0085,0.353609409,-0.156238299,0.389710861
199,SO0085,-0.470773046,-0.069532622,0.225297167
200,SO0086,0.086194781,-0.383822338,0.175843897
201,SO0086,0.311250739,0.20190351,0.41382493
202,SO0087,-0.806198395,-0.67455849,0.146182403
203,SO0087,-0.037969322,0.016904532,0.128549646
204,SO0088,-1.205646615,-0.220858632,-0.189197493
205,SO0088,-1.830268772,-1.116635866,-0.562133341
206,SO0089,-0.992244521,-0.437722393,0.064731355
207,SO0089,-1.386503528,-0.105054627,-0.287087178
208,SO0090,-0.567125286,-0.234400739,0.248180129
209,SO0090,1.108072925,0.497557952,0.142111297
210,SO0091,-0.44484281,-0.006872092,-0.004625143
211,SO0091,-0.125624304,0.129229966,-0.118416508
212,SO0092,0.139217153,0.05468354,0.432728618
213,SO0092,-0.042790344,0.088454469,-0.241982984
214,SO0093,-0.903298512,0.20230418,0.123570936
215,SO0093,1.035061015,1.046209799,1.397252495
216,SO0094,-0.152363021,-0.263108081,-0.554048543
217,SO0094,-0.095253874,0.181024934,0.349796258
218,SO0094F,-1.404623798,0.213918214,-0.839797563
219,SO0094F,-0.014935481,0.031226008,1.112163227
220,SO0095,-0.264126386,0.023369577,-0.152808103
221,SO0095,-0.249211637,0.148742418,0.416516804
222,SO0096,-0.363552519,-0.822728293,0.248996504
223,SO0096,-0.198837387,0.382824462,0.489876943
224,SO0097,-0.120634586,0.166295712,0.033881746
225,SO0097,-1.172688747,0.328315629,0.146004022
226,SO0098,-0.114164687,0.624557463,0.00156274
227,SO0098,0.037275222,-0.118116527,0.239072947
228,SO0099,-1.308563724,0.214148655,-0.282838251
229,SO0099,-0.08263055,0.157885721,0.055126939
230,SO0100,-0.119040458,-0.408304763,0.551228181
231,SO0100,-0.140082908,-0.45745234,-0.222808406
232,SO0101,-1.536079358,-0.293044789,-0.344886639
233,SO0101,0.010983761,-0.008633392,0.188951792
234,SO0102,-0.350811889,0.015833378,-0.387904125
235,SO0102,-1.028655249,-0.292358254,-0.449917878
236,SO0103,-0.279297425,0.236402158,0.536918931
237,SO0103,-0.69082424,-0.147085603,-0.315966741
238,SO0104,-0.055650837,0.196342475,0.900919887
239,SO0104,-0.111380815,0.043202698,0.072158657
240,SO0105,-1.075643064,-0.077491081,0.027538685
241,SO0105,-0.301256927,-0.304533479,-0.234348852
242,SO0105F,1.030202755,-0.08912077,0.07490416
243,SO0105F,-0.881802735,-0.230843838,0.536282692
244,SO0106,0.096346606,0.127885934,0.288321757
245,SO0106,-2.460916497,-1.36221551,-1.508801044
246,SO0106F,-0.23311893,-0.173800074,0.06656515
247,SO0106F,-0.24633997,-0.308615158,0.42166152
248,SO0107,-0.059591462,0.395128052,1.240563364
249,SO0107,-0.083586218,0.806646674,0.692233996
250,SO0108,-0.309843023,-0.257863437,0.501519088
251,SO0108,0.210113997,0.267748498,-0.148589858
252,SO0109,-1.410741358,0.22660108,0.52770669
253,SO0109,0.182044825,0.02463326,-0.685197025
254,SO0110,-0.268386141,0.751700402,1.647379106
255,SO0110,-0.402796653,0.541164285,0.363166446
256,SO0111,-0.747834661,0.204401727,-0.148240576
257,SO0111,-0.692242503,-0.166325694,0.029758161
258,SO0112,-0.49723101,0.07845121,0.029421845
259,SO0112,1.347227584,1.054741636,1.08701833
260,SO0113,-0.825699451,0.465616931,0.407617814
261,SO0113,0.176172444,0.533932378,0.109740326
262,SO0114,-0.335837316,0.628635245,0.553048886
263,SO0114,0.195205671,0.190652986,0.209913903
264,SO0115,-0.07003436,0.311115179,0.120424102
265,SO0115,0.111613428,-0.402686906,-0.258448766
266,SO0116,-0.344277102,-0.169343332,0.136688329
267,SO0116,0.091211392,0.878033905,0.424900531
268,SO0117F,-1.207818788,-0.642175555,0.316214468
269,SO0117F,-0.253823368,-0.040006072,0.123218821
270,SO0118,-0.600574156,0.401851138,0.44428926
271,SO0118,-0.17173885,-0.026793931,0.600588867
272,SO0119,-0.79970178,-0.44473742,-0.512473153
273,SO0119,-0.179878106,0.118402133,-0.271857352
274,SO0120,-1.193207099,0.250413286,0.439935711
275,SO0120,0.012056839,-0.363071491,-0.084015927
276,SO0121,0.160079448,0.535912428,0.254090778
277,SO0121,-0.161231538,0.285496244,-0.111331314
278,SO0122,-0.164020063,-0.312848259,-0.079722503
279,SO0122,-0.097516875,0.605789789,0.72741701
280,SO0123,-0.565043703,-0.340345994,0.042961948
281,SO0123,0.042887172,-0.20473498,-0.05104088
282,SO0124,0.205445763,-0.146042029,-0.267865184
283,SO0124,0.216070634,0.052341792,0.250317433
284,SO0124F,-0.428283012,0.343003786,0.164543216
285,SO0124F,0.129167964,-0.110736624,0.21218207
286,SO0125,0.146548257,0.026989254,0.387277772
287,SO0125,-0.193544503,0.103156649,0.055885434
288,SO0126,-0.547630796,0.094503576,-0.054708587
289,SO0126,-0.006973612,0.149885414,0.341343972
290,SO0127,-0.29899924,-0.002220858,0.202481242
291,SO0127,-0.382594649,0.243893155,0.070982528
292,SO0128,-0.654095467,-0.193656157,-0.44705197
293,SO0128,-1.558269969,-0.315558145,-0.350204828
294,SO0128F,-0.124622316,-0.150696882,-0.104412331
295,SO0128F,-0.951418391,0.028381643,-0.033537122
296,SO0129,-0.590194742,-0.549405674,-1.071652984
297,SO0129,-0.033510508,-0.461550844,-0.397111653
298,SO0130,-0.015931161,0.092584993,0.145396439
299,SO0130,-0.953771711,-0.394641662,-0.208084822
300,SO0131,-0.05465199,-0.036600338,0.494251905
301,SO0131,-0.229884488,0.285117277,-0.114537259
302,SO0132,-0.741145795,-0.178539819,-0.411385124
303,SO0132,0.090657989,0.295475236,-0.124210543
304,SO0133,-0.99313751,-0.029602321,0.117648719
305,SO0133,-2.312310008,-0.92208939,-1.01784852
306,SO0133F,0.047056834,0.771179497,-0.313969183
307,SO0133F,-0.336740023,0.95995822,1.228833737
