,GENE,GSM509291,GSM509293,GSM509649,GSM509650,GSM509651,GSM509652,GSM509685,GSM509686,GSM509687
0,IG_SO0002_SO0003_at,8.580070090781133,8.401306206006016,10.23218105768664,10.338847783295249,10.322040801034905,10.0,9.647997987032507,8.711839019959028,9.493455200926176
1,IG_SO0003_SO0002_at,6.633721812641012,7.401732849522621,8.181897643108389,8.49585502688717,8.696272083925864,7.624247145836196,9.350497247084133,8.344739745802993,7.614709844115208
2,IG_SO0007_SO0008_at,8.393175914348806,9.389093521904474,8.98185265328974,8.449561374613236,8.562242424221072,7.215290305651234,5.655351828612554,9.247452864634932,7.361943773735241
3,IG_SO0008_SO0007_at,7.354910511586791,6.869131119644294,8.550746785383243,7.564530600816343,7.1947568544222475,7.327328082629952,8.38887833881199,7.998872453994275,9.223277732538243
4,IG_SO0011_SO0012_at,5.82273014794452,6.816343705284859,8.1333991254172,7.346070440785166,7.564530600816343,6.24412594328373,8.064473328753415,6.84924870276441,6.409390936137702
5,IG_SO0012_SO0011_at,6.79051141189419,6.712870867689905,8.522385366315934,8.146695948030656,7.116863757690899,7.920650594563984,8.238404739325079,7.982423226775876,7.604367899893749
6,IG_SO0013_SO0014_at,7.525912260743351,7.138527801422274,7.807354922057604,5.82273014794452,5.169925001442312,6.729280846027402,5.986410935252045,7.389738878676984,6.068240861312821
7,IG_SO0014_SO0013_at,6.531381460516312,7.110613805500896,7.627169060841846,8.077349829621605,7.338959175415203,5.649615459063409,8.102238193930738,7.377644358399907,7.20163386116965
8,IG_SO0016_SO0017_at,8.800899899920305,8.026246772648195,7.400879436282184,8.422485315670292,8.065550770955017,8.626074036090309,8.953032377253239,8.003939485688056,8.88508622529017
9,IG_SO0017_SO0016_at,8.802839440935111,4.112700132749362,9.491051376364119,9.248164779300692,9.643675841622619,9.716648007881426,9.488241842777295,9.146186791490736,9.04248018649247
10,IG_SO0019_SO0020_at,9.866506212226202,6.4379600883344725,10.507794640198696,10.73140389294332,11.176110801388607,10.672160116299109,10.501638178757986,9.43149760425805,10.373300196608389
11,IG_SO0020_SO0019_at,9.632813486072639,7.986410935252045,9.096451624477593,9.523561956057012,9.280770770130603,9.349391818295938,9.205060110544645,8.74752167254042,9.291631182900902
12,IG_SO0025_SO0026_at,7.636624620543649,9.223760400672852,6.7865963618908065,8.618018357571325,8.942221244835967,8.79766152585376,9.144913113434239,8.723148957047579,8.662490363913776
13,IG_SO0026_SO0025_at,7.241268177329375,3.990954860396993,9.017921907997263,8.952450058359,8.012903833230638,9.111657346263131,8.771159295556854,8.204571144249204,8.53838296003212
14,IG_SO0027_SO0028_at,7.157852169141737,5.25171909260596,7.409390936137702,7.847370600905483,7.683696454306515,7.756222712847288,7.588714635582264,6.869131119644294,7.64169052255661
15,IG_SO0028_SO0027_x_at,1.8875252707415875,1.070389327891398,1.3785116232537298,5.035623909730721,-0.15200309344504995,-1.3219280948873622,3.2172307162206693,-2.321928094887362,4.336283387864432
16,IG_SO0041_SO0042_at,8.83035674741922,9.301267540565574,8.648177795724818,8.42710328715284,9.231221180711186,9.463933010872237,6.587964988882679,8.684047261613019,8.58345891013077
17,IG_SO0042_SO0041_at,4.465974464504069,8.855179946816332,9.61047122754643,9.335167010001028,9.453682185872175,9.254320034955889,9.277984747299765,6.855491443101874,9.275193333902207
18,IG_SO0042_Sp16SC_x_at,12.726154284170804,12.088589506704624,10.878970510151081,10.91176647065955,11.295654156979747,10.942147920394849,11.270879295328784,11.050936965225226,10.648357582009666
19,IG_SO0044_tAsp1_at,7.970968660521811,5.581953750848818,8.367196310025896,8.594324603924848,8.101713100188494,7.79051141189419,8.417852514885897,7.4561490346479955,8.011227255423254
20,IG_SO0050_SO0052_at,9.598610854696425,9.542451531298877,6.638073837180719,7.456970381121014,7.470862199413702,7.896029602976752,7.356672044212097,8.156841524588401,8.127220550488074
21,IG_SO0052_SO0050_at,5.9886846867721655,3.4594316186372973,7.1947568544222475,7.388017285345135,6.902073579310743,7.204571144249203,7.814422246566793,6.586464525886388,2.963474123974886
22,IG_SO0053_SO0054_at,7.696272083925863,2.232660756790275,7.181897643108388,7.727239777484807,6.79051141189419,7.82781902461732,8.159366809743736,7.245077275359671,6.6865005271832185
23,IG_SO0054_SO0053_x_at,4.802193216941825,3.4854268271702415,6.627898615871748,7.026800059343715,6.542258049766918,7.757556688939453,6.388878338811989,5.802193216941825,7.48058827023386
24,IG_SO0054_SO0055_at,6.316507819103109,3.5109619192773796,6.85049941375812,6.782670658677007,5.173926931999809,6.832890014164741,7.101187815259738,4.247927513443585,5.632268215499513
25,IG_SO0055_SO0054_at,6.387155717662981,8.060695931687555,7.354028938054387,7.976707311846879,5.889960199658641,6.816343705284859,6.904484097901423,7.970968660521811,7.993221467368938
26,IG_SO0056_SO0057_at,6.844234987758751,4.314696525656286,7.459431618637297,8.18685706717715,7.603626344986192,7.43379405875492,8.177917792195844,7.616181231331876,7.82273014794452
27,IG_SO0057_SO0056_at,10.517374127013113,10.789941128390916,9.716648007881426,10.220378327695228,10.165158245383909,10.394355506747354,9.349391818295938,9.805098948117235,9.709600814899861
